Time,R,VM,VP,VT
0,0,0,0,0
0.02,0.03,-0.02,0,0
0.04,0.06,0.06,-0.01,0.01
0.06,0.09,0.11,-0.01,0
0.08,0.12,0.24,-0.01,0.01
0.1,0.15,0.3,-0.01,0.02
0.12,0.19,0.36,-0.01,0.02
0.14,0.22,0.45,0,0.03
0.16,0.25,0.47,0,0.04
0.18,0.28,0.53,0.01,0.05
0.2,0.31,0.55,0.02,0.06
0.22,0.34,0.58,0.04,0.08
0.24,0.37,0.58,0.06,0.1
0.26,0.4,0.52,0.09,0.11
0.28,0.43,0.5,0.11,0.12
0.3,0.46,0.5,0.15,0.13
0.32,0.49,0.47,0.18,0.13
0.34,0.52,0.47,0.21,0.14
0.36,0.54,0.41,0.24,0.14
0.38,0.57,0.4,0.27,0.14
0.4,0.6,0.41,0.3,0.15
0.42,0.63,0.38,0.35,0.14
0.44,0.66,0.41,0.38,0.14
0.46,0.68,0.38,0.41,0.14
0.48,0.71,0.36,0.45,0.14
0.5,0.74,0.37,0.48,0.14
0.52,0.76,0.35,0.51,0.14
0.54,0.79,0.36,0.54,0.13
0.56,0.82,0.37,0.58,0.13
0.58,0.84,0.36,0.6,0.12
0.6,0.87,0.36,0.63,0.12
0.62,0.89,0.37,0.66,0.12
0.64,0.92,0.36,0.69,0.12
0.66,0.94,0.39,0.72,0.11
0.68,0.96,0.39,0.74,0.11
0.7,0.99,0.42,0.72,0.09
0.72,1.01,0.52,0.79,0.11
0.74,1.03,0.51,0.81,0.12
0.76,1.05,0.38,0.85,0.12
0.78,1.07,0.34,0.87,0.12
0.8,1.1,0.33,0.9,0.12
0.82,1.12,0.32,0.93,0.11
0.84,1.14,0.33,0.95,0.11
0.86,1.16,0.32,0.98,0.11
0.88,1.17,0.3,1.01,0.11
0.9,1.19,0.27,1.02,0.11
0.92,1.21,0.28,1.05,0.1
0.94,1.23,0.31,1.07,0.1
0.96,1.25,0.29,1.1,0.09
0.98,1.26,0.3,1.12,0.09
1,1.28,0.28,1.14,0.09
1.02,1.29,0.25,1.17,0.09
1.04,1.31,0.24,1.19,0.09
1.06,1.32,0.23,1.2,0.09
1.08,1.34,0.21,1.2,0.08
1.1,1.35,0.23,1.25,0.08
1.12,1.36,0.29,1.26,0.08
1.14,1.38,0.21,1.28,0.08
1.16,1.39,0.21,1.3,0.08
1.18,1.4,0.17,1.32,0.07
1.2,1.41,0.18,1.34,0.06
1.22,1.42,0.19,1.35,0.06
1.24,1.43,0.19,1.35,0.06
1.26,1.44,0.18,1.37,0.05
