Time,R,VM,VP,VT
0,0,0,0,0
0.01,0,0,0,0
0.02,0,0,0,0
0.03,0,0,0,0
0.04,0,0,0,0
0.05,0,0,0,0
0.06,0,0,0,0
0.07,0,0,0,0
0.08,0,0,0,0
0.09,0,0,0,0
0.1,0,0,0,0
0.11,0,0,0,0
0.12,0,0,0,0
0.13,0,0,0,0
0.14,0,0,0,0
0.15,0,0,0,0
0.16,0,0,0,0
0.17,0,0,0,0
0.18,0,0,0,0
0.19,0,0,0,0
0.2,0,0,0,0
0.21,0,0,0,0
0.22,0,0,0,0
0.23,0,0,0,0
0.24,0,0,0,0
0.25,0,0,0,0
0.26,0,0,0,0
0.27,0,0,0,0
0.28,0,0,0,0
0.29,0,0,0,0
0.3,0,0,0,0
0.31,0,0,0,0
0.32,0,0,0,0
0.33,0,0,0,0
0.34,0,0,0,0
0.35,0,0,0,0
0.36,0,0,0,0
0.37,0,0,0,0
0.38,0,0,0,0
0.39,0,0,0,0
0.4,0,0,0,0
0.41,0,0,0,0
0.42,0,0,0,0
0.43,0,0,0,0
0.44,0,0,0,0
0.45,0,0,0,0
0.46,0,0,0,0
0.47,0,0,0,0
0.48,0,0,0,0
0.49,0,0,0,0
0.5,0,0,0,0
0.51,0,0,0,0
0.52,0,0,0,0
0.53,0,0,0,0
0.54,0,0,0,0
0.55,0,0,0,0
0.56,0,0,0,0
0.57,0,0,0,0
0.58,0,0,0,0
0.59,0,0,0,0
0.6,0,0,0,0
0.61,0,0,0,0
0.62,0,0,0,0
0.63,0,0,0,0
0.64,0,0,0,0
0.65,0,0,0,0
0.66,0,0,0,0
0.67,0,0,0,0
0.68,0,0,0,0
0.69,0,0,0,0
0.7,0,0,0,0
0.71,0,0,0,0
0.72,0,0,0,0
0.73,0,0,0,0
0.74,0,0,0,0
0.75,0,0,0,0
0.76,0,0,0,0
0.77,0,0,0,0
0.78,0,0,0,0
0.79,0,0,0,0
0.8,0,0,0,0
0.81,0,0,0,0
0.82,0,0,0,0
0.83,0,0,0,0
0.84,0,0,0,0
0.85,0,0,0,0
0.86,0,0,0,0
0.87,0,0,0,0
0.88,0,0,0,0
0.89,0,0,0,0
0.9,0,0,0,0
0.91,0,0,0,0
0.92,0,0,0,0
0.93,0,0,0,0
0.94,0,0,0,0
0.95,0,0,0,0
0.96,0,0,0,0
0.97,0,0,0,0
0.98,0,0,0,0
0.99,0,0,0,0
1,1,0,0,0
1.01,1,0.18,0,0.01
1.02,1,0.24,0,0.01
1.03,1,0.29,0,0.02
1.04,1,0.34,0.01,0.03
1.05,1,0.38,0.01,0.05
1.06,1,0.42,0.02,0.06
1.07,1,0.46,0.02,0.07
1.08,1,0.49,0.03,0.09
1.09,1,0.52,0.04,0.1
1.1,1,0.55,0.06,0.12
1.11,1,0.57,0.07,0.13
1.12,1,0.59,0.08,0.15
1.13,1,0.61,0.1,0.16
1.14,1,0.62,0.12,0.18
1.15,1,0.64,0.14,0.19
1.16,1,0.65,0.16,0.21
1.17,1,0.65,0.19,0.22
1.18,1,0.66,0.21,0.24
1.19,1,0.66,0.24,0.25
1.2,1,0.66,0.27,0.26
1.21,1,0.65,0.3,0.28
1.22,1,0.65,0.33,0.29
1.23,1,0.64,0.36,0.3
1.24,1,0.63,0.4,0.31
1.25,1,0.62,0.43,0.32
1.26,1,0.6,0.47,0.33
1.27,1,0.59,0.51,0.34
1.28,1,0.57,0.54,0.35
1.29,1,0.55,0.58,0.35
1.3,1,0.53,0.62,0.36
1.31,1,0.51,0.66,0.36
1.32,1,0.48,0.7,0.37
1.33,1,0.46,0.74,0.37
1.34,1,0.43,0.78,0.37
1.35,1,0.4,0.83,0.37
1.36,1,0.37,0.87,0.37
1.37,1,0.34,0.91,0.37
1.38,1,0.31,0.95,0.37
1.39,1,0.28,0.99,0.36
1.4,1,0.25,1.03,0.36
1.41,1,0.22,1.07,0.35
1.42,1,0.19,1.11,0.35
1.43,1,0.15,1.15,0.34
1.44,1,0.12,1.18,0.33
1.45,1,0.09,1.22,0.32
1.46,1,0.05,1.25,0.31
1.47,1,0.02,1.29,0.3
1.48,1,-0.01,1.32,0.29
1.49,1,-0.05,1.35,0.28
1.5,1,-0.08,1.38,0.27
1.51,1,-0.11,1.41,0.25
1.52,1,-0.14,1.44,0.24
1.53,1,-0.17,1.47,0.23
1.54,1,-0.2,1.49,0.21
1.55,1,-0.23,1.51,0.2
1.56,1,-0.26,1.53,0.18
1.57,1,-0.29,1.55,0.16
1.58,1,-0.31,1.57,0.15
1.59,1,-0.34,1.59,0.13
1.6,1,-0.36,1.6,0.11
1.61,1,-0.38,1.61,0.1
1.62,1,-0.4,1.62,0.08
1.63,1,-0.42,1.63,0.06
1.64,1,-0.44,1.63,0.05
1.65,1,-0.46,1.64,0.03
1.66,1,-0.47,1.64,0.01
1.67,1,-0.49,1.64,-0.01
1.68,1,-0.5,1.64,-0.02
1.69,1,-0.51,1.64,-0.04
