Time,R,VM,VP,VT
0,0,0,-0.01,0
0.01,0,0.01,-0.03,0
0.02,0,0.03,-0.03,0
0.03,0,0.02,-0.02,0.01
0.04,0,0.01,-0.03,0
0.05,0,0.02,-0.02,0.02
0.06,0,0.01,-0.02,0.02
0.07,0,0.01,-0.02,0.02
0.08,0,0.01,-0.01,0.02
0.09,0,0,-0.01,0.03
0.1,0,0.01,-0.04,-0.03
0.11,0,0.05,0,-0.01
0.12,0,-0.03,-0.01,0.03
0.13,0,0,-0.05,-0.01
0.14,0,0.07,0,0.03
0.15,0,-0.03,0,0.03
0.16,0,-0.02,0,0.03
0.17,0,-0.01,0.01,0.03
0.18,0,-0.01,0.02,0.03
0.19,0,-0.02,0.02,0.03
0.2,0,-0.01,0.02,0.03
0.21,0,-0.01,0.02,0.03
0.22,0,-0.02,0.03,0.03
0.23,0,-0.02,0.03,0.03
0.24,0,-0.03,0.03,0.03
0.25,0,-0.01,0.04,0.01
0.26,0,-0.03,0.04,0.03
0.27,0,-0.02,0.04,0.02
0.28,0,-0.02,0.05,0.02
0.29,0,-0.03,0.05,0.02
0.3,0,-0.03,-0.03,0
0.31,0,0.08,0.03,-0.03
0.32,0,-0.06,0.06,0.02
0.33,0,-0.06,0.06,-0.01
0.34,0,-0.04,0.05,0.01
0.35,0,-0.02,0.06,0.01
0.36,0,-0.04,0.06,0
0.37,0,-0.03,0.06,0
0.38,0,-0.04,0.06,0.01
0.39,0,-0.03,0.06,0
0.4,0,-0.04,0.07,0
0.41,0,-0.04,0.06,0
0.42,0,-0.03,0.06,0
0.43,0,-0.02,0.06,-0.01
0.44,0,-0.04,0.06,0
0.45,0,-0.04,0.06,0
0.46,0,-0.03,0.06,0
0.47,0,-0.03,0.06,0
0.48,0,-0.04,0.06,0
0.49,0,-0.04,0.06,0
0.5,0,-0.03,0.03,-0.03
0.51,0,0.01,0.05,0
0.52,0,-0.04,0.03,-0.04
0.53,0,-0.01,0.06,0
0.54,0,-0.05,0.06,0
0.55,0,-0.04,0.06,0
0.56,0,-0.03,0.06,0
0.57,0,-0.04,0.06,0
0.58,0,-0.03,0.06,0
0.59,0,-0.03,0.06,0
0.6,0,-0.04,0.06,0
0.61,0,-0.03,0.06,0
0.62,0,-0.03,0.06,0
0.63,0,-0.03,0.06,0
0.64,0,-0.03,0.05,-0.01
0.65,0,-0.01,0.05,0
0.66,0,-0.03,0.05,-0.01
0.67,0,-0.03,0.06,0
0.68,0,-0.04,0.06,0
0.69,0,-0.03,0.06,0
0.7,0,-0.04,0.02,-0.01
0.71,0,0.03,0.02,-0.04
0.72,0,0,0.02,0
0.73,0,-0.02,0.06,0
0.74,0,-0.07,0.05,0
0.75,0,-0.03,0.06,0
0.76,0,-0.05,0.06,0
0.77,0,-0.04,0.06,0
0.78,0,-0.03,0.06,0
0.79,0,-0.03,0.06,0
0.8,0,-0.03,0.06,0
0.81,0,-0.03,0.06,0
0.82,0,-0.03,0.06,0
0.83,0,-0.03,0.06,-0.02
0.84,0,-0.03,0.05,-0.02
0.85,0,-0.01,0.06,0
0.86,0,-0.04,0.06,0
0.87,0,-0.04,0.06,0
0.88,0,-0.03,0.06,0
0.89,0,-0.03,0.06,0
0.9,0,-0.04,0.02,-0.02
0.91,0,0.03,0.01,-0.04
0.92,0,0.01,0.06,0
0.93,0,-0.07,0.01,-0.04
0.94,0,0.03,0.06,0
0.95,0,-0.07,0.06,0
0.96,0,-0.05,0.06,0
0.97,0,-0.04,0.06,0
0.98,0,-0.03,0.06,0
0.99,0,-0.03,0.06,0
1,2.5,3.62,-0.01,0.03
1.01,2.5,1.93,0.06,0.12
1.02,2.5,1.38,0.08,0.18
1.03,2.5,1.29,0.09,0.22
1.04,2.5,1.28,0.13,0.24
1.05,2.5,1.22,0.15,0.27
1.06,2.5,1.23,0.16,0.29
1.07,2.5,1.23,0.22,0.32
1.08,2.5,1.16,0.27,0.35
1.09,2.5,1.13,0.31,0.36
1.1,2.5,1.12,0.31,0.35
1.11,2.5,1.16,0.33,0.35
1.12,2.5,1.13,0.4,0.38
1.13,2.5,1.06,0.45,0.42
1.14,2.5,1.03,0.55,0.44
1.15,2.5,0.94,0.6,0.45
1.16,2.5,0.94,0.65,0.46
1.17,2.5,0.93,0.71,0.47
1.18,2.5,0.89,0.77,0.48
1.19,2.5,0.86,0.82,0.48
1.2,2.5,0.83,0.88,0.49
1.21,2.5,0.8,0.93,0.5
1.22,2.5,0.77,0.99,0.5
1.23,2.5,0.73,1.05,0.5
1.24,2.5,0.7,1.1,0.49
1.25,2.5,0.69,1.17,0.49
1.26,2.5,0.63,1.23,0.5
1.27,2.5,0.61,1.29,0.49
1.28,2.5,0.58,1.34,0.48
1.29,2.5,0.55,1.4,0.48
1.3,2.5,0.52,1.4,0.47
1.31,2.5,0.57,1.46,0.45
1.32,2.5,0.5,1.53,0.42
1.33,2.5,0.44,1.62,0.46
1.34,2.5,0.37,1.68,0.45
1.35,2.5,0.37,1.73,0.45
1.36,2.5,0.34,1.79,0.44
1.37,2.5,0.32,1.84,0.44
1.38,2.5,0.29,1.89,0.42
1.39,2.5,0.27,1.94,0.42
1.4,2.5,0.24,1.98,0.41
1.41,2.5,0.22,2.03,0.39
1.42,2.5,0.2,2.05,0.32
1.43,2.5,0.21,2.11,0.36
1.44,2.5,0.15,2.16,0.35
1.45,2.5,0.12,2.19,0.35
1.46,2.5,0.13,2.23,0.33
1.47,2.5,0.1,2.27,0.32
1.48,2.5,0.08,2.31,0.3
1.49,2.5,0.05,2.34,0.3
1.5,2.5,0.05,2.36,0.26
1.51,2.5,0.05,2.4,0.27
1.52,2.5,0.01,2.44,0.26
1.53,2.5,-0.02,2.46,0.24
1.54,2.5,-0.01,2.49,0.23
1.55,2.5,-0.03,2.52,0.19
1.56,2.5,-0.05,2.54,0.21
1.57,2.5,-0.05,2.57,0.19
1.58,2.5,-0.06,2.58,0.18
1.59,2.5,-0.07,2.61,0.17
1.6,2.5,-0.09,2.63,0.16
1.61,2.5,-0.09,2.64,0.15
1.62,2.5,-0.1,2.66,0.13
1.63,2.5,-0.1,2.67,0.12
1.64,2.5,-0.11,2.67,0.11
1.65,2.5,-0.1,2.69,0.09
1.66,2.5,-0.12,2.71,0.08
1.67,2.5,-0.13,2.71,0.07
1.68,2.5,-0.12,2.72,0.06
1.69,2.5,-0.13,2.73,0.05
1.7,2.5,-0.13,2.7,0.01
1.71,2.5,-0.09,2.7,-0.01
1.72,2.5,-0.1,2.75,0.02
1.73,2.5,-0.17,2.74,0.01
1.74,2.5,-0.13,2.75,0
1.75,2.5,-0.14,2.73,0
1.76,2.5,-0.12,2.75,0
1.77,2.5,-0.14,2.74,0
1.78,2.5,-0.12,2.74,0
1.79,2.5,-0.13,2.73,0
1.8,2.5,-0.12,2.74,0
1.81,2.5,-0.13,2.74,0
1.82,2.5,-0.13,2.75,0
1.83,2.5,-0.14,2.73,0
1.84,2.5,-0.12,2.74,0
1.85,2.5,-0.13,2.73,0
1.86,2.5,-0.11,2.74,0
1.87,2.5,-0.14,2.73,-0.01
1.88,2.5,-0.11,2.74,0
1.89,2.5,-0.14,2.73,0
1.9,2.5,-0.12,2.72,-0.01
1.91,2.5,-0.1,2.72,-0.04
1.92,2.5,-0.12,2.7,0
1.93,2.5,-0.08,2.73,0
1.94,2.5,-0.15,2.75,0
1.95,2.5,-0.15,2.74,0
1.96,2.5,-0.13,2.74,0
1.97,2.5,-0.13,2.74,0
1.98,2.5,-0.13,2.74,0
1.99,2.5,-0.13,2.73,0
2,2.5,-0.12,2.74,0
2.01,2.5,-0.13,2.74,0
2.02,2.5,-0.13,2.74,0
2.03,2.5,-0.13,2.74,-0.01
2.04,2.5,-0.13,2.73,0
2.05,2.5,-0.12,2.72,0
2.06,2.5,-0.1,2.74,0
2.07,2.5,-0.15,2.73,0
2.08,2.5,-0.12,2.74,0
2.09,2.5,-0.13,2.74,0
2.1,2.5,-0.13,2.72,-0.01
2.11,2.5,-0.09,2.69,-0.05
2.12,2.5,-0.08,2.74,0
2.13,2.5,-0.17,2.73,0
2.14,2.5,-0.13,2.74,0
2.15,2.5,-0.13,2.73,0
2.16,2.5,-0.12,2.74,0
2.17,2.5,-0.13,2.74,0
2.18,2.5,-0.13,2.74,0
2.19,2.5,-0.13,2.74,0
2.2,2.5,-0.13,2.74,0
2.21,2.5,-0.13,2.74,0
2.22,2.5,-0.13,2.74,0
2.23,2.5,-0.13,2.73,-0.01
2.24,2.5,-0.12,2.7,0
2.25,2.5,-0.08,2.73,-0.01
2.26,2.5,-0.14,2.74,0
2.27,2.5,-0.14,2.74,0
2.28,2.5,-0.13,2.74,0
2.29,2.5,-0.13,2.74,0
2.3,2.5,-0.13,2.64,-0.02
2.31,2.5,0.02,2.73,0
2.32,2.5,-0.18,2.75,0
2.33,2.5,-0.17,2.73,0
2.34,2.5,-0.11,2.74,0
2.35,2.5,-0.14,2.74,0
2.36,2.5,-0.13,2.74,0
2.37,2.5,-0.13,2.74,0
2.38,2.5,-0.13,2.74,0
2.39,2.5,-0.13,2.74,0
2.4,2.5,-0.13,2.74,0
2.41,2.5,-0.13,2.73,0
2.42,2.5,-0.11,2.73,0
2.43,2.5,-0.13,2.74,0
2.44,2.5,-0.13,2.73,-0.01
