Time,R,VM,VP,VT
0,-1,-1.46,0,0
0.01,-0.98,-0.72,0,-0.02
0.02,-0.97,-0.55,-0.01,-0.04
0.03,-0.95,-0.5,-0.01,-0.06
0.04,-0.94,-0.48,-0.02,-0.07
0.05,-0.92,-0.46,-0.03,-0.08
0.06,-0.91,-0.44,-0.04,-0.1
0.07,-0.89,-0.43,-0.05,-0.11
0.08,-0.88,-0.41,-0.06,-0.12
0.09,-0.86,-0.4,-0.07,-0.13
0.1,-0.85,-0.38,-0.09,-0.14
0.11,-0.83,-0.36,-0.1,-0.14
0.12,-0.82,-0.35,-0.12,-0.15
0.13,-0.8,-0.33,-0.14,-0.16
0.14,-0.79,-0.31,-0.16,-0.16
0.15,-0.77,-0.29,-0.17,-0.16
0.16,-0.76,-0.27,-0.19,-0.17
0.17,-0.74,-0.26,-0.21,-0.17
0.18,-0.73,-0.24,-0.23,-0.17
0.19,-0.71,-0.22,-0.25,-0.17
0.2,-0.7,-0.2,-0.27,-0.17
0.21,-0.68,-0.18,-0.29,-0.17
0.22,-0.67,-0.16,-0.31,-0.17
0.23,-0.65,-0.14,-0.33,-0.17
0.24,-0.64,-0.13,-0.35,-0.17
0.25,-0.62,-0.11,-0.36,-0.17
0.26,-0.61,-0.09,-0.38,-0.17
0.27,-0.59,-0.07,-0.4,-0.16
0.28,-0.58,-0.06,-0.42,-0.16
0.29,-0.56,-0.04,-0.44,-0.15
0.3,-0.55,-0.02,-0.45,-0.15
0.31,-0.53,-0.01,-0.47,-0.14
0.32,-0.52,0.01,-0.49,-0.14
0.33,-0.5,0.03,-0.5,-0.13
0.34,-0.49,0.04,-0.51,-0.13
0.35,-0.47,0.06,-0.53,-0.12
0.36,-0.46,0.07,-0.54,-0.11
0.37,-0.44,0.09,-0.55,-0.11
0.38,-0.43,0.1,-0.57,-0.1
0.39,-0.41,0.11,-0.58,-0.09
0.4,-0.4,0.13,-0.59,-0.08
0.41,-0.38,0.14,-0.59,-0.08
0.42,-0.37,0.15,-0.6,-0.07
0.43,-0.35,0.16,-0.61,-0.06
0.44,-0.34,0.17,-0.62,-0.05
0.45,-0.32,0.18,-0.62,-0.05
0.46,-0.31,0.19,-0.63,-0.04
0.47,-0.29,0.2,-0.63,-0.03
0.48,-0.28,0.21,-0.63,-0.02
0.49,-0.26,0.22,-0.63,-0.01
0.5,-0.25,0.23,-0.64,0
0.51,-0.23,0.23,-0.64,0
0.52,-0.22,0.24,-0.64,0.01
0.53,-0.2,0.25,-0.63,0.02
0.54,-0.19,0.25,-0.63,0.03
0.55,-0.17,0.26,-0.63,0.04
0.56,-0.16,0.26,-0.62,0.04
0.57,-0.14,0.27,-0.62,0.05
0.58,-0.13,0.27,-0.61,0.06
0.59,-0.11,0.28,-0.6,0.07
0.6,-0.1,0.28,-0.6,0.07
0.61,-0.08,0.28,-0.59,0.08
0.62,-0.07,0.29,-0.58,0.09
0.63,-0.05,0.29,-0.57,0.09
0.64,-0.04,0.29,-0.56,0.1
0.65,-0.02,0.29,-0.55,0.11
0.66,-0.01,0.29,-0.54,0.11
0.67,0.01,0.29,-0.52,0.12
0.68,0.02,0.29,-0.51,0.12
0.69,0.04,0.29,-0.49,0.13
0.7,0.05,0.29,-0.48,0.13
0.71,0.07,0.29,-0.46,0.14
0.72,0.08,0.29,-0.45,0.14
0.73,0.1,0.29,-0.43,0.15
0.74,0.11,0.29,-0.42,0.15
0.75,0.13,0.29,-0.4,0.16
0.76,0.14,0.29,-0.38,0.16
0.77,0.16,0.28,-0.36,0.17
0.78,0.17,0.28,-0.34,0.17
0.79,0.19,0.28,-0.32,0.17
0.8,0.2,0.28,-0.31,0.18
0.81,0.22,0.27,-0.29,0.18
