Time,R,VM,VP,VT
0,0,0,-0.02,0
0.02,0,-0.02,-0.03,0
0.04,0,0.03,-0.03,0.01
0.06,0,0.03,-0.03,0.03
0.08,0,-0.07,-0.01,0.03
0.1,0,-0.11,-0.01,0.02
0.12,0,-0.09,-0.01,0.02
0.14,0,-0.09,-0.01,0.02
0.16,0,-0.08,0,0.02
0.18,0,-0.11,0,0.02
0.2,0,-0.1,0,0.02
0.22,0,-0.15,0,0.02
0.24,0,-0.13,0,0.01
0.26,0,-0.11,0,0
0.28,0,-0.08,0,0.01
0.3,0,-0.11,0.01,0.01
0.32,0,-0.12,0,0
0.34,0,-0.11,0,-0.01
0.36,0,-0.03,0,0.01
0.38,0,-0.11,0.01,0.01
0.4,0,-0.12,0.01,0.01
0.42,0,-0.14,0.01,0.01
0.44,0,-0.15,0.01,0
0.46,0,-0.12,0.01,0
0.48,0,-0.13,0.01,0.01
0.5,0,-0.16,0,0.01
0.52,0,-0.16,-0.01,0.01
0.54,0,-0.14,0.01,0
0.56,0,-0.08,0,0.01
0.58,0,-0.17,0.01,0.01
0.6,0,-0.16,0.01,0
0.62,0,-0.15,0.01,0
0.64,0,-0.15,0.01,0
0.66,0,-0.16,0.01,0.01
0.68,0,-0.19,0,0
0.7,0,-0.16,0,0
0.72,0,-0.15,0,0
0.74,0,-0.15,0,0
0.76,0,-0.15,0.01,0.01
0.78,0,-0.19,0.01,0.01
0.8,0,-0.21,0.01,0.01
0.82,0,-0.21,0.01,0
0.84,0,-0.19,0,0
0.86,0,-0.19,0,0.01
0.88,0,-0.21,0.01,0
0.9,0,-0.18,0.02,0.01
0.92,0,-0.23,0.01,0.01
0.94,0,-0.26,0.01,0
0.96,0,-0.21,0,0
0.98,0,-0.18,0.01,0
1,2.5,-0.2,0.01,0
1.02,2.5,5,-0.09,0.05
1.04,2.5,5,-0.01,0.36
1.06,2.5,4.07,0.12,0.63
1.08,2.5,2.78,0.31,0.83
1.1,2.5,1.69,0.54,0.92
1.12,2.5,0.84,0.77,0.96
1.14,2.5,0.15,1.01,0.93
1.16,2.5,-0.28,1.23,0.84
1.18,2.5,-0.46,1.43,0.78
1.2,2.5,-0.71,1.61,0.69
1.22,2.5,-0.8,1.76,0.59
1.24,2.5,-0.78,1.88,0.48
1.26,2.5,-0.68,1.97,0.39
1.28,2.5,-0.57,2.05,0.33
1.3,2.5,-0.49,2.11,0.27
1.32,2.5,-0.41,2.16,0.21
1.34,2.5,-0.28,2.19,0.17
1.36,2.5,-0.19,2.22,0.12
1.38,2.5,-0.07,2.24,0.11
1.4,2.5,-0.07,2.27,0.09
1.42,2.5,-0.02,2.28,0.08
1.44,2.5,0.02,2.29,0.06
1.46,2.5,0.07,2.29,0.03
1.48,2.5,0.2,2.31,0.06
1.5,2.5,0.11,2.33,0.06
1.52,2.5,0.03,2.34,0.06
1.54,2.5,0,2.36,0.06
1.56,2.5,0,2.37,0.05
1.58,2.5,0.01,2.37,0.04
1.6,2.5,0.05,2.38,0.04
1.62,2.5,0.05,2.39,0.03
1.64,2.5,0.06,2.39,0.03
1.66,2.5,0.06,2.4,0.03
1.68,2.5,0.05,2.4,0.03
1.7,2.5,0.04,2.42,0.04
1.72,2.5,0,2.43,0.04
1.74,2.5,-0.04,2.43,0.03
1.76,2.5,-0.03,2.45,0.03
1.78,2.5,-0.01,2.45,0.02
1.8,2.5,-0.01,2.45,0.02
1.82,2.5,-0.01,2.45,0.02
1.84,2.5,0.01,2.43,0.02
1.86,2.5,0.01,2.45,0.02
1.88,2.5,0.07,2.45,0.02
1.9,2.5,0.02,2.46,0.02
1.92,2.5,0.02,2.46,0.02
1.94,2.5,0.01,2.46,0.02
1.96,2.5,0.01,2.46,0.02
1.98,2.5,0.01,2.46,0.02
2,2.5,0,2.47,0.02
2.02,2.5,0.01,2.47,0.02
2.04,2.5,-0.01,2.48,0.02
2.06,2.5,-0.01,2.48,0.01
2.08,2.5,0,2.47,0
2.1,2.5,0.03,2.48,0.01
2.12,2.5,0.02,2.48,0.01
2.14,2.5,0.01,2.48,0.02
2.16,2.5,-0.02,2.48,0.01
2.18,2.5,-0.01,2.48,0
2.2,2.5,0.02,2.48,0.01
2.22,2.5,-0.01,2.49,0.02
2.24,2.5,-0.03,2.48,0.02
2.26,2.5,-0.06,2.49,0.01
2.28,2.5,-0.01,2.48,0.01
2.3,2.5,-0.03,2.49,0.01
2.32,2.5,-0.02,2.48,0.01
2.34,2.5,-0.03,2.48,0.01
2.36,2.5,-0.02,2.48,0
2.38,2.5,0.01,2.48,0.01
2.4,2.5,-0.02,2.48,0
2.42,2.5,0.04,2.48,0.01
2.44,2.5,0,2.48,0.01
2.46,2.5,-0.01,2.49,0.01
2.48,2.5,-0.01,2.49,0.01
2.5,2.5,-0.03,2.48,0
2.52,2.5,0,2.48,0.01
2.54,2.5,-0.01,2.49,0.01
2.56,2.5,-0.01,2.49,0.01
2.58,2.5,-0.03,2.49,0.01
2.6,2.5,-0.03,2.49,0
2.62,2.5,0,2.48,0
2.64,2.5,0,2.48,0
2.66,2.5,0.01,2.48,0
2.68,2.5,0.02,2.48,0
2.7,2.5,0.02,2.47,0.01
2.72,2.5,-0.01,2.48,0
2.74,2.5,0.05,2.48,-0.02
2.76,2.5,0.14,2.48,0.01
2.78,2.5,0,2.49,0.02
2.8,2.5,-0.03,2.49,0
2.82,2.5,0.04,2.48,0.01
2.84,2.5,-0.01,2.49,0.01
2.86,2.5,0.01,2.5,0.01
2.88,2.5,-0.03,2.5,0.01
2.9,2.5,-0.05,2.5,0
2.92,2.5,-0.02,2.5,0
2.94,2.5,-0.02,2.5,0
2.96,2.5,-0.02,2.5,0
2.98,2.5,-0.02,2.51,0
3,2.5,-0.03,2.51,0
3.02,2.5,-0.04,2.51,0
3.04,2.5,-0.04,2.5,0
3.06,2.5,-0.05,2.51,0
3.08,2.5,-0.03,2.51,0
3.1,2.5,-0.05,2.5,0
3.12,2.5,-0.02,2.5,0
3.14,2.5,-0.04,2.5,0
3.16,2.5,-0.04,2.48,0
3.18,2.5,-0.01,2.5,0
3.2,2.5,0.05,2.5,0
3.22,2.5,-0.03,2.51,0
3.24,2.5,-0.04,2.5,0
3.26,2.5,-0.05,2.51,0
3.28,2.5,-0.04,2.51,0
3.3,2.5,-0.06,2.51,0
3.32,2.5,-0.06,2.51,0
3.34,2.5,-0.06,2.5,0
3.36,2.5,-0.03,2.51,0
3.38,2.5,-0.05,2.51,0
3.4,2.5,-0.03,2.5,0
3.42,2.5,-0.06,2.51,0
3.44,2.5,-0.05,2.5,0
3.46,2.5,-0.04,2.5,0
3.48,2.5,-0.02,2.5,0
3.5,2.5,-0.02,2.5,0
3.52,2.5,-0.02,2.5,0
3.54,2.5,-0.02,2.5,0
3.56,2.5,-0.05,2.51,0
3.58,2.5,-0.05,2.51,0
3.6,2.5,-0.07,2.51,0
3.62,2.5,-0.07,2.51,0
3.64,2.5,-0.07,2.5,0
3.66,2.5,-0.07,2.5,0
3.68,2.5,-0.06,2.5,0
3.7,2.5,-0.06,2.51,0
3.72,2.5,-0.06,2.48,-0.01
3.74,2.5,0.01,2.5,0
3.76,2.5,0,2.51,0
3.78,2.5,-0.06,2.51,0
3.8,2.5,-0.08,2.51,0
3.82,2.5,-0.08,2.51,0
3.84,2.5,-0.05,2.51,0
3.86,2.5,-0.08,2.51,0
3.88,2.5,-0.08,2.51,0
3.9,2.5,-0.09,2.51,0
3.92,2.5,-0.06,2.51,0
3.94,2.5,-0.09,2.5,0
3.96,2.5,-0.09,2.51,0
3.98,2.5,-0.08,2.51,0
4,2.5,-0.09,2.51,0
4.02,2.5,-0.07,2.51,0
4.04,2.5,-0.1,2.5,0
4.06,2.5,-0.1,2.51,0
4.08,2.5,-0.06,2.51,0
4.1,2.5,-0.1,2.5,-0.01
4.12,2.5,-0.01,2.51,0
4.14,2.5,-0.08,2.51,0
4.16,2.5,-0.1,2.5,0
4.18,2.5,-0.1,2.51,0
4.2,2.5,-0.09,2.51,0
4.22,2.5,-0.11,2.51,0
4.24,2.5,-0.11,2.51,0
4.26,2.5,-0.11,2.51,0
4.28,2.5,-0.11,2.51,0
4.3,2.5,-0.08,2.51,0
4.32,2.5,-0.09,2.51,0
4.34,2.5,-0.12,2.51,0
4.36,2.5,-0.12,2.51,0
4.38,2.5,-0.12,2.51,0
4.4,2.5,-0.12,2.51,0
4.42,2.5,-0.12,2.51,0
4.44,2.5,-0.1,2.51,0
4.46,2.5,-0.13,2.51,0
4.48,2.5,-0.1,2.51,0
