Time,R,VM,VP,VT
0,0,0,0.01,0
0.01,0,0.01,-0.01,0
0.02,0,-0.01,-0.01,0
0.03,0,0,-0.01,0.01
0.04,0,-0.03,0,0.01
0.05,0,-0.02,0,0.02
0.06,0,-0.08,0,0
0.07,0,0.01,0,0.02
0.08,0,-0.11,0,0.03
0.09,0,-0.16,0,0.03
0.1,0,-0.16,0.01,0.01
0.11,0,-0.08,0.02,0.02
0.12,0,-0.15,0.02,-0.04
0.13,0,0.16,0.02,-0.03
0.14,0,0.07,0.02,0
0.15,0,-0.07,0.02,0.03
0.16,0,-0.21,0.03,0.03
0.17,0,-0.21,0.03,-0.01
0.18,0,-0.04,0.03,0.02
0.19,0,-0.19,0.03,0.03
0.2,0,-0.29,0.05,0.02
0.21,0,-0.19,0.05,0.02
0.22,0,-0.25,0.05,0.01
0.23,0,-0.22,0.03,0
0.24,0,-0.21,0.05,0
0.25,0,-0.17,0.05,0
0.26,0,-0.17,0.05,0
0.27,0,-0.17,0.04,0
0.28,0,-0.22,0.05,0
0.29,0,-0.17,0.05,0
0.3,0,-0.18,0.05,0
0.31,0,-0.19,0.05,0
0.32,0,-0.22,0.05,-0.07
0.33,0,0.15,0.05,-0.01
0.34,0,-0.17,0.05,0
0.35,0,-0.22,-0.01,-0.03
0.36,0,-0.06,0.03,-0.01
0.37,0,-0.03,0.03,-0.01
0.38,0,-0.13,0.05,0
0.39,0,-0.19,-0.01,-0.03
0.4,0,-0.05,0,0
0.41,0,-0.09,0.05,0
0.42,0,-0.12,0.05,0
0.43,0,-0.23,0.04,-0.01
0.44,0,-0.16,0.03,-0.01
0.45,0,-0.16,0.05,0
0.46,0,-0.16,0.05,0
0.47,0,-0.21,0.05,0
0.48,0,-0.22,0.05,0
0.49,0,-0.26,0.05,0
0.5,0,-0.23,0.06,0
0.51,0,-0.24,0.06,0
0.52,0,-0.25,0.06,-0.06
0.53,0,0.04,0.05,-0.01
0.54,0,-0.19,0.02,-0.03
0.55,0,-0.12,0,-0.04
0.56,0,0.05,0.05,0
0.57,0,-0.1,0.03,0
0.58,0,-0.26,0.02,0.01
0.59,0,-0.24,0.05,0
0.6,0,-0.16,0.05,0
0.61,0,-0.24,0.06,-0.01
0.62,0,-0.22,0.06,0
0.63,0,-0.27,0.05,0
0.64,0,-0.27,0.06,0
0.65,0,-0.26,0.06,0
0.66,0,-0.28,0.06,0
0.67,0,-0.28,0.05,0
0.68,0,-0.29,0.05,0
0.69,0,-0.28,0.05,0
0.7,0,-0.28,0.06,0
0.71,0,-0.28,0.06,0
0.72,0,-0.33,0.06,-0.1
0.73,0,0.17,0.06,-0.01
0.74,0,-0.28,0.02,-0.01
0.75,0,-0.27,0.06,0
0.76,0,-0.25,0.06,0
0.77,0,-0.31,0.03,-0.03
0.78,0,-0.16,0.01,-0.04
0.79,0,-0.06,0.06,0
0.8,0,-0.19,0.03,-0.04
0.81,0,-0.1,0.02,-0.04
0.82,0,-0.02,0.01,-0.06
0.83,0,0.1,0.06,0
0.84,0,-0.2,0.06,-0.01
0.85,0,-0.25,0.06,0
0.86,0,-0.34,0.06,0
0.87,0,-0.3,0.05,0
0.88,0,-0.32,0.06,0
0.89,0,-0.29,0.06,0
0.9,0,-0.31,0.06,0
0.91,0,-0.33,0.05,0
0.92,0,-0.34,0.06,-0.12
0.93,0,0.25,0.02,0.01
0.94,0,-0.39,0.03,-0.02
0.95,0,-0.14,0.06,0
0.96,0,-0.29,0.06,0
0.97,0,-0.32,0.03,-0.05
0.98,0,-0.1,0.05,-0.03
0.99,0,-0.14,0.06,0
1,2.5,-0.29,0.06,0
1.01,2.5,5,-0.07,0.02
1.02,2.5,5,0,0.15
1.03,2.5,4.84,0.02,0.35
1.04,2.5,3.87,0.11,0.5
1.05,2.5,3.26,0.16,0.6
1.06,2.5,2.67,0.26,0.69
1.07,2.5,2.18,0.35,0.74
1.08,2.5,1.74,0.45,0.78
1.09,2.5,1.38,0.54,0.81
1.1,2.5,1.02,0.65,0.83
1.11,2.5,0.78,0.75,0.83
1.12,2.5,0.52,0.85,0.71
1.13,2.5,0.88,0.95,0.8
1.14,2.5,0.21,1.06,0.8
1.15,2.5,0.01,1.13,0.76
1.16,2.5,-0.1,1.23,0.72
1.17,2.5,-0.09,1.29,0.68
1.18,2.5,-0.12,1.37,0.6
1.19,2.5,0.13,1.43,0.57
1.2,2.5,0.08,1.53,0.58
1.21,2.5,-0.12,1.61,0.52
1.22,2.5,-0.08,1.62,0.48
1.23,2.5,-0.07,1.71,0.49
1.24,2.5,-0.18,1.77,0.45
1.25,2.5,-0.22,1.82,0.43
1.26,2.5,-0.27,1.87,0.39
1.27,2.5,-0.2,1.92,0.36
1.28,2.5,-0.17,1.91,0.32
1.29,2.5,-0.08,1.95,0.27
1.3,2.5,0.18,1.97,0.24
1.31,2.5,0.2,2.01,0.28
1.32,2.5,-0.03,2.07,0.12
1.33,2.5,0.68,2.04,0.25
1.34,2.5,-0.12,2.14,0.24
1.35,2.5,0.02,2.16,0.23
1.36,2.5,-0.2,2.15,0.2
1.37,2.5,-0.1,2.16,0.17
1.38,2.5,0.1,2.22,0.14
1.39,2.5,0.21,2.24,0.15
1.4,2.5,0.01,2.25,0.14
1.41,2.5,0,2.25,0.07
1.42,2.5,0.31,2.25,0.12
1.43,2.5,0.1,2.3,0.11
1.44,2.5,0.12,2.31,0.09
1.45,2.5,0.1,2.32,0.09
1.46,2.5,0.06,2.33,0.08
1.47,2.5,0.11,2.34,0.07
1.48,2.5,0.15,2.34,0.06
1.49,2.5,0.19,2.34,0.05
1.5,2.5,0.2,2.36,0.05
1.51,2.5,0.21,2.36,0.05
1.52,2.5,0.21,2.36,-0.05
1.53,2.5,0.68,2.36,0
1.54,2.5,0.46,2.33,0
1.55,2.5,0.44,2.37,0.05
1.56,2.5,0.3,2.38,0.05
1.57,2.5,0.19,2.35,0.04
1.58,2.5,0.24,2.4,0.05
1.59,2.5,0.25,2.39,0.05
1.6,2.5,0.15,2.4,0.04
1.61,2.5,0.21,2.4,0.03
1.62,2.5,0.22,2.41,0.03
1.63,2.5,0.22,2.42,0.02
1.64,2.5,0.29,2.41,0.03
1.65,2.5,0.22,2.42,0.02
1.66,2.5,0.27,2.42,0.02
1.67,2.5,0.26,2.42,0.02
1.68,2.5,0.26,2.43,0.02
1.69,2.5,0.25,2.43,0.02
1.7,2.5,0.24,2.43,0.02
1.71,2.5,0.24,2.43,0.02
1.72,2.5,0.23,2.43,-0.07
1.73,2.5,0.71,2.43,0
1.74,2.5,0.34,2.39,0.03
1.75,2.5,0.21,2.45,0.03
1.76,2.5,0.33,2.44,0.03
1.77,2.5,0.2,2.42,0.03
1.78,2.5,0.21,2.43,0.02
1.79,2.5,0.3,2.45,0.02
1.8,2.5,0.26,2.46,0.02
1.81,2.5,0.22,2.46,0.02
1.82,2.5,0.23,2.46,0.02
1.83,2.5,0.23,2.46,0.02
1.84,2.5,0.24,2.46,0.01
1.85,2.5,0.25,2.46,0.01
1.86,2.5,0.25,2.46,0.01
1.87,2.5,0.25,2.46,0.01
1.88,2.5,0.26,2.46,0.01
1.89,2.5,0.26,2.46,0.01
1.9,2.5,0.26,2.47,0.01
1.91,2.5,0.26,2.47,0.01
1.92,2.5,0.25,2.47,-0.07
1.93,2.5,0.63,2.46,-0.03
1.94,2.5,0.44,2.44,-0.01
1.95,2.5,0.37,2.43,0
1.96,2.5,0.4,2.47,0.02
1.97,2.5,0.3,2.47,0.02
1.98,2.5,0.25,2.49,-0.01
1.99,2.5,0.4,2.48,0.03
2,2.5,0.15,2.49,0.03
2.01,2.5,0.14,2.5,0.02
2.02,2.5,0.16,2.49,0.02
2.03,2.5,0.14,2.5,0.02
2.04,2.5,0.15,2.5,0.01
2.05,2.5,0.19,2.5,0.01
2.06,2.5,0.19,2.5,0.01
2.07,2.5,0.19,2.5,0
2.08,2.5,0.22,2.5,0
2.09,2.5,0.22,2.5,0
2.1,2.5,0.22,2.5,0
2.11,2.5,0.21,2.5,0
2.12,2.5,0.21,2.49,-0.03
2.13,2.5,0.39,2.48,0
2.14,2.5,0.25,2.46,-0.03
2.15,2.5,0.41,2.49,0.01
2.16,2.5,0.28,2.5,0.02
2.17,2.5,0.18,2.51,-0.03
2.18,2.5,0.37,2.5,0
2.19,2.5,0.24,2.51,0.02
2.2,2.5,0.17,2.51,0.01
2.21,2.5,0.18,2.5,0.02
2.22,2.5,0.12,2.51,0.01
2.23,2.5,0.19,2.51,0
2.24,2.5,0.19,2.51,0.01
2.25,2.5,0.17,2.51,0
2.26,2.5,0.2,2.51,0
2.27,2.5,0.2,2.51,0
2.28,2.5,0.2,2.51,0.01
2.29,2.5,0.17,2.51,0
2.3,2.5,0.18,2.51,0
2.31,2.5,0.18,2.51,0
2.32,2.5,0.19,2.49,0
2.33,2.5,0.22,2.49,-0.01
2.34,2.5,0.31,2.46,-0.01
2.35,2.5,0.31,2.49,0
2.36,2.5,0.33,2.51,0.01
2.37,2.5,0.21,2.51,0.02
2.38,2.5,0.14,2.47,0.01
2.39,2.5,0.16,2.51,0
2.4,2.5,0.31,2.51,0.01
2.41,2.5,0.15,2.51,0.01
2.42,2.5,0.16,2.51,0.01
2.43,2.5,0.15,2.51,0
2.44,2.5,0.19,2.51,0
2.45,2.5,0.17,2.51,0
2.46,2.5,0.21,2.51,0
2.47,2.5,0.21,2.51,0
2.48,2.5,0.18,2.5,0
2.49,2.5,0.18,2.51,0
2.5,2.5,0.2,2.5,0
2.51,2.5,0.21,2.51,0
2.52,2.5,0.23,2.5,0
2.53,2.5,0.18,2.49,0
2.54,2.5,0.2,2.46,0.02
2.55,2.5,0.16,2.51,-0.03
2.56,2.5,0.43,2.5,-0.01
2.57,2.5,0.23,2.51,-0.01
2.58,2.5,0.26,2.5,0.02
2.59,2.5,0.11,2.51,0
2.6,2.5,0.2,2.51,0.01
2.61,2.5,0.14,2.52,0.01
2.62,2.5,0.14,2.51,0
2.63,2.5,0.15,2.51,0
2.64,2.5,0.16,2.51,0
2.65,2.5,0.16,2.51,0
2.66,2.5,0.16,2.51,0
2.67,2.5,0.16,2.51,0
2.68,2.5,0.15,2.51,0
2.69,2.5,0.15,2.51,0
2.7,2.5,0.15,2.5,0
2.71,2.5,0.18,2.5,0
2.72,2.5,0.18,2.5,0
2.73,2.5,0.18,2.49,0
2.74,2.5,0.18,2.51,-0.03
2.75,2.5,0.38,2.52,-0.01
2.76,2.5,0.21,2.49,-0.01
2.77,2.5,0.23,2.51,0.01
2.78,2.5,0.18,2.49,-0.01
2.79,2.5,0.21,2.52,0.01
2.8,2.5,0.18,2.52,0.01
2.81,2.5,0.11,2.52,0
2.82,2.5,0.14,2.52,0
2.83,2.5,0.13,2.52,0
2.84,2.5,0.13,2.52,0
2.85,2.5,0.13,2.52,0
2.86,2.5,0.13,2.52,0
2.87,2.5,0.13,2.52,0
2.88,2.5,0.12,2.52,0
2.89,2.5,0.11,2.52,0
2.9,2.5,0.12,2.52,0
2.91,2.5,0.12,2.52,0
2.92,2.5,0.11,2.51,0
2.93,2.5,0.11,2.51,0
2.94,2.5,0.14,2.52,0
2.95,2.5,0.14,2.48,0
2.96,2.5,0.14,2.51,-0.01
2.97,2.5,0.3,2.48,0
2.98,2.5,0.14,2.48,0.01
2.99,2.5,0.17,2.52,-0.03
