Time,R,VM,VP,VT
0,0,0,0,-0.01
0.01,0,0.04,-0.02,0
0.02,0,-0.03,-0.01,0.01
0.03,0,0,-0.01,0.02
0.04,0,-0.05,-0.01,0.02
0.05,0.01,-0.05,-0.01,0.02
0.06,0.01,-0.07,0,0.02
0.07,0.01,-0.07,0,0.02
0.08,0.02,-0.08,0,0.02
0.09,0.02,-0.07,-0.03,0.02
0.1,0.03,-0.03,0,0.02
0.11,0.04,0.02,0,0.02
0.12,0.04,-0.03,0,0.02
0.13,0.05,-0.01,0,0.02
0.14,0.06,-0.01,0,0.02
0.15,0.07,0.03,-0.04,-0.01
0.16,0.08,0.18,0.01,-0.02
0.17,0.09,0.39,0,0.04
0.18,0.1,0,0.02,0.04
0.19,0.11,0.04,0.01,0.05
0.2,0.12,0.01,0.02,0.02
0.21,0.13,0.17,0.02,0.05
0.22,0.15,0.07,0.03,0.05
0.23,0.16,0.09,0.04,0.05
0.24,0.17,0.07,0.05,0.05
0.25,0.19,0.09,0.04,0.05
0.26,0.2,0.11,0.06,0.05
0.27,0.22,0.17,0.06,0.06
0.28,0.24,0.14,0.07,0.06
0.29,0.25,0.18,0.06,0.06
0.3,0.27,0.17,0.08,0.06
0.31,0.29,0.24,0.09,0.06
0.32,0.31,0.24,0.09,0.06
0.33,0.33,0.27,0.09,0.07
0.34,0.35,0.28,0.11,0.07
0.35,0.37,0.34,0.03,0.06
0.36,0.39,0.43,0.12,0.03
0.37,0.41,0.79,0.13,0.08
0.38,0.43,0.42,0.15,0.05
0.39,0.46,0.6,0.16,0.11
0.4,0.48,0.35,0.18,0.12
0.41,0.5,0.34,0.2,0.12
0.42,0.53,0.35,0.2,0.12
0.43,0.55,0.39,0.21,0.12
0.44,0.58,0.44,0.23,0.12
0.45,0.61,0.48,0.23,0.12
0.46,0.63,0.5,0.26,0.12
0.47,0.66,0.56,0.27,0.12
0.48,0.69,0.58,0.29,0.12
0.49,0.72,0.66,0.3,0.14
0.5,0.75,0.58,0.32,0.15
0.51,0.78,0.61,0.33,0.15
0.52,0.81,0.65,0.36,0.16
0.53,0.84,0.63,0.38,0.17
0.54,0.87,0.63,0.39,0.17
0.55,0.9,0.65,0.38,0.15
0.56,0.94,0.79,0.41,0.18
0.57,0.97,0.8,0.45,0.19
0.58,1,0.75,0.48,0.2
0.59,1.04,0.71,0.5,0.21
0.6,1.07,0.69,0.53,0.21
0.61,1.11,0.7,0.55,0.22
0.62,1.14,0.7,0.57,0.23
0.63,1.18,0.71,0.6,0.23
0.64,1.21,0.72,0.63,0.24
0.65,1.25,0.72,0.65,0.24
0.66,1.29,0.76,0.69,0.24
0.67,1.33,0.78,0.71,0.24
0.68,1.36,0.82,0.75,0.26
0.69,1.4,0.78,0.77,0.27
0.7,1.44,0.74,0.78,0.28
0.71,1.48,0.72,0.84,0.28
0.72,1.52,0.81,0.87,0.29
0.73,1.56,0.71,0.9,0.29
0.74,1.6,0.75,0.93,0.3
0.75,1.64,0.71,0.94,0.3
0.76,1.68,0.77,0.99,0.31
0.77,1.73,0.8,1.05,0.32
0.78,1.77,0.74,1.08,0.33
0.79,1.81,0.64,1.12,0.34
0.8,1.85,0.64,1.15,0.34
0.81,1.9,0.65,1.2,0.35
0.82,1.94,0.62,1.25,0.35
0.83,1.98,0.63,1.28,0.35
0.84,2.03,0.61,1.33,0.36
0.85,2.07,0.6,1.37,0.36
0.86,2.11,0.59,1.41,0.36
0.87,2.16,0.58,1.45,0.36
0.88,2.2,0.61,1.49,0.36
0.89,2.25,0.59,1.53,0.37
0.9,2.29,0.57,1.58,0.36
0.91,2.33,0.6,1.62,0.37
0.92,2.38,0.58,1.67,0.37
0.93,2.42,0.59,1.7,0.37
0.94,2.47,0.58,1.74,0.38
0.95,2.51,0.57,1.79,0.37
0.96,2.56,0.61,1.84,0.38
0.97,2.6,0.57,1.88,0.38
0.98,2.65,0.53,1.92,0.38
0.99,2.69,0.53,1.97,0.38
1,2.73,0.55,2.01,0.38
1.01,2.78,0.54,2.05,0.38
1.02,2.82,0.58,2.09,0.38
1.03,2.86,0.55,2.13,0.38
1.04,2.91,0.55,2.18,0.38
