Time,R,VM,VP,VT
0,0,0,0,0
0,3,-0.02,-0.01,0.01
0,3,5,-0.11,0.05
0,3,4.88,-0.07,0.13
0,3,4.72,-0.06,0.2
0.01,3,4.29,-0.04,0.29
0.01,3,3.85,-0.02,0.35
0.01,3,3.55,0.01,0.42
0.01,3,3.19,0.03,0.47
0.01,3,2.9,0.08,0.51
0.01,3,2.62,0.11,0.55
0.01,3,2.36,0.15,0.57
0.01,3,2.19,0.18,0.61
0.01,3,1.91,0.23,0.63
0.01,3,1.73,0.27,0.65
0.01,3,1.56,0.31,0.66
0.02,3,1.4,0.38,0.68
0.02,3,1.26,0.41,0.69
0.02,3,1.06,0.46,0.69
0.02,3,0.99,0.5,0.69
0.02,3,0.85,0.54,0.69
0.02,3,0.78,0.59,0.69
0.02,3,0.69,0.63,0.68
0.02,3,0.61,0.68,0.68
0.02,3,0.52,0.72,0.68
0.03,3,0.46,0.77,0.66
0.03,3,0.41,0.81,0.66
0.03,3,0.35,0.85,0.65
0.03,3,0.31,0.89,0.63
0.03,3,0.28,0.93,0.63
0.03,3,0.21,0.96,0.62
0.03,3,0.19,1.01,0.6
0.03,3,0.17,1.04,0.59
0.03,3,0.13,1.08,0.59
0.03,3,0.1,1.12,0.57
0.04,3,0.06,1.15,0.56
0.04,3,0.02,1.19,0.55
0.04,3,0.02,1.22,0.54
0.04,3,-0.02,1.26,0.53
0.04,3,-0.03,1.29,0.51
0.04,3,-0.06,1.33,0.5
0.04,3,-0.04,1.36,0.48
0.04,3,-0.06,1.38,0.47
0.04,3,-0.07,1.41,0.46
0.04,3,-0.07,1.45,0.45
0.04,3,-0.07,1.48,0.44
0.05,3,-0.1,1.5,0.42
0.05,3,-0.1,1.53,0.41
0.05,3,-0.1,1.55,0.4
0.05,3,-0.09,1.56,0.38
0.05,3,-0.06,1.58,0.36
0.05,3,0.01,1.62,0.36
0.05,3,-0.02,1.65,0.35
0.05,3,-0.05,1.67,0.34
0.05,3,-0.06,1.69,0.33
0.06,3,-0.05,1.71,0.32
0.06,3,-0.06,1.73,0.31
0.06,3,-0.04,1.75,0.3
0.06,3,-0.02,1.76,0.29
0.06,3,-0.01,1.78,0.29
0.06,3,-0.04,1.79,0.27
0.06,3,-0.02,1.81,0.26
0.06,3,0.02,1.83,0.26
0.06,3,-0.02,1.84,0.25
0.06,3,0,1.86,0.24
0.07,3,0.01,1.88,0.23
0.07,3,0.03,1.89,0.23
0.07,3,0.02,1.9,0.22
0.07,3,0.02,1.91,0.21
0.07,3,0.03,1.92,0.2
0.07,3,0.06,1.92,0.2
0.07,3,0.06,1.94,0.2
0.07,3,0.08,1.96,0.19
0.07,3,0.07,1.97,0.19
0.07,3,0.03,1.98,0.18
