Time,R,VM,VP,VT
0,1.5,0,0,0
0.01,3,3.63,-0.09,0.03
0.02,3,5,-0.07,0.15
0.03,3,4.87,-0.04,0.31
0.04,3,4.24,0,0.46
0.05,3,3.63,0.08,0.58
0.06,3,3.09,0.17,0.66
0.07,3,2.63,0.26,0.74
0.08,3,2.15,0.36,0.79
0.09,3,1.81,0.45,0.83
0.1,3,1.48,0.56,0.85
0.11,3,1.2,0.65,0.86
0.12,3,0.96,0.77,0.86
0.13,3,0.81,0.86,0.86
0.14,3,0.58,0.96,0.84
0.15,3,0.48,1.07,0.84
0.16,3,0.27,1.17,0.81
0.17,3,0.19,1.26,0.75
0.18,3,0.24,1.32,0.78
0.19,3,-0.08,1.45,0.73
0.2,3,0.03,1.53,0.7
0.21,3,-0.13,1.62,0.67
0.22,3,-0.16,1.69,0.63
0.23,3,-0.19,1.76,0.6
0.24,3,-0.18,1.83,0.57
0.25,3,-0.23,1.9,0.54
0.26,3,-0.24,1.95,0.5
0.27,3,-0.2,2.01,0.48
0.28,3,-0.21,2.06,0.45
0.29,3,-0.2,2.1,0.41
0.3,3,-0.13,2.15,0.39
0.31,3,-0.14,2.2,0.37
0.32,3,-0.13,2.23,0.35
0.33,3,-0.15,2.27,0.33
0.34,3,-0.1,2.3,0.31
0.35,3,-0.1,2.34,0.29
0.36,3,-0.08,2.37,0.28
0.37,3,-0.1,2.38,0.26
0.38,3,-0.04,2.43,0.25
0.39,3,-0.03,2.45,0.23
0.4,3,-0.07,2.48,0.22
0.41,3,-0.04,2.5,0.21
0.42,3,-0.05,2.52,0.19
0.43,3,0,2.54,0.18
0.44,3,-0.02,2.57,0.17
0.45,3,0.01,2.58,0.16
0.46,3,0.02,2.6,0.15
0.47,3,0.04,2.62,0.14
0.48,3,0.04,2.63,0.13
0.49,3,0.06,2.65,0.12
0.5,3,0.08,2.66,0.12
0.51,3,0.07,2.67,0.11
0.52,3,0.09,2.69,0.11
0.53,3,0.05,2.69,0.11
0.54,3,0.06,2.7,0.09
0.55,3,0.12,2.71,0.09
0.56,3,0.13,2.73,0.08
0.57,3,0.15,2.71,0.06
0.58,3,0.21,2.72,0.07
0.59,3,0.23,2.74,0.07
0.6,3,0.23,2.75,0.07
0.61,3,0.18,2.73,0.06
0.62,3,0.22,2.76,0.06
0.63,3,0.24,2.77,0.06
0.64,3,0.18,2.78,0.06
0.65,3,0.18,2.79,0.06
0.66,3,0.18,2.79,0.06
0.67,3,0.18,2.8,0.06
