Time,R,VM,VP,VT
0,0,0,0,0
0.01,4,-0.02,-0.01,0
0.02,4,5,-0.1,0.04
0.03,4,5,-0.06,0.2
0.04,4,4.76,-0.04,0.36
0.05,4,4.12,0.03,0.5
0.06,4,3.65,0.09,0.61
0.07,4,3.19,0.18,0.71
0.08,4,2.78,0.27,0.78
0.09,4,2.4,0.38,0.81
0.1,4,2.21,0.48,0.87
0.11,4,1.79,0.59,0.9
0.12,4,1.54,0.71,0.92
0.13,4,1.35,0.78,0.93
0.14,4,1.14,0.92,0.93
0.15,4,1.03,1.03,0.9
0.16,4,0.96,1.15,0.92
0.17,4,0.72,1.26,0.93
0.18,4,0.46,1.37,0.9
0.19,4,0.39,1.47,0.89
0.2,4,0.29,1.58,0.86
0.21,4,0.24,1.68,0.84
0.22,4,0.15,1.77,0.81
0.23,4,0.06,1.88,0.78
0.24,4,0.04,1.95,0.75
0.25,4,-0.01,2.04,0.72
0.26,4,0,2.12,0.68
0.27,4,0.05,2.19,0.66
0.28,4,0.01,2.27,0.63
0.29,4,0,2.34,0.62
0.3,4,-0.06,2.41,0.59
0.31,4,-0.07,2.47,0.54
0.32,4,0.03,2.53,0.54
0.33,4,-0.08,2.6,0.52
0.34,4,-0.07,2.65,0.5
0.35,4,-0.11,2.71,0.41
0.36,4,0.27,2.72,0.46
0.37,4,-0.1,2.78,0.45
0.38,4,-0.05,2.87,0.41
0.39,4,0.02,2.9,0.41
0.4,4,-0.13,2.96,0.38
0.41,4,-0.07,2.99,0.36
0.42,4,-0.09,3.04,0.35
0.43,4,-0.06,3.08,0.32
0.44,4,-0.04,3.11,0.3
0.45,4,0.02,3.14,0.27
0.46,4,0.07,3.17,0.25
0.47,4,0.16,3.19,0.24
0.48,4,0.18,3.22,0.23
0.49,4,0.2,3.24,0.22
0.5,4,0.19,3.26,0.2
0.51,4,0.29,3.29,0.2
0.52,4,0.26,3.32,0.18
0.53,4,0.3,3.33,0.17
0.54,4,0.3,3.35,0.17
0.55,4,0.33,3.37,0.09
0.56,4,0.65,3.35,0.14
0.57,4,0.41,3.41,0.11
0.58,4,0.64,3.39,0.17
0.59,4,0.25,3.45,0.15
0.6,4,0.37,3.47,0.15
0.61,4,0.25,3.48,0.15
0.62,4,0.27,3.5,0.14
0.63,4,0.27,3.52,0.14
0.64,4,0.28,3.53,0.13
0.65,4,0.28,3.55,0.12
0.66,4,0.3,3.56,0.12
0.67,4,0.27,3.57,0.12
0.68,4,0.29,3.58,0.11
0.69,4,0.31,3.57,0.11
0.7,4,0.34,3.61,0.11
0.71,4,0.37,3.62,0.11
0.72,4,0.3,3.64,0.11
0.73,4,0.28,3.65,0.09
0.74,4,0.31,3.66,0.1
0.75,4,0.26,3.65,0.08
0.76,4,0.37,3.65,0.06
0.77,4,0.47,3.69,0.09
0.78,4,0.35,3.67,0.08
0.79,4,0.31,3.72,0.09
0.8,4,0.32,3.73,0.1
0.81,4,0.18,3.74,0.09
0.82,4,0.19,3.75,0.09
0.83,4,0.2,3.76,0.08
0.84,4,0.2,3.77,0.08
0.85,4,0.22,3.78,0.07
0.86,4,0.23,3.78,0.07
0.87,4,0.22,3.79,0.06
0.88,4,0.25,3.8,0.06
0.89,4,0.24,3.78,0.06
0.9,4,0.23,3.81,0.06
0.91,4,0.29,3.82,0.05
0.92,4,0.29,3.83,0.05
0.93,4,0.25,3.83,0.05
0.94,4,0.24,3.84,0.05
0.95,4,0.23,3.82,0
0.96,4,0.46,3.79,0.01
0.97,4,0.49,3.85,0.05
0.98,4,0.37,3.86,0.06
0.99,4,0.2,3.87,0.06
1,4,0.19,3.87,0.06
1.01,4,0.16,3.87,0.04
1.02,4,0.25,3.87,0.05
1.03,4,0.21,3.89,0.04
1.04,4,0.24,3.89,0.04
1.05,4,0.22,3.89,0.04
1.06,4,0.22,3.89,0.03
1.07,4,0.24,3.89,0.01
1.08,4,0.36,3.9,0.03
1.09,4,0.25,3.9,0.03
1.1,4,0.23,3.91,0.03
1.11,4,0.25,3.91,0.02
1.12,4,0.27,3.92,0.03
1.13,4,0.24,3.92,0.03
1.14,4,0.23,3.92,0.03
1.15,4,0.23,3.9,0.01
1.16,4,0.31,3.91,0.01
1.17,4,0.37,3.93,0.02
1.18,4,0.29,3.92,0.03
1.19,4,0.21,3.93,0.02
1.2,4,0.28,3.93,0.02
1.21,4,0.24,3.93,0.02
1.22,4,0.24,3.93,0.02
