Time,R,VM,VP,VT
0,0,0,0,0
0.01,0,0.01,-0.01,0
0.02,0,0.02,-0.01,0
0.03,0,0.02,-0.01,0.01
0.04,0,-0.03,-0.01,0.01
0.05,0,-0.03,-0.01,0
0.06,0,0,-0.01,0.01
0.07,0,-0.03,-0.01,0.01
0.08,0,-0.03,0,0.02
0.09,0,-0.06,-0.01,0.01
0.1,0,-0.05,0,0.01
0.11,0,-0.04,0,0
0.12,0,-0.02,-0.01,0.01
0.13,0,-0.05,-0.01,0
0.14,0,-0.01,-0.01,0
0.15,0,-0.01,-0.01,0
0.16,0,0.02,-0.01,0
0.17,0,-0.01,0,-0.01
0.18,0,0.05,-0.01,0
0.19,0,-0.02,0,0
0.2,0,-0.01,0,0
0.21,0,-0.02,0,0
0.22,0,0.01,0,0
0.23,0,-0.02,0,0
0.24,0,-0.02,-0.02,0
0.25,0,-0.02,0,0
0.26,0,0.02,-0.01,0
0.27,0,-0.02,0,0
0.28,0,-0.01,0,0
0.29,0,-0.02,0,0
0.3,0,0.01,0,0
0.31,0,-0.02,0,0
0.32,0,-0.02,0,0
0.33,0,-0.02,0,0.01
0.34,0,-0.05,-0.01,0
0.35,0,-0.04,0,0.01
0.36,0,-0.04,0,0.01
0.37,0,-0.07,0,0
0.38,0,-0.04,0,0
0.39,0,-0.04,0,0.01
0.4,0,-0.08,0,0.01
0.41,0,-0.08,0,0.01
0.42,0,-0.08,0,0.01
0.43,0,-0.08,0,0.01
0.44,0,-0.08,0,0
0.45,0,-0.06,0,0.01
0.46,0,-0.09,0,0.01
0.47,0,-0.09,0,0.01
0.48,0,-0.08,0,0.01
0.49,0,-0.09,0,0.01
0.5,0,-0.09,0,0.01
0.51,0,-0.1,0,0.01
0.52,0,-0.1,0,-0.01
0.53,0,-0.01,0,0.01
0.54,0,-0.1,-0.01,0.01
0.55,0,-0.1,0,0.01
0.56,0,-0.07,0,0.01
0.57,0,-0.09,0,0.01
0.58,0,-0.1,0,0.01
0.59,0,-0.11,0,0
0.6,0,-0.06,0.01,0.01
0.61,0,-0.11,0,0.01
0.62,0,-0.13,0,0.01
0.63,0,-0.11,0,0.01
0.64,0,-0.12,0,0.01
0.65,0,-0.12,0,0
0.66,0,-0.08,0,0.01
0.67,0,-0.11,0,0.01
0.68,0,-0.12,0,0.01
0.69,0,-0.12,0,0.01
0.7,0,-0.13,0,0.01
0.71,0,-0.13,0,0
0.72,0,-0.1,0,0
0.73,0,-0.1,0.01,0.01
0.74,0,-0.13,0,0
0.75,0,-0.12,0,0
0.76,0,-0.1,0,0.01
0.77,0,-0.12,0,0.01
0.78,0,-0.12,0,0.01
0.79,0,-0.14,0,0.01
0.8,0,-0.14,0,0.01
0.81,0,-0.14,-0.01,0.01
0.82,0,-0.14,0,0.01
0.83,0,-0.12,0,0
0.84,0,-0.1,0,0.01
0.85,0,-0.15,0,0
0.86,0,-0.11,0,0.01
0.87,0,-0.15,0,0.01
0.88,0,-0.15,0,0.01
0.89,0,-0.15,0,0.01
0.9,0,-0.16,0,0
0.91,0,-0.13,0,0.01
0.92,0,-0.14,0,0
0.93,0,-0.13,0,0
0.94,0,-0.13,0,0.01
0.95,0,-0.16,0,0
0.96,0,-0.13,0,0.01
0.97,0,-0.16,0,0.02
0.98,0,-0.2,0,0
0.99,0,-0.14,0,0
1,4,-0.14,0,0.01
1.01,4,5,-0.1,0.05
1.02,4,5,-0.06,0.18
1.03,4,4.88,-0.03,0.36
1.04,4,4.21,0.03,0.5
1.05,4,3.71,0.11,0.6
1.06,4,3.3,0.17,0.7
1.07,4,2.85,0.27,0.77
1.08,4,2.53,0.38,0.82
1.09,4,2.23,0.47,0.85
1.1,4,1.99,0.59,0.9
1.11,4,1.64,0.71,0.92
1.12,4,1.4,0.81,0.94
1.13,4,1.15,0.93,0.95
1.14,4,0.97,1.02,0.94
1.15,4,0.83,1.14,0.94
1.16,4,0.7,1.25,0.92
1.17,4,0.58,1.37,0.91
1.18,4,0.46,1.47,0.9
1.19,4,0.3,1.58,0.87
1.2,4,0.22,1.68,0.85
1.21,4,0.13,1.78,0.83
1.22,4,0.06,1.86,0.79
1.23,4,0.05,1.96,0.77
1.24,4,0.02,2.05,0.74
1.25,4,-0.02,2.13,0.71
1.26,4,-0.05,2.19,0.63
1.27,4,0.16,2.22,0.65
1.28,4,-0.03,2.34,0.62
1.29,4,0.07,2.41,0.6
1.3,4,-0.08,2.48,0.58
1.31,4,-0.1,2.55,0.56
1.32,4,-0.12,2.61,0.53
1.33,4,-0.13,2.67,0.51
1.34,4,-0.13,2.72,0.48
1.35,4,-0.13,2.78,0.46
1.36,4,-0.11,2.82,0.44
1.37,4,-0.1,2.87,0.41
1.38,4,-0.07,2.91,0.38
1.39,4,0.02,2.96,0.37
1.4,4,-0.03,3,0.35
1.41,4,-0.01,3.04,0.33
1.42,4,0,3.07,0.31
1.43,4,0.04,3.11,0.29
1.44,4,0.08,3.14,0.27
1.45,4,0.11,3.17,0.26
1.46,4,0.16,3.19,0.24
1.47,4,0.2,3.21,0.23
1.48,4,0.2,3.24,0.22
1.49,4,0.23,3.27,0.21
1.5,4,0.24,3.3,0.2
1.51,4,0.22,3.32,0.19
1.52,4,0.25,3.34,0.18
1.53,4,0.29,3.35,0.17
1.54,4,0.29,3.37,0.17
1.55,4,0.31,3.39,0.16
1.56,4,0.32,3.41,0.15
1.57,4,0.32,3.43,0.15
1.58,4,0.33,3.44,0.14
1.59,4,0.34,3.46,0.14
1.6,4,0.36,3.47,0.14
1.61,4,0.34,3.49,0.14
1.62,4,0.33,3.5,0.13
1.63,4,0.34,3.52,0.13
1.64,4,0.33,3.54,0.12
1.65,4,0.33,3.55,0.11
1.66,4,0.36,3.54,0.12
1.67,4,0.29,3.58,0.12
1.68,4,0.34,3.59,0.12
1.69,4,0.28,3.6,0.12
1.7,4,0.27,3.61,0.11
1.71,4,0.28,3.63,0.11
1.72,4,0.28,3.64,0.11
1.73,4,0.28,3.65,0.11
1.74,4,0.26,3.67,0.1
1.75,4,0.28,3.68,0.09
1.76,4,0.27,3.69,0.09
1.77,4,0.27,3.69,0.09
1.78,4,0.28,3.71,0.09
1.79,4,0.28,3.72,0.09
1.8,4,0.23,3.73,0.08
1.81,4,0.27,3.74,0.08
1.82,4,0.25,3.74,0.08
1.83,4,0.24,3.75,0.08
1.84,4,0.26,3.75,0.07
1.85,4,0.27,3.77,0.07
1.86,4,0.28,3.78,0.07
1.87,4,0.24,3.78,0.07
1.88,4,0.24,3.79,0.07
1.89,4,0.23,3.8,0.06
1.9,4,0.25,3.8,0.06
1.91,4,0.26,3.81,0.06
1.92,4,0.26,3.82,0.05
1.93,4,0.28,3.82,0.06
1.94,4,0.23,3.83,0.05
1.95,4,0.27,3.84,0.05
1.96,4,0.24,3.84,0.05
1.97,4,0.23,3.84,0.05
1.98,4,0.24,3.85,0.05
1.99,4,0.26,3.86,0.05
2,4,0.25,3.86,0.05
2.01,4,0.24,3.86,0.05
2.02,4,0.23,3.87,0.04
2.03,4,0.26,3.85,0.03
2.04,4,0.28,3.87,0.04
2.05,4,0.3,3.88,0.05
2.06,4,0.22,3.89,0.04
2.07,4,0.23,3.89,0.04
2.08,4,0.22,3.89,0.04
2.09,4,0.21,3.9,0.04
2.1,4,0.21,3.9,0.03
2.11,4,0.23,3.9,0.03
2.12,4,0.23,3.9,0.03
2.13,4,0.24,3.91,0.03
2.14,4,0.25,3.91,0.03
2.15,4,0.24,3.92,0.03
2.16,4,0.24,3.92,0.03
2.17,4,0.23,3.92,0.03
2.18,4,0.23,3.92,0.03
2.19,4,0.24,3.92,0.02
2.2,4,0.25,3.93,0.02
2.21,4,0.29,3.93,0.02
2.22,4,0.25,3.93,0.01
2.23,4,0.31,3.93,0.02
2.24,4,0.25,3.93,0.03
2.25,4,0.22,3.93,0.02
2.26,4,0.24,3.94,0.03
2.27,4,0.21,3.95,0.03
2.28,4,0.2,3.95,0.03
2.29,4,0.18,3.95,0.02
2.3,4,0.2,3.95,0.02
2.31,4,0.2,3.96,0.02
2.32,4,0.2,3.96,0.02
2.33,4,0.22,3.96,0.02
2.34,4,0.22,3.96,0.02
2.35,4,0.22,3.96,0.02
2.36,4,0.22,3.96,0.02
2.37,4,0.22,3.96,0.02
2.38,4,0.22,3.96,0.02
2.39,4,0.21,3.96,0.02
2.4,4,0.21,3.96,0.02
2.41,4,0.21,3.96,0.02
2.42,4,0.21,3.96,0.02
2.43,4,0.21,3.96,0.02
2.44,4,0.21,3.97,0.02
2.45,4,0.21,3.97,0.01
2.46,4,0.22,3.97,0.02
2.47,4,0.19,3.97,0.02
2.48,4,0.19,3.97,0.01
2.49,4,0.22,3.97,0.01
2.5,4,0.22,3.97,0.01
2.51,4,0.22,3.98,0.01
2.52,4,0.22,3.98,0.01
2.53,4,0.21,3.98,0.01
2.54,4,0.21,3.97,0.01
2.55,4,0.21,3.98,0.02
2.56,4,0.2,3.98,0.01
2.57,4,0.21,3.98,0.01
2.58,4,0.21,3.98,0.01
2.59,4,0.21,3.98,0.01
2.6,4,0.21,3.98,0.01
2.61,4,0.21,3.98,0.01
2.62,4,0.21,3.98,0.01
2.63,4,0.21,3.98,0.02
2.64,4,0.18,3.98,0
2.65,4,0.24,3.97,0
2.66,4,0.24,3.98,0
2.67,4,0.26,3.97,0.01
2.68,4,0.22,3.98,0.01
2.69,4,0.23,3.98,0.01
2.7,4,0.22,3.98,0.01
2.71,4,0.22,3.98,0.01
2.72,4,0.22,3.98,0.02
2.73,4,0.19,3.97,0.01
2.74,4,0.22,3.98,0.02
2.75,4,0.2,3.98,0.01
2.76,4,0.2,3.98,0.01
2.77,4,0.2,3.98,0.01
2.78,4,0.2,3.99,0
2.79,4,0.23,3.97,0.02
2.8,4,0.16,3.99,0.01
2.81,4,0.23,3.98,0.01
