Time,R (Referência),VM,VP,VT
0,0,0,0,0
0.01,1,1.46,0,0.05
0.02,1,0.74,0.01,0.07
0.03,1,0.57,0.02,0.09
0.04,1,0.53,0.03,0.1
0.05,1,0.51,0.04,0.12
0.06,1,0.5,0.06,0.13
0.07,1,0.49,0.07,0.14
0.08,1,0.48,0.09,0.15
0.09,1,0.47,0.1,0.16
0.1,1,0.46,0.12,0.17
0.11,1,0.45,0.14,0.18
0.12,1,0.43,0.16,0.19
0.13,1,0.42,0.19,0.2
0.14,1,0.41,0.21,0.21
0.15,1,0.4,0.23,0.21
0.16,1,0.38,0.26,0.22
0.17,1,0.37,0.28,0.22
0.18,1,0.36,0.3,0.23
0.19,1,0.34,0.33,0.23
0.2,1,0.33,0.36,0.23
0.21,1,0.31,0.38,0.24
0.22,1,0.3,0.41,0.24
0.23,1,0.29,0.43,0.24
0.24,1,0.27,0.46,0.24
0.25,1,0.26,0.49,0.24
0.26,1,0.24,0.51,0.24
0.27,1,0.23,0.54,0.24
0.28,1,0.21,0.57,0.24
0.29,1,0.2,0.59,0.24
0.3,1,0.19,0.62,0.23
0.31,1,0.17,0.64,0.23
0.32,1,0.16,0.67,0.23
0.33,1,0.15,0.7,0.22
0.34,1,0.13,0.72,0.22
0.35,1,0.12,0.74,0.22
0.36,1,0.11,0.77,0.21
0.37,1,0.09,0.79,0.21
0.38,1,0.08,0.82,0.2
0.39,1,0.07,0.84,0.2
0.4,1,0.06,0.86,0.19
0.41,1,0.05,0.88,0.19
0.42,1,0.04,0.9,0.18
0.43,1,0.03,0.92,0.18
0.44,1,0.02,0.94,0.17
0.45,1,0.01,0.96,0.17
0.46,1,0,0.98,0.16
0.47,1,-0.01,1,0.15
0.48,1,-0.02,1.01,0.15
0.49,1,-0.03,1.03,0.14
0.5,1,-0.04,1.04,0.14
0.51,1,-0.04,1.06,0.13
0.52,1,-0.05,1.07,0.12
0.53,1,-0.06,1.09,0.12
0.54,1,-0.06,1.1,0.11
0.55,1,-0.07,1.11,0.1
0.56,1,-0.07,1.12,0.1
0.57,1,-0.08,1.13,0.09
0.58,1,-0.08,1.14,0.09
0.59,1,-0.09,1.15,0.08
0.6,1,-0.09,1.16,0.07
0.61,1,-0.1,1.17,0.07
0.62,1,-0.1,1.18,0.06
0.63,1,-0.1,1.18,0.06
0.64,1,-0.11,1.19,0.05
0.65,1,-0.11,1.19,0.05
0.66,1,-0.11,1.2,0.04
0.67,1,-0.11,1.2,0.04
0.68,1,-0.11,1.21,0.03
0.69,1,-0.12,1.21,0.03
0.7,1,-0.12,1.21,0.02
0.71,1,-0.12,1.21,0.02
0.72,1,-0.12,1.22,0.01
0.73,1,-0.12,1.22,0.01
0.74,1,-0.12,1.22,0
0.75,1,-0.12,1.22,0
0.76,1,-0.12,1.22,-0.01
0.77,1,-0.12,1.22,-0.01
0.78,1,-0.11,1.21,-0.01
0.79,1,-0.11,1.21,-0.02
0.8,1,-0.11,1.21,-0.02
0.81,1,-0.11,1.21,-0.02
0.82,1,-0.11,1.21,-0.03
0.83,1,-0.11,1.2,-0.03
0.84,1,-0.11,1.2,-0.03
0.85,1,-0.1,1.2,-0.03
0.86,1,-0.1,1.19,-0.04
0.87,1,-0.1,1.19,-0.04
0.88,1,-0.1,1.18,-0.04
0.89,1,-0.09,1.18,-0.04
0.9,1,-0.09,1.18,-0.04
0.91,1,-0.09,1.17,-0.04
0.92,1,-0.09,1.17,-0.05
0.93,1,-0.08,1.16,-0.05
0.94,1,-0.08,1.16,-0.05
0.95,1,-0.08,1.15,-0.05
0.96,1,-0.07,1.14,-0.05
0.97,1,-0.07,1.14,-0.05
0.98,1,-0.07,1.13,-0.05
0.99,1,-0.06,1.13,-0.05
1,1,-0.06,1.12,-0.05
1.01,1,-0.06,1.12,-0.05
1.02,1,-0.06,1.11,-0.05
1.03,1,-0.05,1.1,-0.05
1.04,1,-0.05,1.1,-0.05
1.05,1,-0.05,1.09,-0.05
1.06,1,-0.04,1.09,-0.05
1.07,1,-0.04,1.08,-0.05
1.08,1,-0.04,1.08,-0.05
1.09,1,-0.03,1.07,-0.05
1.1,1,-0.03,1.07,-0.05
