Time,R,VM,VP,VT
0,-3,-4.38,0,0
0.01,-2.99,-2.21,0,-0.08
0.02,-2.98,-1.71,-0.02,-0.13
0.03,-2.96,-1.58,-0.03,-0.18
0.04,-2.95,-1.53,-0.06,-0.23
0.05,-2.94,-1.5,-0.08,-0.27
0.06,-2.93,-1.48,-0.11,-0.31
0.07,-2.92,-1.45,-0.15,-0.35
0.08,-2.9,-1.41,-0.19,-0.38
0.09,-2.89,-1.38,-0.24,-0.42
0.1,-2.88,-1.35,-0.28,-0.45
0.11,-2.87,-1.31,-0.34,-0.48
0.12,-2.86,-1.27,-0.39,-0.5
0.13,-2.84,-1.23,-0.45,-0.53
0.14,-2.83,-1.19,-0.51,-0.55
0.15,-2.82,-1.15,-0.57,-0.57
0.16,-2.81,-1.11,-0.63,-0.58
0.17,-2.8,-1.07,-0.7,-0.6
0.18,-2.78,-1.02,-0.77,-0.61
0.19,-2.77,-0.98,-0.83,-0.62
0.2,-2.76,-0.93,-0.9,-0.63
0.21,-2.75,-0.89,-0.98,-0.64
0.22,-2.74,-0.84,-1.05,-0.65
0.23,-2.72,-0.8,-1.12,-0.65
0.24,-2.71,-0.75,-1.19,-0.65
0.25,-2.7,-0.7,-1.26,-0.65
0.26,-2.69,-0.66,-1.34,-0.65
0.27,-2.68,-0.61,-1.41,-0.65
0.28,-2.66,-0.57,-1.48,-0.65
0.29,-2.65,-0.52,-1.55,-0.64
0.3,-2.64,-0.48,-1.62,-0.64
0.31,-2.63,-0.44,-1.69,-0.63
0.32,-2.62,-0.39,-1.76,-0.62
0.33,-2.6,-0.35,-1.83,-0.61
0.34,-2.59,-0.31,-1.9,-0.6
0.35,-2.58,-0.27,-1.97,-0.59
0.36,-2.57,-0.23,-2.03,-0.57
0.37,-2.56,-0.19,-2.09,-0.56
0.38,-2.54,-0.15,-2.15,-0.54
0.39,-2.53,-0.11,-2.21,-0.53
0.4,-2.52,-0.08,-2.27,-0.51
0.41,-2.51,-0.04,-2.33,-0.5
0.42,-2.5,-0.01,-2.38,-0.48
0.43,-2.48,0.03,-2.43,-0.46
0.44,-2.47,0.06,-2.48,-0.44
0.45,-2.46,0.09,-2.53,-0.42
0.46,-2.45,0.12,-2.58,-0.41
0.47,-2.44,0.15,-2.62,-0.39
0.48,-2.42,0.17,-2.66,-0.37
0.49,-2.41,0.2,-2.7,-0.35
0.5,-2.4,0.22,-2.74,-0.33
0.51,-2.39,0.25,-2.78,-0.31
0.52,-2.38,0.27,-2.81,-0.29
0.53,-2.36,0.29,-2.84,-0.27
0.54,-2.35,0.31,-2.87,-0.25
0.55,-2.34,0.33,-2.89,-0.23
0.56,-2.33,0.35,-2.92,-0.21
0.57,-2.32,0.37,-2.94,-0.19
0.58,-2.3,0.38,-2.96,-0.17
0.59,-2.29,0.4,-2.98,-0.15
0.6,-2.28,0.41,-2.99,-0.13
0.61,-2.27,0.42,-3.01,-0.11
0.62,-2.26,0.43,-3.02,-0.09
0.63,-2.24,0.44,-3.03,-0.07
0.64,-2.23,0.45,-3.03,-0.06
0.65,-2.22,0.46,-3.04,-0.04
0.66,-2.21,0.47,-3.04,-0.02
0.67,-2.2,0.47,-3.04,0
0.68,-2.18,0.48,-3.04,0.01
0.69,-2.17,0.48,-3.04,0.03
0.7,-2.16,0.48,-3.04,0.04
0.71,-2.15,0.49,-3.03,0.06
0.72,-2.14,0.49,-3.02,0.07
0.73,-2.12,0.49,-3.01,0.09
0.74,-2.11,0.49,-3,0.1
0.75,-2.1,0.49,-2.99,0.11
0.76,-2.09,0.48,-2.98,0.13
0.77,-2.08,0.48,-2.96,0.14
0.78,-2.06,0.48,-2.95,0.15
0.79,-2.05,0.48,-2.93,0.16
0.8,-2.04,0.47,-2.91,0.17
0.81,-2.03,0.47,-2.89,0.18
0.82,-2.02,0.46,-2.87,0.19
0.83,-2,0.45,-2.85,0.2
0.84,-1.99,0.45,-2.83,0.21
0.85,-1.98,0.44,-2.81,0.21
0.86,-1.97,0.43,-2.78,0.22
0.87,-1.95,0.43,-2.76,0.23
0.88,-1.94,0.42,-2.73,0.23
0.89,-1.93,0.41,-2.7,0.24
0.9,-1.92,0.4,-2.68,0.24
0.91,-1.91,0.39,-2.65,0.25
0.92,-1.89,0.39,-2.62,0.25
0.93,-1.88,0.38,-2.59,0.26
0.94,-1.87,0.37,-2.56,0.26
0.95,-1.86,0.36,-2.54,0.26
0.96,-1.85,0.35,-2.51,0.27
0.97,-1.83,0.34,-2.48,0.27
0.98,-1.82,0.33,-2.45,0.27
0.99,-1.81,0.32,-2.42,0.27
1,-1.8,0.31,-2.39,0.27
1.01,-1.79,0.3,-2.36,0.27
1.02,-1.77,0.29,-2.33,0.27
1.03,-1.76,0.28,-2.3,0.27
1.04,-1.75,0.27,-2.27,0.27
1.05,-1.74,0.26,-2.24,0.27
1.06,-1.73,0.25,-2.21,0.27
1.07,-1.71,0.24,-2.18,0.27
1.08,-1.7,0.23,-2.15,0.27
1.09,-1.69,0.22,-2.12,0.26
1.1,-1.68,0.21,-2.09,0.26
1.11,-1.67,0.2,-2.06,0.26
1.12,-1.65,0.2,-2.03,0.26
1.13,-1.64,0.19,-2,0.25
1.14,-1.63,0.18,-1.97,0.25
1.15,-1.62,0.17,-1.94,0.25
1.16,-1.61,0.16,-1.92,0.25
1.17,-1.59,0.15,-1.89,0.24
1.18,-1.58,0.15,-1.86,0.24
1.19,-1.57,0.14,-1.84,0.23
1.2,-1.56,0.13,-1.81,0.23
1.21,-1.55,0.12,-1.79,0.23
1.22,-1.53,0.12,-1.76,0.22
1.23,-1.52,0.11,-1.74,0.22
1.24,-1.51,0.11,-1.71,0.21
1.25,-1.5,0.1,-1.69,0.21
1.26,-1.49,0.09,-1.67,0.21
1.27,-1.47,0.09,-1.64,0.2
1.28,-1.46,0.08,-1.62,0.2
1.29,-1.45,0.08,-1.6,0.19
1.3,-1.44,0.07,-1.58,0.19
1.31,-1.43,0.07,-1.56,0.18
1.32,-1.41,0.07,-1.54,0.18
1.33,-1.4,0.06,-1.52,0.18
1.34,-1.39,0.06,-1.5,0.17
1.35,-1.38,0.06,-1.48,0.17
1.36,-1.37,0.05,-1.46,0.16
1.37,-1.35,0.05,-1.44,0.16
1.38,-1.34,0.05,-1.43,0.16
1.39,-1.33,0.04,-1.41,0.15
1.4,-1.32,0.04,-1.39,0.15
1.41,-1.31,0.04,-1.38,0.14
1.42,-1.29,0.04,-1.36,0.14
1.43,-1.28,0.04,-1.34,0.14
1.44,-1.27,0.04,-1.33,0.13
1.45,-1.26,0.03,-1.32,0.13
1.46,-1.25,0.03,-1.3,0.13
1.47,-1.23,0.03,-1.29,0.12
1.48,-1.22,0.03,-1.27,0.12
1.49,-1.21,0.03,-1.26,0.12
1.5,-1.2,0.03,-1.25,0.11
1.51,-1.19,0.03,-1.24,0.11
1.52,-1.17,0.03,-1.22,0.11
1.53,-1.16,0.03,-1.21,0.1
1.54,-1.15,0.03,-1.2,0.1
1.55,-1.14,0.03,-1.19,0.1
1.56,-1.13,0.04,-1.18,0.1
1.57,-1.11,0.04,-1.17,0.09
1.58,-1.1,0.04,-1.16,0.09
1.59,-1.09,0.04,-1.15,0.09
1.6,-1.08,0.04,-1.14,0.09
1.61,-1.07,0.04,-1.13,0.09
1.62,-1.05,0.04,-1.12,0.09
1.63,-1.04,0.04,-1.11,0.08
1.64,-1.03,0.05,-1.1,0.08
1.65,-1.02,0.05,-1.09,0.08
1.66,-1.01,0.05,-1.08,0.08
1.67,-0.99,0.05,-1.07,0.08
1.68,-0.98,0.05,-1.06,0.08
1.69,-0.97,0.05,-1.06,0.08
1.7,-0.96,0.06,-1.05,0.08
1.71,-0.95,0.06,-1.04,0.08
1.72,-0.93,0.06,-1.03,0.07
1.73,-0.92,0.06,-1.02,0.07
1.74,-0.91,0.06,-1.01,0.07
1.75,-0.9,0.07,-1.01,0.07
1.76,-0.89,0.07,-1,0.07
1.77,-0.87,0.07,-0.99,0.07
1.78,-0.86,0.07,-0.98,0.07
1.79,-0.85,0.08,-0.97,0.07
1.8,-0.84,0.08,-0.97,0.07
1.81,-0.83,0.08,-0.96,0.07
1.82,-0.81,0.08,-0.95,0.07
1.83,-0.8,0.08,-0.94,0.07
1.84,-0.79,0.09,-0.93,0.07
1.85,-0.78,0.09,-0.92,0.07
1.86,-0.77,0.09,-0.92,0.07
1.87,-0.75,0.09,-0.91,0.07
1.88,-0.74,0.09,-0.9,0.08
1.89,-0.73,0.1,-0.89,0.08
1.9,-0.72,0.1,-0.88,0.08
1.91,-0.71,0.1,-0.87,0.08
1.92,-0.69,0.1,-0.87,0.08
1.93,-0.68,0.1,-0.86,0.08
1.94,-0.67,0.1,-0.85,0.08
1.95,-0.66,0.11,-0.84,0.08
1.96,-0.65,0.11,-0.83,0.08
1.97,-0.63,0.11,-0.82,0.08
1.98,-0.62,0.11,-0.81,0.08
1.99,-0.61,0.11,-0.8,0.08
2,-0.6,0.11,-0.79,0.08
2.01,-0.59,0.11,-0.78,0.09
2.02,-0.57,0.12,-0.77,0.09
2.03,-0.56,0.12,-0.77,0.09
2.04,-0.55,0.12,-0.76,0.09
2.05,-0.54,0.12,-0.75,0.09
2.06,-0.53,0.12,-0.74,0.09
2.07,-0.51,0.12,-0.73,0.09
2.08,-0.5,0.12,-0.72,0.09
2.09,-0.49,0.12,-0.71,0.09
