Time,R,VM,VP,VT
0,0,0,0,0
0.01,3,4.38,0.01,0.15
0.02,3,2.22,0.03,0.22
0.03,3,1.71,0.06,0.27
0.04,3,1.58,0.09,0.31
0.05,3,1.53,0.13,0.35
0.06,3,1.5,0.17,0.39
0.07,3,1.47,0.21,0.43
0.08,3,1.44,0.26,0.46
0.09,3,1.41,0.31,0.49
0.1,3,1.37,0.37,0.52
0.11,3,1.34,0.43,0.55
0.12,3,1.3,0.49,0.57
0.13,3,1.27,0.56,0.6
0.14,3,1.23,0.62,0.62
0.15,3,1.19,0.69,0.63
0.16,3,1.15,0.77,0.65
0.17,3,1.11,0.84,0.67
0.18,3,1.07,0.91,0.68
0.19,3,1.03,0.99,0.69
0.2,3,0.98,1.07,0.7
0.21,3,0.94,1.14,0.71
0.22,3,0.9,1.22,0.71
0.23,3,0.86,1.3,0.71
0.24,3,0.81,1.38,0.72
0.25,3,0.77,1.46,0.72
0.26,3,0.73,1.54,0.72
0.27,3,0.68,1.62,0.71
0.28,3,0.64,1.7,0.71
0.29,3,0.6,1.78,0.71
0.3,3,0.56,1.86,0.7
0.31,3,0.52,1.93,0.69
0.32,3,0.48,2.01,0.68
0.33,3,0.44,2.09,0.67
0.34,3,0.4,2.16,0.66
0.35,3,0.36,2.23,0.65
0.36,3,0.32,2.31,0.64
0.37,3,0.28,2.38,0.63
0.38,3,0.25,2.45,0.61
0.39,3,0.21,2.51,0.6
0.4,3,0.18,2.58,0.58
0.41,3,0.15,2.64,0.57
0.42,3,0.11,2.7,0.55
0.43,3,0.08,2.77,0.54
0.44,3,0.05,2.82,0.52
0.45,3,0.02,2.88,0.5
0.46,3,0,2.93,0.48
0.47,3,-0.03,2.99,0.46
0.48,3,-0.06,3.04,0.45
0.49,3,-0.08,3.09,0.43
0.5,3,-0.11,3.13,0.41
0.51,3,-0.13,3.18,0.39
0.52,3,-0.15,3.22,0.37
0.53,3,-0.17,3.26,0.35
0.54,3,-0.19,3.3,0.33
0.55,3,-0.21,3.33,0.31
0.56,3,-0.22,3.37,0.3
0.57,3,-0.24,3.4,0.28
0.58,3,-0.25,3.43,0.26
0.59,3,-0.27,3.46,0.24
0.6,3,-0.28,3.48,0.22
0.61,3,-0.29,3.51,0.21
0.62,3,-0.3,3.53,0.19
0.63,3,-0.31,3.55,0.17
0.64,3,-0.32,3.57,0.15
0.65,3,-0.32,3.58,0.14
0.66,3,-0.33,3.6,0.12
0.67,3,-0.34,3.61,0.11
0.68,3,-0.34,3.62,0.09
0.69,3,-0.35,3.63,0.08
0.7,3,-0.35,3.64,0.06
0.71,3,-0.35,3.64,0.05
0.72,3,-0.35,3.65,0.03
0.73,3,-0.35,3.65,0.02
0.74,3,-0.35,3.65,0.01
0.75,3,-0.35,3.65,0
0.76,3,-0.35,3.65,-0.02
0.77,3,-0.35,3.65,-0.03
0.78,3,-0.34,3.64,-0.04
0.79,3,-0.34,3.64,-0.05
