Time,R,VM,VP,VT
0,0,0,-0.01,-0.01
0.02,0,0,-0.02,-0.01
0.04,0,0.01,-0.01,0.01
0.06,0,0.01,-0.01,0.02
0.08,0,-0.01,-0.01,0.02
0.1,0,-0.02,0,0.03
0.12,0,-0.03,0,0.03
0.14,0,-0.05,0.01,0.03
0.16,0,-0.05,0.02,0.03
0.18,0,-0.05,-0.03,-0.01
0.2,0,-0.06,0.04,0.03
0.22,0,0,0.04,0.03
0.24,0,-0.06,0.05,0.03
0.26,0,-0.06,0.05,0.02
0.28,0,-0.06,0.06,0.02
0.3,0,-0.06,0.03,0.01
0.32,0,-0.06,0.07,0.02
0.34,0,-0.04,0.07,0.02
0.36,0,-0.05,0.08,0.02
0.38,0,-0.06,0.03,-0.03
0.4,0,-0.06,0.08,0.01
0.42,0,0.02,0.08,0
0.44,0,-0.05,0.08,0.01
0.46,0,-0.04,0.09,0.01
0.48,0,-0.05,0.09,0
0.5,0,-0.05,0.09,0
0.52,0,-0.04,0.09,0
0.54,0,-0.04,0.09,0
0.56,0,-0.04,0.09,0
0.58,0,-0.04,0.08,0
0.6,0,-0.04,0.06,-0.04
0.62,0,-0.04,0.08,0
0.64,0,0.03,0.08,0
0.66,0,-0.03,0.09,0
0.68,0,-0.03,0.09,0
0.7,0,-0.03,0.09,0
0.72,0,-0.04,0.09,0
0.74,0,-0.04,0.09,0
0.76,0,-0.04,0.09,0
0.78,0,-0.04,0.08,-0.04
0.8,0,-0.04,0.1,-0.01
0.82,0,0.03,0.09,0
0.84,0,-0.02,0.09,0
0.86,0,-0.03,0.09,0
0.88,0,-0.03,0.1,0
0.9,0,-0.03,0.1,0
0.92,0,-0.03,0.1,0
0.94,0,-0.04,0.1,0
0.96,0,-0.04,0.1,0
0.98,0,-0.04,0.05,-0.04
1,2.5,-0.04,0.08,-0.04
1.02,2.5,3.92,0.02,0.03
1.04,2.5,4.19,0.08,0.27
1.06,2.5,4.36,0.16,0.5
1.08,2.5,4.25,0.31,0.71
1.1,2.5,4.12,0.51,0.87
1.12,2.5,4.02,0.74,1.06
1.14,2.5,3.96,1,1.16
1.16,2.5,3.84,1.31,1.31
1.18,2.5,3.84,1.64,1.38
1.2,2.5,3.75,1.96,1.5
1.22,2.5,3.76,2.3,1.5
1.24,2.5,3.69,2.67,1.61
1.26,2.5,3.8,3.07,1.68
1.28,2.5,3.74,3.47,1.71
1.3,2.5,3.73,3.9,1.8
1.32,2.5,3.77,4.35,1.83
1.34,2.5,3.72,4.83,1.85
1.36,2.5,3.75,5.33,1.9
1.38,2.5,3.79,5.39,1.95
1.4,2.5,3.78,-5.1,1.94
1.42,2.5,3.77,-4.57,1.93
1.44,2.5,3.84,-4.06,2
1.46,2.5,3.91,-3.57,2.06
1.48,2.5,3.86,-3.07,2.06
1.5,2.5,3.82,-2.6,2.05
1.52,2.5,3.87,-2.11,2.07
1.54,2.5,3.94,-1.61,2.11
1.56,2.5,3.96,-1.11,2.16
1.58,2.5,3.94,-0.59,2.16
1.6,2.5,3.89,-0.07,2.14
1.62,2.5,3.94,0.4,2.1
1.64,2.5,4,0.99,2.16
1.66,2.5,4.1,1.52,2.21
1.68,2.5,4.05,2.06,2.25
1.7,2.5,4.01,2.57,2.28
1.72,2.5,3.98,3.11,2.27
1.74,2.5,3.96,3.66,2.26
1.76,2.5,4,4.22,2.25
1.78,2.5,4.04,4.79,2.26
1.8,2.5,4.08,5.4,2.28
1.82,2.5,4.09,-5.32,2.28
1.84,2.5,4.09,-4.82,2.34
1.86,2.5,4.11,-4.2,2.37
1.88,2.5,4.04,-3.61,2.37
1.9,2.5,4.01,-3.06,2.34
1.92,2.5,4.02,-2.5,2.37
1.94,2.5,4.08,-1.94,2.35
1.96,2.5,4.06,-1.39,2.33
1.98,2.5,4.1,-0.87,2.29
2,2.5,4.15,-0.24,2.34
2.02,2.5,4.23,0.3,2.31
2.04,2.5,4.17,0.89,2.4
2.06,2.5,4.24,1.46,2.42
2.08,2.5,4.12,2.04,2.44
2.1,2.5,4.09,2.59,2.45
2.12,2.5,4.07,3.17,2.45
2.14,2.5,4.07,3.75,2.43
2.16,2.5,4.07,4.36,2.43
2.18,2.5,4.1,4.96,2.37
2.2,2.5,4.12,5.44,2.39
2.22,2.5,4.21,-5.2,2.38
2.24,2.5,4.19,-4.53,2.38
2.26,2.5,4.22,-3.92,2.4
2.28,2.5,4.24,-3.36,2.39
2.3,2.5,4.21,-2.74,2.41
2.32,2.5,4.24,-2.17,2.44
2.34,2.5,4.23,-1.6,2.45
2.36,2.5,4.19,-1,2.45
2.38,2.5,4.19,-0.42,2.44
2.4,2.5,4.18,0.19,2.48
2.42,2.5,4.21,0.77,2.48
2.44,2.5,4.16,1.38,2.5
2.46,2.5,4.15,1.97,2.5
2.48,2.5,4.12,2.54,2.5
2.5,2.5,4.12,3.12,2.47
2.52,2.5,4.12,3.71,2.48
2.54,2.5,4.17,4.34,2.46
2.56,2.5,4.16,4.98,2.45
2.58,2.5,4.19,5.4,2.46
2.6,2.5,4.21,-5.17,2.44
2.62,2.5,4.2,-4.51,2.43
