Time,R,VM,VP,VT
0,0,0,-0.01,-0.01
0.02,0,0,-0.03,-0.01
0.04,0,0,-0.02,0
0.06,0,0.01,-0.02,0
0.08,0,0.01,-0.05,0.01
0.1,0,0.01,-0.02,0.01
0.12,0,0,-0.02,0
0.14,0,0,-0.01,-0.02
0.16,0,-0.01,-0.04,0
0.18,0,0,-0.06,0.01
0.2,0,0,-0.03,-0.01
0.22,0,0,-0.06,-0.02
0.24,0,0,-0.01,0
0.26,0,0.01,-0.03,-0.04
0.28,0,0.01,-0.09,-0.02
0.3,0,0.02,-0.04,0.01
0.32,0,0.03,-0.01,0
0.34,0,0.03,-0.01,0
0.36,0,0.02,-0.01,0
0.38,0,0.02,-0.01,0
0.4,0,0.01,-0.02,0
0.42,0,0.01,-0.01,0
0.44,0,0.01,-0.02,0.01
0.46,0,0.01,-0.01,0
0.48,0,0.01,-0.06,0
0.5,0,0.01,-0.01,0
0.52,0,0,-0.01,0
0.54,0,0,-0.04,0
0.56,0,0,-0.01,0
0.58,0,0.01,-0.01,0
0.6,0,0.01,-0.01,0
0.62,0,0.01,-0.01,0
0.64,0,0.01,-0.02,0
0.66,0,0.01,-0.01,0
0.68,0,0.01,-0.04,-0.04
0.7,0,0.01,-0.01,0
0.72,0,0.02,-0.02,0
0.74,0,0.02,-0.03,0
0.76,0,0.02,-0.01,0
0.78,0,0.02,-0.01,0
0.8,0,0.02,-0.02,0
0.82,0,0.02,-0.02,-0.01
0.84,0,0.02,-0.01,0
0.86,0,0.02,-0.01,0
0.88,0,0.02,-0.04,-0.04
0.9,0,0.02,-0.01,0
0.92,0,0.02,-0.01,0
0.94,0,0.03,-0.04,0
0.96,0,0.03,-0.01,0
0.98,0,0.03,-0.01,0
1,2.5,0.03,-0.01,0
1.02,2.5,3.91,-0.1,0.03
1.04,2.5,4.17,-0.04,0.27
1.06,2.5,4.43,0.05,0.51
1.08,2.5,4.63,0.18,0.76
1.1,2.5,4.72,0.39,0.97
1.12,2.5,4.71,0.67,1.2
1.14,2.5,4.62,0.95,1.4
1.16,2.5,4.47,1.32,1.59
1.18,2.5,4.3,1.72,1.75
1.2,2.5,4.11,2.15,1.9
1.22,2.5,3.92,2.6,2.02
1.24,2.5,3.74,3.09,2.13
1.26,2.5,3.58,3.6,2.2
1.28,2.5,3.43,4.13,2.19
1.3,2.5,3.31,4.7,2.26
1.32,2.5,3.22,5.33,2.34
1.34,2.5,3.17,-1.48,2.37
