Time,R,VM,VP,VT
0,0,0,0,0
0.02,0,0,0,0
0.04,0,0,-0.01,0
0.06,0,0,0,0
0.08,0,0,0,0
0.1,0,0,0,0
0.12,0,0,0,0
0.14,0,0,0,0
0.16,0,0,0,0
0.18,0,0,0,0
0.2,0,0,0,0
0.22,0,0,0,0
0.24,0,-0.01,0,0
0.26,0,-0.01,0,0
0.28,0,-0.01,0,0
0.3,0,-0.01,0,0
0.32,0,-0.01,0,0
0.34,0,-0.01,0,0
0.36,0,-0.01,0,0
0.38,0,-0.01,0,0
0.4,0,-0.01,0,0
0.42,0,-0.01,0,0
0.44,0,-0.01,0,0
0.46,0,-0.01,0,0
0.48,0,-0.01,0,0
0.5,0,-0.01,0,0
0.52,0,-0.01,0,-0.01
0.54,0,-0.01,0,0
0.56,0,-0.01,0,0
0.58,0,-0.01,0,0
0.6,0,0,0,0
0.62,0,0,0,0
0.64,0,-0.01,0,0
0.66,0,-0.01,0,0
0.68,0,-0.01,0,0
0.7,0,-0.01,0,0
0.72,0,-0.01,0,0
0.74,0,-0.01,0,0
0.76,0,-0.01,0,0
0.78,0,-0.01,0,0
0.8,0,-0.01,0,0
0.82,0,-0.01,0,0
0.84,0,-0.01,0,0
0.86,0,-0.01,0,0
0.88,0,-0.01,0,-0.01
0.9,0,-0.01,-0.01,-0.02
0.92,0,-0.01,0,0
0.94,0,0,0,0
0.96,0,0,0,0
0.98,0,0,0,0
1,2.5,-0.01,0,0
1.02,2.5,3.88,-0.08,0.03
1.04,2.5,4.14,-0.03,0.27
1.06,2.5,4.4,0.06,0.51
1.08,2.5,4.6,0.21,0.74
1.1,2.5,4.7,0.41,0.98
1.12,2.5,4.69,0.69,1.2
1.14,2.5,4.6,0.99,1.41
1.16,2.5,4.45,1.35,1.61
1.18,2.5,4.27,1.75,1.76
1.2,2.5,4.07,2.18,1.91
1.22,2.5,3.88,2.63,2.04
1.24,2.5,3.7,3.12,2.14
1.26,2.5,3.53,3.63,2.21
1.28,2.5,3.38,4.16,2.28
1.3,2.5,3.26,4.77,2.33
1.32,2.5,3.15,5.39,2.37
1.34,2.5,3.07,-5.26,2.4
1.36,2.5,3,-4.81,2.44
1.38,2.5,2.95,-4.2,2.46
1.4,2.5,2.9,-3.58,2.48
1.42,2.5,2.86,-3,2.49
1.44,2.5,2.83,-2.44,2.49
1.46,2.5,2.8,-1.87,2.49
1.48,2.5,2.79,-1.28,2.48
1.5,2.5,2.78,-0.69,2.48
1.52,2.5,2.78,-0.11,2.47
1.54,2.5,2.78,0.5,2.47
1.56,2.5,2.79,1.08,2.47
1.58,2.5,2.8,1.67,2.46
1.6,2.5,2.81,2.23,2.47
1.62,2.5,2.82,2.81,2.48
1.64,2.5,2.82,3.38,2.48
1.66,2.5,2.82,3.98,2.48
1.68,2.5,2.82,4.61,2.48
1.7,2.5,2.82,5.22,2.49
1.72,2.5,2.82,5.43,2.49
1.74,2.5,2.82,-4.93,2.49
1.76,2.5,2.82,-4.29,2.5
1.78,2.5,2.81,-3.67,2.49
1.8,2.5,2.81,-3.07,2.49
1.82,2.5,2.8,-2.51,2.49
1.84,2.5,2.8,-1.95,2.48
1.86,2.5,2.8,-1.35,2.48
1.88,2.5,2.81,-0.76,2.48
1.9,2.5,2.82,-0.18,2.48
1.92,2.5,2.83,0.42,2.47
1.94,2.5,2.83,1.01,2.48
1.96,2.5,2.84,1.6,2.48
1.98,2.5,2.84,2.18,2.48
2,2.5,2.85,2.75,2.48
2.02,2.5,2.85,3.33,2.49
2.04,2.5,2.85,3.92,2.49
2.06,2.5,2.84,4.54,2.5
2.08,2.5,2.84,5.18,2.51
2.1,2.5,2.83,5.43,2.52
2.12,2.5,2.83,-4.98,2.52
2.14,2.5,2.82,-4.33,2.51
2.16,2.5,2.81,-3.7,2.51
2.18,2.5,2.8,-3.1,2.51
2.2,2.5,2.8,-2.53,2.51
2.22,2.5,2.8,-1.96,2.47
2.24,2.5,2.8,-1.37,2.49
2.26,2.5,2.81,-0.78,2.48
2.28,2.5,2.82,-0.19,2.49
2.3,2.5,2.83,0.4,2.48
