Time,R,VM,VP,VT
0,0,0,0.02,0.01
0.02,0,0,0.02,0.01
0.04,0,0,0.02,0
0.06,0,0,0.02,0.01
0.08,0,0,0.02,0
0.1,0,0,0.02,0.01
0.12,0,-0.01,0.03,0.01
0.14,0,-0.01,-0.03,0.02
0.16,0,-0.01,0.02,0.01
0.18,0,-0.01,0.02,0.01
0.2,0,-0.01,0.02,0.01
0.22,0,-0.02,0.02,0
0.24,0,-0.02,0.02,0
0.26,0,-0.02,0.02,0.01
0.28,0,-0.02,0.02,0.01
0.3,0,-0.02,0.02,0.01
0.32,0,-0.02,0.02,-0.01
0.34,0,-0.02,0.02,0.01
0.36,0,-0.02,0.02,0.01
0.38,0,-0.02,0.02,0
0.4,0,-0.02,0.02,0.01
0.42,0,-0.02,0.02,0.01
0.44,0,-0.02,0.02,0.01
0.46,0,-0.03,0.02,0.01
0.48,0,-0.03,0.02,0.01
0.5,0,-0.03,0.02,0
0.52,0,-0.03,0.02,0.01
0.54,0,-0.03,0.02,0.01
0.56,0,-0.03,0.02,0.01
0.58,0,-0.03,0.02,0.01
0.6,0,-0.03,0.02,-0.01
0.62,0,-0.03,0.02,0
0.64,0,-0.03,0.02,0.01
0.66,0,-0.03,0.02,0.01
0.68,0,-0.03,0.02,0.01
0.7,0,-0.04,0,0
0.72,0,-0.04,0.02,0.01
0.74,0,-0.04,0.02,0.01
0.76,0,-0.04,0.02,0
0.78,0,-0.04,0.02,0.01
0.8,0,-0.04,0.02,0.01
0.82,0,-0.04,0.02,0.01
0.84,0,-0.04,0.02,0.01
0.86,0,-0.04,0.02,0
0.88,0,-0.04,0.02,0
0.9,0,-0.04,0.02,0.01
0.92,0,-0.04,0.02,0
0.94,0,-0.04,0.02,0.01
0.96,0,-0.04,0.02,0
0.98,0,-0.04,0.02,0.01
1,2.5,-0.04,0.02,0.01
1.02,2.5,3.84,-0.06,0.03
1.04,2.5,4.11,-0.01,0.27
1.06,2.5,4.37,0.09,0.5
1.08,2.5,4.63,0.23,0.71
1.1,2.5,4.85,0.41,0.9
1.12,2.5,5.04,0.67,1.12
1.14,2.5,5.19,0.95,1.28
1.16,2.5,5.29,1.28,1.47
1.18,2.5,5.35,1.65,1.58
1.2,2.5,5.37,2.04,1.75
1.22,2.5,5.35,2.45,1.84
1.24,2.5,5.3,2.88,1.93
1.26,2.5,5.23,3.36,2.04
1.28,2.5,5.14,3.86,2.16
1.3,2.5,5.04,4.42,2.22
1.32,2.5,4.93,4.99,2.27
1.34,2.5,4.82,5.45,2.31
1.36,2.5,4.7,-5.23,2.36
1.38,2.5,4.59,-4.59,2.41
1.4,2.5,4.48,-3.97,2.44
1.42,2.5,4.38,-3.35,2.47
1.44,2.5,4.28,-2.76,2.49
1.46,2.5,4.2,-2.16,2.49
1.48,2.5,4.12,-1.59,2.49
1.5,2.5,4.05,-1,2.49
1.52,2.5,4,-0.4,2.49
1.54,2.5,3.95,0.2,2.49
1.56,2.5,3.91,0.81,2.47
1.58,2.5,3.88,1.39,2.46
1.6,2.5,3.86,1.97,2.45
1.62,2.5,3.85,2.52,2.42
1.64,2.5,3.84,3.09,2.39
1.66,2.5,3.85,3.66,2.37
1.68,2.5,3.86,4.25,2.34
1.7,2.5,3.88,4.85,2.33
1.72,2.5,3.9,5.45,2.33
1.74,2.5,3.94,-5.27,2.33
1.76,2.5,3.97,-4.74,2.34
1.78,2.5,4.01,-4.12,2.36
1.8,2.5,4.05,-3.55,2.37
1.82,2.5,4.08,-2.99,2.38
1.84,2.5,4.11,-2.45,2.36
1.86,2.5,4.14,-1.9,2.36
1.88,2.5,4.16,-1.33,2.35
1.9,2.5,4.18,-0.76,2.35
1.92,2.5,4.2,-0.2,2.36
1.94,2.5,4.22,0.38,2.37
1.96,2.5,4.24,0.97,2.38
1.98,2.5,4.26,1.55,2.42
2,2.5,4.27,2.11,2.43
2.02,2.5,4.28,2.68,2.45
2.04,2.5,4.29,3.26,2.46
2.06,2.5,4.29,3.84,2.48
2.08,2.5,4.29,4.46,2.49
2.1,2.5,4.28,5.1,2.49
2.12,2.5,4.27,5.45,2.48
2.14,2.5,4.26,-5.05,2.47
2.16,2.5,4.25,-4.41,2.48
2.18,2.5,4.24,-3.78,2.48
2.2,2.5,4.23,-3.17,2.48
2.22,2.5,4.22,-2.59,2.46
2.24,2.5,4.21,-2.02,2.46
2.26,2.5,4.21,-1.42,2.47
2.28,2.5,4.21,-0.81,2.46
2.3,2.5,4.21,-0.22,2.45
2.32,2.5,4.21,0.39,2.46
2.34,2.5,4.21,0.99,2.46
2.36,2.5,4.22,1.59,2.46
2.38,2.5,4.22,2.15,2.48
2.4,2.5,4.23,2.71,2.49
2.42,2.5,4.24,3.31,2.49
2.44,2.5,4.24,3.92,2.49
2.46,2.5,4.24,4.55,2.51
2.48,2.5,4.24,5.2,2.52
2.5,2.5,4.24,5.4,2.53
2.52,2.5,4.24,-4.93,2.53
2.54,2.5,4.23,-4.28,2.53
2.56,2.5,4.22,-3.66,2.52
2.58,2.5,4.21,-3.06,2.5
2.6,2.5,4.2,-2.48,2.49
2.62,2.5,4.2,-1.9,2.49
2.64,2.5,4.19,-1.31,2.49
2.66,2.5,4.19,-0.71,2.48
2.68,2.5,4.19,-0.1,2.46
2.7,2.5,4.19,0.5,2.46
2.72,2.5,4.19,1.09,2.45
2.74,2.5,4.2,1.68,2.45
2.76,2.5,4.21,2.27,2.46
2.78,2.5,4.22,2.85,2.46
2.8,2.5,4.23,3.44,2.46
2.82,2.5,4.24,4.05,2.46
2.84,2.5,4.25,4.68,2.48
2.86,2.5,4.26,5.33,2.49
2.88,2.5,4.27,-5.28,2.5
2.9,2.5,4.27,-4.82,2.5
2.92,2.5,4.27,-4.16,2.51
2.94,2.5,4.27,-3.54,2.51
2.96,2.5,4.27,-2.95,2.53
2.98,2.5,4.27,-2.37,2.54
3,2.5,4.26,-1.79,2.54
3.02,2.5,4.25,-1.19,2.53
3.04,2.5,4.24,-0.58,2.51
3.06,2.5,4.23,0.01,2.5
3.08,2.5,4.23,0.63,2.49
3.1,2.5,4.22,1.23,2.49
3.12,2.5,4.21,1.82,2.49
3.14,2.5,4.21,2.4,2.48
3.16,2.5,4.21,2.99,2.47
3.18,2.5,4.21,3.57,2.46
3.2,2.5,4.22,4.2,2.46
3.22,2.5,4.23,4.83,2.46
3.24,2.5,4.23,5.43,2.47
3.26,2.5,4.24,-5.28,2.46
3.28,2.5,4.25,-4.65,2.46
3.3,2.5,4.26,-4,2.47
3.32,2.5,4.27,-3.39,2.48
3.34,2.5,4.28,-2.8,2.48
3.36,2.5,4.29,-2.23,2.51
3.38,2.5,4.29,-1.63,2.51
3.4,2.5,4.3,-1.03,2.51
3.42,2.5,4.29,-0.43,2.52
3.44,2.5,4.29,0.17,2.52
3.46,2.5,4.29,0.78,2.53
3.48,2.5,4.28,1.38,2.54
3.5,2.5,4.27,1.98,2.54
3.52,2.5,4.26,2.57,2.54
3.54,2.5,4.25,3.15,2.54
3.56,2.5,4.24,3.75,2.52
3.58,2.5,4.23,4.38,2.51
3.6,2.5,4.22,5.03,2.52
3.62,2.5,4.22,5.44,2.51
3.64,2.5,4.21,-5.1,2.49
3.66,2.5,4.21,-4.44,2.49
3.68,2.5,4.21,-3.8,2.48
3.7,2.5,4.21,-3.21,2.46
3.72,2.5,4.21,-2.64,2.46
3.74,2.5,4.22,-2.04,2.45
3.76,2.5,4.22,-1.45,2.45
3.78,2.5,4.23,-0.85,2.45
3.8,2.5,4.25,-0.26,2.45
3.82,2.5,4.26,0.35,2.46
3.84,2.5,4.27,0.95,2.47
3.86,2.5,4.29,1.54,2.48
3.88,2.5,4.3,2.12,2.49
3.9,2.5,4.3,2.7,2.49
3.92,2.5,4.31,3.3,2.5
3.94,2.5,4.31,3.9,2.52
3.96,2.5,4.31,4.53,2.52
3.98,2.5,4.31,5.18,2.54
4,2.5,4.3,5.4,2.55
4.02,2.5,4.3,-4.94,2.54
4.04,2.5,4.28,-4.28,2.54
4.06,2.5,4.27,-3.64,2.54
4.08,2.5,4.26,-3.05,2.54
4.1,2.5,4.25,-2.47,2.52
4.12,2.5,4.24,-1.88,2.52
4.14,2.5,4.22,-1.29,2.5
4.16,2.5,4.22,-0.67,2.49
4.18,2.5,4.21,-0.08,2.48
4.2,2.5,4.21,0.53,2.47
4.22,2.5,4.21,1.13,2.46
4.24,2.5,4.22,1.73,2.46
4.26,2.5,4.23,2.3,2.45
4.28,2.5,4.24,2.87,2.45
4.3,2.5,4.25,3.47,2.46
4.32,2.5,4.26,4.08,2.46
4.34,2.5,4.27,4.71,2.47
4.36,2.5,4.29,5.38,2.48
4.38,2.5,4.3,-5.28,2.49
4.4,2.5,4.3,-4.75,2.5
4.42,2.5,4.31,-4.1,2.5
4.44,2.5,4.31,-3.49,2.5
4.46,2.5,4.31,-2.89,2.52
4.48,2.5,4.31,-2.32,2.52
4.5,2.5,4.31,-1.73,2.53
4.52,2.5,4.3,-1.12,2.55
4.54,2.5,4.3,-0.52,2.55
4.56,2.5,4.29,0.08,2.54
4.58,2.5,4.27,0.7,2.54
4.6,2.5,4.26,1.3,2.54
4.62,2.5,4.25,1.9,2.52
4.64,2.5,4.24,2.48,2.51
4.66,2.5,4.23,3.06,2.48
4.68,2.5,4.22,3.67,2.49
4.7,2.5,4.22,4.28,2.48
4.72,2.5,4.22,4.93,2.48
4.74,2.5,4.22,5.43,2.46
4.76,2.5,4.23,-5.22,2.46
4.78,2.5,4.24,-4.54,2.46
4.8,2.5,4.25,-3.91,2.46
4.82,2.5,4.26,-3.3,2.46
4.84,2.5,4.27,-2.73,2.46
4.86,2.5,4.28,-2.15,2.46
4.88,2.5,4.29,-1.56,2.47
4.9,2.5,4.3,-0.96,2.47
4.92,2.5,4.31,-0.35,2.48
4.94,2.5,4.32,0.24,2.49
4.96,2.5,4.32,0.84,2.51
4.98,2.5,4.33,1.46,2.52
