Time,R,VM,VP,VT
0,0,0,0,0
0.02,0,0,0,0
0.04,0,0,0.01,0
0.06,0,0,0,0
0.08,0,0,0,0
0.1,0,0,0.01,0
0.12,0,-0.01,0.01,0
0.14,0,0,0.01,-0.01
0.16,0,0,0,-0.04
0.18,0,0.01,0,0
0.2,0,0.07,0.01,0
0.22,0,0,0.01,0
0.24,0,0,0.01,0
0.26,0,0.01,0.01,-0.01
0.28,0,0,0.01,0
0.3,0,0.02,0,0
0.32,0,0,0,-0.01
0.34,0,0.01,0.01,0
0.36,0,0.03,-0.03,-0.01
0.38,0,0,0,0
0.4,0,0.03,0.01,0
0.42,0,0,0.01,0
0.44,0,0.01,0,0
0.46,0,0.01,0.01,0
0.48,0,0,0.01,-0.01
0.5,0,0.01,0,0
0.52,0,0.03,0.01,0
0.54,0,0.01,0.01,0
0.56,0,0,-0.03,0
0.58,0,0,0.01,0
0.6,0,0.01,0.01,0
0.62,0,0.01,0.01,0
0.64,0,0.01,0,0
0.66,0,0,0.01,0
0.68,0,0,0.01,0
0.7,0,0.01,0.01,0
0.72,0,0.01,0.01,0
0.74,0,0.01,0.01,0
0.76,0,0.01,-0.03,-0.01
0.78,0,0,0.01,0
0.8,0,0.03,0.01,-0.06
0.82,0,0.01,0.01,0
0.84,0,0.1,0,0
0.86,0,0.01,0.01,0
0.88,0,0.01,0,-0.01
0.9,0,0.02,0.01,0
0.92,0,0.04,0.01,0
0.94,0,0.01,0,0
0.96,0,0.01,-0.03,-0.01
0.98,0,0.01,0.01,0
1,2.5,0.03,0.01,0
1.02,2.5,3.91,-0.09,0.03
1.04,2.5,4.18,-0.02,0.27
1.06,2.5,4.39,0.08,0.51
1.08,2.5,4.28,0.24,0.75
1.1,2.5,4.14,0.44,0.96
1.12,2.5,3.99,0.7,1.14
1.14,2.5,3.85,0.98,1.31
1.16,2.5,3.73,1.28,1.43
1.18,2.5,3.61,1.68,1.6
1.2,2.5,3.56,2.07,1.71
1.22,2.5,3.41,2.47,1.82
1.24,2.5,3.33,2.9,1.89
1.26,2.5,3.25,3.33,1.95
1.28,2.5,3.21,3.84,2.04
1.3,2.5,3.18,4.34,2.1
1.32,2.5,3.1,4.88,2.15
1.34,2.5,3.06,5.44,2.19
1.36,2.5,3.03,-5.31,2.19
1.38,2.5,3,-4.84,2.25
1.4,2.5,3.04,-4.3,2.3
1.42,2.5,2.97,-3.69,2.31
1.44,2.5,2.93,-3.14,2.33
1.46,2.5,2.92,-2.6,2.35
1.48,2.5,2.92,-2.07,2.36
1.5,2.5,2.9,-1.51,2.37
1.52,2.5,2.9,-0.95,2.38
1.54,2.5,2.9,-0.38,2.39
1.56,2.5,2.9,0.15,2.4
1.58,2.5,2.9,0.78,2.43
1.6,2.5,2.9,1.35,2.39
1.62,2.5,2.86,1.92,2.44
1.64,2.5,2.93,2.47,2.46
1.66,2.5,2.86,3.05,2.45
1.68,2.5,2.84,3.62,2.45
1.7,2.5,2.87,4.23,2.46
1.72,2.5,2.86,4.85,2.46
1.74,2.5,2.85,5.47,2.47
1.76,2.5,2.85,-5.31,2.4
1.78,2.5,2.85,-4.68,2.47
1.8,2.5,2.95,-4.04,2.44
1.82,2.5,2.86,-3.43,2.46
1.84,2.5,2.91,-2.85,2.49
1.86,2.5,2.88,-2.29,2.49
1.88,2.5,2.85,-1.7,2.5
1.9,2.5,2.84,-1.11,2.51
1.92,2.5,2.83,-0.52,2.51
1.94,2.5,2.82,0.07,2.51
1.96,2.5,2.82,0.64,2.5
1.98,2.5,2.81,1.28,2.51
2,2.5,2.83,1.82,2.51
2.02,2.5,2.82,2.43,2.5
2.04,2.5,2.82,3,2.49
2.06,2.5,2.83,3.59,2.48
2.08,2.5,2.83,4.2,2.49
2.1,2.5,2.85,4.83,2.49
2.12,2.5,2.85,5.47,2.49
2.14,2.5,2.84,-5.26,2.5
2.16,2.5,2.84,-4.72,2.45
2.18,2.5,2.83,-4.03,2.5
2.2,2.5,2.9,-3.47,2.48
2.22,2.5,2.84,-2.84,2.51
2.24,2.5,2.87,-2.27,2.51
2.26,2.5,2.83,-1.69,2.5
