Time,R,VM,VP,VT
0,0,0,0.06,0.01
0.02,0,0,0.06,0
0.04,0,-0.02,0.04,0
0.06,0,0,0.06,0
0.08,0,0,0.06,-0.01
0.1,0,0,0.06,0
0.12,0,0.01,0.06,0
0.14,0,-0.01,0.06,0
0.16,0,0,0.06,-0.01
0.18,0,0,0.06,0
0.2,0,0.01,0.06,0
0.22,0,0,0.06,-0.01
0.24,0,0,0.06,-0.01
0.26,0,0.02,0.06,0
0.28,0,0.02,0.06,0
0.3,0,0,0.06,0
0.32,0,0,0.06,-0.01
0.34,0,0,0.06,0
0.36,0,0.01,0.06,0
0.38,0,0.01,0.06,0
0.4,0,0,0.06,-0.01
0.42,0,0.01,0.06,0
0.44,0,0.02,0.06,0
0.46,0,0.01,0.06,0
0.48,0,0,0.06,-0.01
0.5,0,0.01,0.06,0
0.52,0,0.02,0.06,0
0.54,0,0,0.06,0
0.56,0,0,0.06,-0.01
0.58,0,0.01,0.06,0
0.6,0,0.02,0.06,0
0.62,0,0,0.06,0
0.64,0,0.01,0.06,-0.01
0.66,0,0.01,0.06,0
0.68,0,0.03,0.06,0
0.7,0,0.01,0.06,0
0.72,0,0,0.06,-0.01
0.74,0,0.01,0.06,0
0.76,0,0.03,0.06,0
0.78,0,0.01,0.06,0
0.8,0,0,0.06,-0.01
0.82,0,0.01,0.06,0
0.84,0,0.02,0.06,0
0.86,0,0.01,0.06,0
0.88,0,0,0.06,-0.01
0.9,0,0.01,0.06,0
0.92,0,0.02,0.06,0
0.94,0,0.01,0.06,-0.01
0.96,0,0.01,0.06,-0.01
0.98,0,0.02,0.05,0.01
1,2.5,0.03,0.06,0
1.02,2.5,3.88,-0.01,0.03
1.04,2.5,4.16,0.03,0.25
1.06,2.5,4.39,0.12,0.5
1.08,2.5,4.31,0.27,0.72
1.1,2.5,4.17,0.47,0.93
1.12,2.5,4.04,0.73,1.13
1.14,2.5,3.9,1.02,1.26
1.16,2.5,3.76,1.34,1.43
1.18,2.5,3.7,1.69,1.54
1.2,2.5,3.57,2.07,1.65
1.22,2.5,3.51,2.46,1.75
1.24,2.5,3.45,2.88,1.83
1.26,2.5,3.38,3.33,1.92
1.28,2.5,3.34,3.81,2
1.3,2.5,3.26,4.31,2.04
1.32,2.5,3.21,4.84,2.09
1.34,2.5,3.19,5.4,2.14
1.36,2.5,3.18,-5.26,2.19
1.38,2.5,3.14,-4.9,2.25
1.4,2.5,3.1,-4.32,2.27
1.42,2.5,3.04,-3.75,2.29
1.44,2.5,3.03,-3.19,2.29
1.46,2.5,3.03,-2.65,2.32
1.48,2.5,3.05,-2.11,2.34
1.5,2.5,3.03,-1.55,2.36
1.52,2.5,3.02,-0.99,2.36
1.54,2.5,3,-0.41,2.4
1.56,2.5,3.01,0.17,2.43
1.58,2.5,2.96,0.75,2.44
1.6,2.5,2.93,1.34,2.43
1.62,2.5,2.92,1.91,2.45
1.64,2.5,2.94,2.47,2.45
1.66,2.5,2.93,3.04,2.45
1.68,2.5,2.93,3.62,2.44
1.7,2.5,2.94,4.23,2.45
1.72,2.5,2.95,4.88,2.45
1.74,2.5,2.95,5.48,2.46
1.76,2.5,2.95,-5.25,2.47
1.78,2.5,2.94,-4.64,2.47
1.8,2.5,2.93,-3.99,2.48
1.82,2.5,2.93,-3.4,2.49
1.84,2.5,2.92,-2.82,2.49
1.86,2.5,2.91,-2.25,2.5
1.88,2.5,2.91,-1.68,2.51
1.9,2.5,2.89,-1.08,2.51
1.92,2.5,2.88,-0.49,2.49
1.94,2.5,2.87,0.1,2.5
1.96,2.5,2.9,0.72,2.49
1.98,2.5,2.89,1.31,2.49
2,2.5,2.9,1.89,2.49
2.02,2.5,2.91,2.46,2.48
2.04,2.5,2.91,3.05,2.48
2.06,2.5,2.92,3.64,2.47
2.08,2.5,2.94,4.25,2.46
2.1,2.5,2.95,4.89,2.47
2.12,2.5,2.96,5.47,2.48
2.14,2.5,2.95,-5.26,2.49
2.16,2.5,2.94,-4.6,2.49
2.18,2.5,2.93,-3.97,2.49
2.2,2.5,2.93,-3.36,2.49
2.22,2.5,2.92,-2.77,2.49
2.24,2.5,2.93,-2.2,2.5
2.26,2.5,2.93,-1.62,2.51
2.28,2.5,2.92,-1.03,2.51
2.3,2.5,2.91,-0.46,2.51
2.32,2.5,2.91,0.18,2.51
2.34,2.5,2.9,0.79,2.51
2.36,2.5,2.9,1.38,2.52
2.38,2.5,2.89,1.98,2.52
2.4,2.5,2.88,2.54,2.52
2.42,2.5,2.87,3.14,2.51
2.44,2.5,2.88,3.74,2.49
2.46,2.5,2.9,4.35,2.48
2.48,2.5,2.91,4.99,2.49
2.5,2.5,2.93,5.48,2.49
2.52,2.5,2.93,-5.17,2.48
2.54,2.5,2.93,-4.51,2.48
2.56,2.5,2.94,-3.88,2.47
2.58,2.5,2.95,-3.27,2.48
2.6,2.5,2.96,-2.7,2.48
2.62,2.5,2.95,-2.11,2.49
2.64,2.5,2.95,-1.53,2.5
2.66,2.5,2.93,-0.93,2.49
2.68,2.5,2.92,-0.32,2.49
2.7,2.5,2.93,0.27,2.49
2.72,2.5,2.93,0.88,2.5
2.74,2.5,2.93,1.47,2.52
2.76,2.5,2.92,2.06,2.52
2.78,2.5,2.9,2.64,2.52
2.8,2.5,2.89,3.23,2.52
2.82,2.5,2.88,3.83,2.52
2.84,2.5,2.89,4.46,2.52
2.86,2.5,2.88,5.07,2.51
2.88,2.5,2.89,5.46,2.51
2.9,2.5,2.89,-5.05,2.5
2.92,2.5,2.89,-4.4,2.49
2.94,2.5,2.91,-3.78,2.48
2.96,2.5,2.93,-3.18,2.47
2.98,2.5,2.95,-2.59,2.47
3,2.5,2.96,-2.02,2.48
3.02,2.5,2.96,-1.44,2.47
3.04,2.5,2.96,-0.84,2.47
3.06,2.5,2.97,-0.24,2.47
3.08,2.5,2.97,0.36,2.48
3.1,2.5,2.97,0.97,2.49
3.12,2.5,2.96,1.56,2.51
3.14,2.5,2.95,2.15,2.51
3.16,2.5,2.93,2.73,2.51
3.18,2.5,2.92,3.33,2.51
3.2,2.5,2.92,3.93,2.52
3.22,2.5,2.92,4.57,2.51
3.24,2.5,2.9,5.21,2.51
3.26,2.5,2.91,5.43,2.53
3.28,2.5,2.92,-4.92,2.52
3.3,2.5,2.88,-4.27,2.52
3.32,2.5,2.89,-3.65,2.52
3.34,2.5,2.88,-3.05,2.51
3.36,2.5,2.88,-2.47,2.51
3.38,2.5,2.9,-1.9,2.49
3.4,2.5,2.9,-1.3,2.48
3.42,2.5,2.92,-0.71,2.46
3.44,2.5,2.94,-0.12,2.46
3.46,2.5,2.98,0.5,2.46
3.48,2.5,2.99,1.09,2.46
3.5,2.5,2.98,1.68,2.48
3.52,2.5,2.99,2.25,2.48
3.54,2.5,2.97,2.84,2.49
3.56,2.5,2.97,3.44,2.49
3.58,2.5,2.96,4.05,2.51
3.6,2.5,2.95,4.69,2.52
3.62,2.5,2.93,5.33,2.52
3.64,2.5,2.91,-5.26,2.52
3.66,2.5,2.91,-4.8,2.52
3.68,2.5,2.91,-4.14,2.52
3.7,2.5,2.91,-3.52,2.52
3.72,2.5,2.9,-2.93,2.53
3.74,2.5,2.89,-2.35,2.53
3.76,2.5,2.88,-1.77,2.52
3.78,2.5,2.88,-1.17,2.52
3.8,2.5,2.88,-0.58,2.5
3.82,2.5,2.89,0.02,2.5
3.84,2.5,2.92,0.63,2.49
3.86,2.5,2.92,1.23,2.48
3.88,2.5,2.93,1.82,2.48
3.9,2.5,2.95,2.39,2.47
3.92,2.5,2.95,2.97,2.48
3.94,2.5,2.97,3.57,2.48
3.96,2.5,2.96,4.19,2.48
3.98,2.5,2.96,4.83,2.48
4,2.5,2.96,5.46,2.49
4.02,2.5,2.96,-5.27,2.5
4.04,2.5,2.95,-4.67,2.51
4.06,2.5,2.93,-4.01,2.51
4.08,2.5,2.93,-3.4,2.51
4.1,2.5,2.92,-2.81,2.51
4.12,2.5,2.92,-2.24,2.51
4.14,2.5,2.91,-1.66,2.51
4.16,2.5,2.92,-1.06,2.51
4.18,2.5,2.91,-0.45,2.49
4.2,2.5,2.91,0.15,2.51
4.22,2.5,2.94,0.75,2.51
4.24,2.5,2.91,1.35,2.51
4.26,2.5,2.92,1.94,2.51
4.28,2.5,2.91,2.51,2.51
4.3,2.5,2.91,3.11,2.51
4.32,2.5,2.91,3.69,2.49
4.34,2.5,2.91,4.32,2.49
4.36,2.5,2.93,4.96,2.48
4.38,2.5,2.94,5.46,2.48
4.4,2.5,2.95,-5.19,2.49
4.42,2.5,2.95,-4.53,2.48
4.44,2.5,2.95,-3.89,2.48
4.46,2.5,2.96,-3.28,2.49
4.48,2.5,2.96,-2.71,2.48
4.5,2.5,2.95,-2.13,2.49
