Time,R,VM,VP,VT
0,0,0,-0.01,0.01
0.01,0,0,-0.01,0.01
0.02,0,-0.01,-0.01,0.01
0.03,0,-0.02,0,-0.01
0.04,0,-0.02,-0.01,0.01
0.05,0,0.02,-0.01,0.01
0.06,0,-0.02,-0.01,0.01
0.07,0,-0.02,-0.01,0.01
0.08,0,-0.02,-0.01,0.01
0.09,0,-0.02,0,0.01
0.1,0,-0.02,-0.02,0.01
0.11,0,-0.02,-0.01,0.01
0.12,0,-0.02,-0.01,0.02
0.13,0,-0.02,-0.01,0
0.14,0,-0.03,0,0.01
0.15,0,-0.01,-0.01,0.01
0.16,0,-0.02,-0.01,0.01
0.17,0,-0.02,-0.01,0.01
0.18,0,-0.02,-0.01,0.01
0.19,0,-0.02,-0.01,0.01
0.2,0,-0.02,-0.01,0
0.21,0,-0.02,-0.01,0.01
0.22,0,-0.02,-0.01,0.01
0.23,0,-0.02,0,0.01
0.24,0,-0.02,-0.01,0.01
0.25,0,-0.03,-0.01,0.01
0.26,0,-0.03,-0.01,0.01
0.27,0,-0.03,-0.01,0.01
0.28,0,-0.03,0,0.01
0.29,0,-0.03,-0.01,0
0.3,0,-0.03,-0.01,0
0.31,0,-0.02,-0.03,0
0.32,0,-0.01,-0.01,0.01
0.33,0,-0.02,-0.01,0
0.34,0,-0.03,0,0.01
0.35,0,-0.02,-0.01,0.01
0.36,0,-0.03,-0.01,0.01
0.37,0,-0.03,0,0.01
0.38,0,-0.03,0,0
0.39,0,-0.03,0,0.01
0.4,0,-0.02,0,0.01
0.41,0,-0.03,-0.01,0.01
0.42,0,-0.03,0,0.01
0.43,0,-0.03,0,0
0.44,0,-0.03,0,0.01
0.45,0,-0.03,-0.01,0.01
0.46,0,-0.03,0,0.01
0.47,0,-0.03,0,0
0.48,0,-0.04,0,0
0.49,0,-0.03,-0.01,0
0.5,0,-0.03,0,0
0.51,0,-0.03,-0.01,0
0.52,0,-0.03,0,0.01
0.53,0,-0.03,0,0.01
0.54,0,-0.04,0,0.01
0.55,0,-0.04,-0.01,0.01
0.56,0,-0.04,-0.01,0.01
0.57,0,-0.04,0,0.01
0.58,0,-0.04,0,0.01
0.59,0,-0.04,-0.01,0.01
0.6,0,-0.04,-0.01,0.01
0.61,0,-0.04,-0.01,0
0.62,0,-0.04,0,0.01
0.63,0,-0.03,0,0.01
0.64,0,-0.04,0,0.01
0.65,0,-0.04,-0.01,0.01
0.66,0,-0.04,-0.01,0.01
0.67,0,-0.04,-0.01,0.01
0.68,0,-0.04,0,-0.01
0.69,0,-0.04,0,0.01
0.7,0,-0.02,-0.01,0.01
0.71,0,-0.04,-0.01,0
0.72,0,-0.04,0,0.01
0.73,0,-0.04,0,0.01
0.74,0,-0.05,0,0
0.75,0,-0.05,-0.01,0.01
0.76,0,-0.04,-0.01,0.01
0.77,0,-0.05,0,0.01
0.78,0,-0.05,0,0.01
0.79,0,-0.05,-0.01,0.01
0.8,0,-0.05,-0.01,0.01
0.81,0,-0.05,-0.01,0
0.82,0,-0.05,0,0.01
0.83,0,-0.04,0,0.01
0.84,0,-0.05,0,0.01
0.85,0,-0.05,-0.01,0.01
0.86,0,-0.05,-0.01,0.01
0.87,0,-0.05,-0.01,0
0.88,0,-0.05,0,0.01
0.89,0,-0.04,0,0.01
0.9,0,-0.05,-0.01,0
0.91,0,-0.05,-0.01,0.01
0.92,0,-0.05,-0.01,0
0.93,0,-0.05,0,0.01
0.94,0,-0.05,0,0.01
0.95,0,-0.06,-0.01,0
0.96,0,-0.06,0,0.01
0.97,0,-0.05,0,0.01
0.98,0,-0.06,0,0
0.99,0,-0.06,0,0.01
1,2.5,-0.05,0,0.01
1.01,2.5,3.69,-0.09,0.03
1.02,2.5,3.82,-0.05,0.14
1.03,2.5,3.92,-0.03,0.26
1.04,2.5,3.88,0.02,0.39
1.05,2.5,3.84,0.06,0.49
1.06,2.5,3.75,0.14,0.6
1.07,2.5,3.71,0.2,0.69
1.08,2.5,3.66,0.3,0.78
1.09,2.5,3.61,0.38,0.87
1.1,2.5,3.57,0.5,0.95
1.11,2.5,3.53,0.62,1.03
1.12,2.5,3.49,0.74,1.1
1.13,2.5,3.46,0.87,1.17
1.14,2.5,3.43,1.01,1.24
1.15,2.5,3.39,1.17,1.3
1.16,2.5,3.36,1.32,1.36
1.17,2.5,3.34,1.47,1.43
1.18,2.5,3.31,1.64,1.47
1.19,2.5,3.27,1.82,1.53
1.2,2.5,3.25,2,1.58
1.21,2.5,3.23,2.18,1.62
1.22,2.5,3.21,2.37,1.67
1.23,2.5,3.18,2.55,1.72
1.24,2.5,3.16,2.76,1.75
1.25,2.5,3.13,2.96,1.79
1.26,2.5,3.12,3.17,1.83
1.27,2.5,3.11,3.38,1.86
1.28,2.5,3.08,3.59,1.88
1.29,2.5,3.07,3.84,1.92
1.3,2.5,3.07,4.06,1.95
1.31,2.5,3.04,4.31,1.97
1.32,2.5,3.03,4.55,2
1.33,2.5,3.03,4.8,2.02
1.34,2.5,3.01,5.07,2.04
1.35,2.5,3.01,5.33,2.06
1.36,2.5,3,5.46,2.09
1.37,2.5,2.99,5.42,2.11
1.38,2.5,2.98,-5.25,2.12
1.39,2.5,2.97,-5,2.13
1.4,2.5,2.97,-4.72,2.16
1.41,2.5,2.97,-4.46,2.16
1.42,2.5,2.95,-4.18,2.19
1.43,2.5,2.97,-3.9,2.19
1.44,2.5,2.94,-3.62,2.22
1.45,2.5,2.95,-3.36,2.23
1.46,2.5,2.93,-3.1,2.24
1.47,2.5,2.93,-2.84,2.25
1.48,2.5,2.92,-2.59,2.27
1.49,2.5,2.92,-2.32,2.29
1.5,2.5,2.91,-2.07,2.29
