Time,R,VM,VP,VT
0,0,0,0,0
0.01,0.09,0,0,0
0.02,0.19,0.1,0,0
0.03,0.28,0.19,0,0.01
0.04,0.38,0.28,0,0.02
0.05,0.47,0.38,0.01,0.03
0.06,0.56,0.46,0.01,0.05
0.07,0.65,0.55,0.02,0.06
0.08,0.75,0.63,0.02,0.08
0.09,0.84,0.72,0.03,0.1
0.1,0.93,0.8,0.05,0.13
0.11,1.02,0.87,0.06,0.15
0.12,1.11,0.95,0.08,0.18
0.13,1.19,1.02,0.1,0.21
0.14,1.28,1.09,0.13,0.24
0.15,1.36,1.16,0.15,0.27
0.16,1.45,1.22,0.19,0.3
0.17,1.53,1.29,0.22,0.33
0.18,1.61,1.35,0.26,0.37
0.19,1.69,1.41,0.3,0.4
0.2,1.76,1.47,0.35,0.44
0.21,1.84,1.52,0.4,0.47
0.22,1.91,1.58,0.45,0.51
0.23,1.99,1.63,0.51,0.55
0.24,2.05,1.68,0.58,0.58
0.25,2.12,1.73,0.64,0.62
0.26,2.19,1.77,0.71,0.66
0.27,2.25,1.82,0.79,0.7
0.28,2.31,1.86,0.87,0.74
0.29,2.37,1.9,0.95,0.78
0.3,2.43,1.93,1.04,0.81
0.31,2.48,1.97,1.13,0.85
0.32,2.53,2,1.23,0.89
0.33,2.58,2.03,1.33,0.93
0.34,2.63,2.06,1.44,0.96
0.35,2.67,2.09,1.55,1
0.36,2.72,2.11,1.66,1.04
0.37,2.75,2.13,1.78,1.07
0.38,2.79,2.15,1.9,1.11
0.39,2.82,2.17,2.02,1.14
0.4,2.85,2.19,2.15,1.18
0.41,2.88,2.2,2.28,1.21
0.42,2.91,2.21,2.42,1.24
0.43,2.93,2.22,2.56,1.27
0.44,2.95,2.23,2.7,1.3
0.45,2.96,2.23,2.85,1.33
0.46,2.98,2.23,3,1.36
0.47,2.99,2.23,3.15,1.39
0.48,2.99,2.23,3.31,1.41
0.49,3,2.23,3.47,1.44
0.5,3,2.22,3.63,1.46
0.51,3,2.21,3.79,1.49
0.52,2.99,2.2,3.96,1.51
0.53,2.99,2.19,4.13,1.53
0.54,2.98,2.17,4.3,1.55
0.55,2.96,2.16,4.47,1.57
0.56,2.95,2.14,4.65,1.58
0.57,2.93,2.12,4.82,1.6
0.58,2.9,2.09,-5,1.61
0.59,2.88,2.07,-4.82,1.63
0.6,2.85,2.04,-4.64,1.64
0.61,2.82,2.01,-4.46,1.65
0.62,2.79,1.98,-4.27,1.66
0.63,2.75,1.95,-4.09,1.67
0.64,2.71,1.92,-3.9,1.67
0.65,2.67,1.88,-3.72,1.68
0.66,2.63,1.84,-3.53,1.68
0.67,2.58,1.81,-3.34,1.68
0.68,2.53,1.76,-3.16,1.68
0.69,2.48,1.72,-2.97,1.68
0.7,2.42,1.68,-2.78,1.68
0.71,2.37,1.63,-2.6,1.67
0.72,2.31,1.58,-2.41,1.67
0.73,2.25,1.54,-2.23,1.66
0.74,2.18,1.49,-2.04,1.65
0.75,2.12,1.43,-1.86,1.64
0.76,2.05,1.38,-1.68,1.63
0.77,1.98,1.33,-1.5,1.62
0.78,1.91,1.27,-1.32,1.6
0.79,1.83,1.22,-1.14,1.59
0.8,1.76,1.16,-0.96,1.57
0.81,1.68,1.1,-0.79,1.55
0.82,1.6,1.04,-0.62,1.53
0.83,1.52,0.98,-0.45,1.51
0.84,1.44,0.92,-0.28,1.49
0.85,1.36,0.86,-0.12,1.47
0.86,1.27,0.8,0.04,1.44
0.87,1.19,0.73,0.2,1.42
0.88,1.1,0.67,0.36,1.39
0.89,1.01,0.61,0.51,1.36
0.9,0.92,0.54,0.66,1.33
0.91,0.83,0.48,0.8,1.3
0.92,0.74,0.41,0.95,1.27
