Time,R,VM,VP,VT
0,0,0,0,0
0.01,0,0,0,0
0.02,0,0,0,0
0.03,0,0,0,0
0.04,0,0,0,0
0.05,0,0,0,0
0.06,0,0,0,0
0.07,0,0,0,0
0.08,0,0,0,0
0.09,0,0,0,0
0.1,0,0,0,0
0.11,0,0,0,0
0.12,0.01,0,0,0
0.13,0.01,0.01,0,0
0.14,0.01,0.01,0,0
0.15,0.01,0.01,0,0
0.16,0.01,0.01,0,0
0.17,0.01,0.01,0,0
0.18,0.01,0.01,0,0
0.19,0.01,0.01,0,0
0.2,0.02,0.01,0,0
0.21,0.02,0.01,0,0
0.22,0.02,0.02,0,0
0.23,0.02,0.02,0,0
0.24,0.02,0.02,0,0
0.25,0.03,0.02,0,0.01
0.26,0.03,0.02,0,0.01
0.27,0.03,0.02,0,0.01
0.28,0.03,0.03,0.01,0.01
0.29,0.03,0.03,0.01,0.01
0.3,0.04,0.03,0.01,0.01
0.31,0.04,0.03,0.01,0.01
0.32,0.04,0.03,0.01,0.01
0.33,0.04,0.04,0.01,0.01
0.34,0.05,0.04,0.01,0.01
0.35,0.05,0.04,0.01,0.01
0.36,0.05,0.04,0.01,0.01
0.37,0.05,0.04,0.02,0.01
0.38,0.06,0.05,0.02,0.02
0.39,0.06,0.05,0.02,0.02
0.4,0.06,0.05,0.02,0.02
0.41,0.07,0.05,0.02,0.02
0.42,0.07,0.06,0.03,0.02
0.43,0.07,0.06,0.03,0.02
0.44,0.08,0.06,0.03,0.02
0.45,0.08,0.06,0.03,0.02
0.46,0.08,0.07,0.04,0.03
0.47,0.09,0.07,0.04,0.03
0.48,0.09,0.07,0.04,0.03
0.49,0.1,0.08,0.05,0.03
0.5,0.1,0.08,0.05,0.03
0.51,0.1,0.08,0.05,0.03
0.52,0.11,0.09,0.06,0.04
0.53,0.11,0.09,0.06,0.04
0.54,0.12,0.09,0.06,0.04
0.55,0.12,0.1,0.07,0.04
0.56,0.13,0.1,0.07,0.04
0.57,0.13,0.1,0.08,0.04
0.58,0.13,0.11,0.08,0.05
0.59,0.14,0.11,0.09,0.05
0.6,0.14,0.11,0.09,0.05
0.61,0.15,0.12,0.1,0.05
0.62,0.15,0.12,0.11,0.06
0.63,0.16,0.12,0.11,0.06
0.64,0.16,0.13,0.12,0.06
0.65,0.17,0.13,0.13,0.06
0.66,0.17,0.14,0.13,0.06
0.67,0.18,0.14,0.14,0.07
0.68,0.19,0.14,0.15,0.07
0.69,0.19,0.15,0.16,0.07
0.7,0.2,0.15,0.16,0.07
0.71,0.2,0.16,0.17,0.08
0.72,0.21,0.16,0.18,0.08
0.73,0.21,0.17,0.19,0.08
0.74,0.22,0.17,0.2,0.09
0.75,0.23,0.17,0.21,0.09
0.76,0.23,0.18,0.22,0.09
0.77,0.24,0.18,0.23,0.09
0.78,0.24,0.19,0.24,0.1
0.79,0.25,0.19,0.25,0.1
0.8,0.26,0.2,0.26,0.1
0.81,0.26,0.2,0.27,0.11
0.82,0.27,0.21,0.29,0.11
0.83,0.28,0.21,0.3,0.11
0.84,0.28,0.22,0.31,0.12
0.85,0.29,0.22,0.32,0.12
0.86,0.3,0.23,0.34,0.12
0.87,0.3,0.23,0.35,0.13
0.88,0.31,0.24,0.37,0.13
0.89,0.32,0.24,0.38,0.13
0.9,0.32,0.25,0.4,0.14
0.91,0.33,0.25,0.41,0.14
0.92,0.34,0.26,0.43,0.15
0.93,0.35,0.26,0.44,0.15
0.94,0.35,0.27,0.46,0.15
0.95,0.36,0.28,0.48,0.16
0.96,0.37,0.28,0.5,0.16
0.97,0.38,0.29,0.51,0.17
0.98,0.38,0.29,0.53,0.17
0.99,0.39,0.3,0.55,0.17
1,0.4,0.31,0.57,0.18
1.01,0.41,0.31,0.59,0.18
1.02,0.42,0.32,0.61,0.19
1.03,0.42,0.32,0.63,0.19
1.04,0.43,0.33,0.65,0.19
1.05,0.44,0.34,0.68,0.2
1.06,0.45,0.34,0.7,0.2
1.07,0.46,0.35,0.72,0.21
1.08,0.47,0.36,0.74,0.21
1.09,0.47,0.36,0.77,0.22
1.1,0.48,0.37,0.79,0.22
1.11,0.49,0.38,0.82,0.23
1.12,0.5,0.38,0.84,0.23
1.13,0.51,0.39,0.87,0.24
1.14,0.52,0.4,0.9,0.24
1.15,0.53,0.4,0.92,0.25
1.16,0.54,0.41,0.95,0.25
1.17,0.55,0.42,0.98,0.26
1.18,0.56,0.42,1.01,0.26
1.19,0.57,0.43,1.04,0.27
1.2,0.57,0.44,1.07,0.27
1.21,0.58,0.44,1.1,0.28
1.22,0.59,0.45,1.13,0.28
1.23,0.6,0.46,1.16,0.29
1.24,0.61,0.47,1.19,0.3
1.25,0.62,0.47,1.23,0.3
1.26,0.63,0.48,1.26,0.31
1.27,0.64,0.49,1.3,0.31
1.28,0.65,0.5,1.33,0.32
1.29,0.66,0.51,1.37,0.32
1.3,0.67,0.51,1.4,0.33
1.31,0.68,0.52,1.44,0.34
