Time,R (Referência),VM,VP,VT
0,0,0,0,0
0.01,0,0,0,0
0.02,0,0,0,0
0.03,0,0,0,0
0.04,0,0,0,0
0.05,0.01,0.01,0,0
0.06,0.01,0.01,0,0
0.07,0.01,0.01,0,0
0.08,0.02,0.02,0,0
0.09,0.02,0.02,0,0
0.1,0.03,0.03,0,0
0.11,0.04,0.04,0,0
0.12,0.04,0.04,0,0.01
0.13,0.05,0.05,0,0.01
0.14,0.06,0.06,0,0.01
0.15,0.07,0.07,0,0.01
0.16,0.08,0.08,0.01,0.01
0.17,0.09,0.09,0.01,0.02
0.18,0.1,0.1,0.01,0.02
0.19,0.11,0.11,0.01,0.02
0.2,0.12,0.12,0.01,0.03
0.21,0.13,0.13,0.02,0.03
0.22,0.15,0.15,0.02,0.03
0.23,0.16,0.16,0.02,0.04
0.24,0.17,0.17,0.03,0.04
0.25,0.19,0.19,0.03,0.05
0.26,0.2,0.2,0.04,0.05
0.27,0.22,0.22,0.05,0.06
0.28,0.24,0.24,0.05,0.06
0.29,0.25,0.25,0.06,0.07
0.3,0.27,0.27,0.07,0.08
0.31,0.29,0.29,0.08,0.08
0.32,0.31,0.31,0.09,0.09
0.33,0.33,0.33,0.1,0.1
0.34,0.35,0.35,0.11,0.11
0.35,0.37,0.37,0.12,0.12
0.36,0.39,0.39,0.13,0.12
0.37,0.41,0.41,0.15,0.13
0.38,0.43,0.43,0.16,0.14
0.39,0.46,0.46,0.18,0.15
0.4,0.48,0.48,0.2,0.17
0.41,0.5,0.5,0.22,0.18
0.42,0.53,0.53,0.24,0.19
0.43,0.55,0.55,0.26,0.2
0.44,0.58,0.58,0.28,0.21
0.45,0.61,0.61,0.31,0.23
0.46,0.63,0.63,0.33,0.24
0.47,0.66,0.66,0.36,0.25
0.48,0.69,0.69,0.39,0.27
0.49,0.72,0.72,0.42,0.28
0.5,0.75,0.75,0.45,0.3
0.51,0.78,0.78,0.49,0.31
0.52,0.81,0.81,0.52,0.33
0.53,0.84,0.84,0.56,0.35
0.54,0.87,0.87,0.6,0.36
0.55,0.9,0.9,0.64,0.38
0.56,0.93,0.93,0.68,0.4
0.57,0.97,0.97,0.73,0.42
0.58,1,1,0.78,0.44
0.59,1.03,1.03,0.83,0.46
0.6,1.07,1.07,0.88,0.48
0.61,1.1,1.1,0.93,0.5
0.62,1.14,1.14,0.99,0.52
0.63,1.18,1.18,1.05,0.54
0.64,1.21,1.21,1.11,0.56
0.65,1.25,1.25,1.17,0.58
0.66,1.29,1.29,1.24,0.61
0.67,1.32,1.32,1.31,0.63
0.68,1.36,1.36,1.38,0.65
0.69,1.4,1.4,1.45,0.68
0.7,1.44,1.44,1.53,0.7
0.71,1.48,1.48,1.61,0.73
0.72,1.52,1.52,1.69,0.75
0.73,1.56,1.56,1.78,0.78
0.74,1.6,1.6,1.87,0.81
0.75,1.64,1.64,1.96,0.83
0.76,1.68,1.68,2.05,0.86
0.77,1.72,1.72,2.15,0.89
0.78,1.77,1.77,2.25,0.92
0.79,1.81,1.81,2.35,0.95
0.8,1.85,1.85,2.46,0.98
0.81,1.89,1.89,2.57,1.01
0.82,1.94,1.94,2.68,1.04
0.83,1.98,1.98,2.8,1.07
0.84,2.02,2.02,2.92,1.1
0.85,2.07,2.07,3.04,1.13
0.86,2.11,2.11,3.17,1.16
0.87,2.15,2.15,3.3,1.19
0.88,2.2,2.2,3.44,1.22
0.89,2.24,2.24,3.57,1.26
0.9,2.29,2.29,3.71,1.29
0.91,2.33,2.33,3.86,1.32
0.92,2.38,2.38,4.01,1.36
0.93,2.42,2.42,4.16,1.39
0.94,2.47,2.47,4.32,1.43
0.95,2.51,2.51,4.48,1.46
0.96,2.55,2.55,4.64,1.49
0.97,2.6,2.6,4.81,1.53
0.98,2.64,2.64,4.98,1.57
0.99,2.69,2.69,-4.84,1.6
1,2.73,2.73,-4.66,1.64
1.01,2.77,2.77,-4.48,1.67
1.02,2.82,2.82,-4.29,1.71
1.03,2.86,2.86,-4.1,1.75
1.04,2.9,2.9,-3.9,1.78
1.05,2.95,2.95,-3.7,1.82
1.06,2.99,2.99,-3.5,1.86
1.07,3.03,3.03,-3.29,1.89
1.08,3.07,3.07,-3.08,1.93
1.09,3.12,3.12,-2.86,1.97
1.1,3.16,3.16,-2.64,2
1.11,3.2,3.2,-2.42,2.04
1.12,3.24,3.24,-2.19,2.08
1.13,3.28,3.28,-1.95,2.12
1.14,3.31,3.31,-1.72,2.15
1.15,3.35,3.35,-1.47,2.19
1.16,3.39,3.39,-1.23,2.23
1.17,3.43,3.43,-0.98,2.27
1.18,3.46,3.46,-0.72,2.3
1.19,3.5,3.5,-0.47,2.34
1.2,3.53,3.53,-0.2,2.38
1.21,3.57,3.57,0.06,2.41
1.22,3.6,3.6,0.33,2.45
1.23,3.63,3.63,0.61,2.49
1.24,3.66,3.66,0.88,2.52
1.25,3.69,3.69,1.17,2.56
1.26,3.72,3.72,1.45,2.59
