Time,R,VM,VP,VT
0,0,0,-3.19,-0.02
0.01,3,0,-3.2,-0.03
0.02,3,4.53,-3.28,0
0.03,3,4.7,-3.27,0.15
0.04,3,4.81,-3.22,0.31
0.05,3,4.75,-3.16,0.46
0.06,3,4.66,-3.09,0.58
0.07,3,4.57,-3.01,0.66
0.08,3,4.52,-2.94,0.82
0.09,3,4.53,-2.83,0.93
0.1,3,4.41,-2.73,1.04
0.11,3,4.37,-2.59,1.13
0.12,3,4.3,-2.46,1.23
0.13,3,4.28,-2.33,1.32
0.14,3,4.21,-2.16,1.39
0.15,3,4.17,-2.01,1.5
0.16,3,4.16,-1.82,1.56
0.17,3,4.08,-1.63,1.64
0.18,3,4.06,-1.44,1.71
0.19,3,4.03,-1.24,1.76
0.2,3,3.99,-1.01,1.83
0.21,3,3.98,-0.81,1.89
0.22,3,3.95,-0.58,1.94
0.23,3,3.92,-0.35,1.99
0.24,3,3.9,-0.1,2.04
0.25,3,3.88,0.14,2.08
0.26,3,3.85,0.39,2.12
0.27,3,3.84,0.65,2.16
0.28,3,3.83,0.89,2.22
0.29,3,3.81,1.17,2.25
0.3,3,3.78,1.44,2.28
0.31,3,3.76,1.73,2.32
0.32,3,3.76,2,2.33
0.33,3,3.74,2.27,2.4
0.34,3,3.76,2.55,2.42
0.35,3,3.69,2.83,2.45
0.36,3,3.69,3.12,2.46
0.37,3,3.67,3.42,2.51
0.38,3,3.69,3.72,2.53
0.39,3,3.65,4.03,2.54
0.4,3,3.64,4.34,2.57
0.41,3,3.65,4.68,2.6
0.42,3,3.63,5.01,2.62
0.43,3,3.6,5.36,2.64
0.44,3,3.6,5.46,2.66
0.45,3,3.58,-5.26,2.68
0.46,3,3.58,-5.05,2.69
0.47,3,3.56,-4.7,2.7
0.48,3,3.56,-4.36,2.72
0.49,3,3.56,-4.03,2.73
0.5,3,3.56,-3.69,2.74
0.51,3,3.54,-3.36,2.76
0.52,3,3.55,-3.03,2.75
0.53,3,3.54,-2.74,2.78
0.54,3,3.56,-2.4,2.78
0.55,3,3.53,-2.08,2.79
0.56,3,3.55,-1.75,2.8
0.57,3,3.53,-1.44,2.8
0.58,3,3.53,-1.11,2.79
0.59,3,3.54,-0.77,2.81
0.6,3,3.56,-0.45,2.81
0.61,3,3.56,-0.11,2.8
0.62,3,3.57,0.23,2.81
0.63,3,3.59,0.57,2.81
0.64,3,3.59,0.9,2.81
0.65,3,3.59,1.24,2.83
0.66,3,3.6,1.59,2.84
0.67,3,3.58,1.91,2.84
0.68,3,3.58,2.24,2.85
0.69,3,3.58,2.57,2.85
0.7,3,3.58,2.91,2.86
0.71,3,3.59,3.24,2.86
0.72,3,3.58,3.59,2.88
0.73,3,3.58,3.95,2.88
0.74,3,3.56,4.32,2.9
0.75,3,3.57,4.69,2.91
0.76,3,3.54,5.07,2.91
0.77,3,3.54,5.44,2.91
0.78,3,3.53,5.42,2.93
0.79,3,3.54,-5.22,2.93
0.8,3,3.51,-4.84,2.94
0.81,3,3.52,-4.47,2.93
0.82,3,3.51,-4.11,2.94
0.83,3,3.53,-3.75,2.94
0.84,3,3.51,-3.39,2.94
0.85,3,3.52,-3.06,2.94
0.86,3,3.52,-2.71,2.93
0.87,3,3.53,-2.38,2.94
0.88,3,3.55,-2.05,2.96
0.89,3,3.54,-1.71,2.94
0.9,3,3.51,-1.36,2.96
0.91,3,3.53,-1,2.95
0.92,3,3.52,-0.66,2.95
0.93,3,3.53,-0.3,2.95
0.94,3,3.53,0.04,2.95
0.95,3,3.53,0.4,2.96
0.96,3,3.54,0.77,2.96
0.97,3,3.53,1.11,2.97
0.98,3,3.53,1.46,2.96
0.99,3,3.52,1.82,2.97
1,3,3.53,2.16,2.97
1.01,3,3.51,2.5,2.97
1.02,3,3.51,2.84,2.97
1.03,3,3.51,3.18,2.98
1.04,3,3.52,3.57,2.99
1.05,3,3.51,3.93,2.99
1.06,3,3.5,4.31,2.99
1.07,3,3.5,4.68,2.99
1.08,3,3.49,5.06,3
1.09,3,3.5,5.45,3
1.1,3,3.48,5.43,3
1.11,3,3.48,-5.22,2.98
1.12,3,3.48,-4.83,3
1.13,3,3.51,-4.45,3.01
1.14,3,3.49,-4.06,3
1.15,3,3.47,-3.7,3
1.16,3,3.48,-3.34,3
1.17,3,3.48,-3,3
1.18,3,3.49,-2.66,3
1.19,3,3.49,-2.31,3
1.2,3,3.49,-1.98,3
1.21,3,3.49,-1.63,3
1.22,3,3.48,-1.27,2.99
1.23,3,3.49,-0.91,2.97
1.24,3,3.5,-0.55,2.97
1.25,3,3.53,-0.21,2.97
1.26,3,3.53,0.15,2.97
1.27,3,3.53,0.51,2.97
1.28,3,3.54,0.84,2.97
1.29,3,3.54,1.22,2.97
1.3,3,3.53,1.58,2.98
1.31,3,3.53,1.9,2.93
1.32,3,3.52,2.25,2.91
1.33,3,3.61,2.6,2.97
1.34,3,3.63,2.95,2.97
1.35,3,3.55,3.29,2.97
1.36,3,3.54,3.67,2.97
1.37,3,3.55,4.05,2.99
1.38,3,3.56,4.42,3
1.39,3,3.52,4.82,3
1.4,3,3.51,5.2,3
1.41,3,3.5,5.46,3.01
1.42,3,3.51,-5.25,3
1.43,3,3.49,-5.05,3.01
1.44,3,3.5,-4.67,3
1.45,3,3.49,-4.28,3
1.46,3,3.5,-3.91,3.01
1.47,3,3.5,-3.55,3
1.48,3,3.49,-3.19,3
1.49,3,3.5,-2.84,3.01
