Time,R,VM,VP,VT
0,0,0,-0.03,0
0.01,0,0,-0.04,0
0.02,0,0,-0.04,0.01
0.03,0,0,-0.04,0.01
0.04,0,0,-0.04,0.01
0.05,0,0,-0.04,0.01
0.06,0,0,-0.04,0.02
0.07,0,0,-0.04,0.02
0.08,0,0,-0.03,0.02
0.09,0,0,-0.03,0.02
0.1,2.5,2.5,-0.09,0.03
0.11,2.5,2.5,-0.06,0.11
0.12,2.5,2.5,-0.04,0.2
0.13,2.5,2.5,-0.01,0.27
0.14,2.5,2.5,0,0.33
0.15,2.5,2.5,0.06,0.4
0.16,2.5,2.5,0.1,0.45
0.17,2.5,2.5,0.17,0.53
0.18,2.5,2.5,0.23,0.59
0.19,2.5,2.5,0.3,0.65
0.2,2.5,2.5,0.37,0.69
0.21,2.5,2.5,0.47,0.75
0.22,2.5,2.5,0.56,0.8
0.23,2.5,2.5,0.65,0.84
0.24,2.5,2.5,0.75,0.9
0.25,2.5,2.5,0.86,0.94
0.26,2.5,2.5,0.97,0.99
0.27,2.5,2.5,1.08,1.03
0.28,2.5,2.5,1.2,1.07
0.29,2.5,2.5,1.34,1.1
0.3,2.5,2.5,1.46,1.14
0.31,2.5,2.5,1.59,1.19
0.32,2.5,2.5,1.74,1.22
0.33,2.5,2.5,1.88,1.26
0.34,2.5,2.5,2.02,1.29
0.35,2.5,2.5,2.14,1.34
0.36,2.5,2.5,2.33,1.37
0.37,2.5,2.5,2.48,1.39
0.38,2.5,2.5,2.64,1.42
0.39,2.5,2.5,2.8,1.44
0.4,2.5,2.5,2.96,1.48
0.41,2.5,2.5,3.13,1.5
0.42,2.5,2.5,3.31,1.53
0.43,2.5,2.5,3.49,1.55
0.44,2.5,2.5,3.68,1.57
0.45,2.5,2.5,3.87,1.59
0.46,2.5,2.5,4.06,1.61
0.47,2.5,2.5,4.26,1.64
0.48,2.5,2.5,4.47,1.65
0.49,2.5,2.5,4.67,1.68
0.5,2.5,2.5,4.88,1.7
0.51,2.5,2.5,5.09,1.71
0.52,2.5,2.5,5.32,1.74
0.53,2.5,2.5,5.46,1.75
0.54,2.5,2.5,5.45,1.77
0.55,2.5,2.5,-5.24,1.77
0.56,2.5,2.5,-5.2,1.8
0.57,2.5,2.5,-4.96,1.8
0.58,2.5,2.5,-4.72,1.82
0.59,2.5,2.5,-4.49,1.83
0.6,2.5,2.5,-4.26,1.84
0.61,2.5,2.5,-4.03,1.85
0.62,2.5,2.5,-3.81,1.86
0.63,2.5,2.5,-3.57,1.87
0.64,2.5,2.5,-3.36,1.89
0.65,2.5,2.5,-3.13,1.9
0.66,2.5,2.5,-2.91,1.91
0.67,2.5,2.5,-2.7,1.91
0.68,2.5,2.5,-2.49,1.93
0.69,2.5,2.5,-2.27,1.93
0.7,2.5,2.5,-2.05,1.95
0.71,2.5,2.5,-1.83,1.94
0.72,2.5,2.5,-1.59,1.94
0.73,2.5,2.5,-1.36,1.96
0.74,2.5,2.5,-1.13,1.97
0.75,2.5,2.5,-0.9,1.98
0.76,2.5,2.5,-0.66,1.99
0.77,2.5,2.5,-0.43,2
0.78,2.5,2.5,-0.21,2.01
0.79,2.5,2.5,0.04,2
0.8,2.5,2.5,0.28,2.01
0.81,2.5,2.5,0.52,2.01
0.82,2.5,2.5,0.77,2.03
0.83,2.5,2.5,1,2.04
0.84,2.5,2.5,1.24,2.04
0.85,2.5,2.5,1.47,2.05
0.86,2.5,2.5,1.73,2.06
0.87,2.5,2.5,1.95,2.06
0.88,2.5,2.5,2.19,2.07
0.89,2.5,2.5,2.42,2.07
0.9,2.5,2.5,2.67,2.07
0.91,2.5,2.5,2.9,2.07
0.92,2.5,2.5,3.13,2.08
0.93,2.5,2.5,3.38,2.08
0.94,2.5,2.5,3.63,2.09
0.95,2.5,2.5,3.88,2.09
0.96,2.5,2.5,4.13,2.1
0.97,2.5,2.5,4.39,2.1
0.98,2.5,2.5,4.65,2.11
0.99,2.5,2.5,4.92,2.12
1,2.5,2.5,5.2,2.12
1.01,2.5,2.5,5.46,2.12
1.02,2.5,2.5,5.46,2.12
1.03,2.5,2.5,-5.24,2.13
1.04,2.5,2.5,-5.14,2.13
1.05,2.5,2.5,-4.86,2.13
1.06,2.5,2.5,-4.58,2.14
1.07,2.5,2.5,-4.31,2.13
1.08,2.5,2.5,-4.05,2.14
1.09,2.5,2.5,-3.78,2.13
1.1,2.5,2.5,-3.52,2.14
1.11,2.5,2.5,-3.27,2.15
1.12,2.5,2.5,-3.02,2.15
1.13,2.5,2.5,-2.78,2.15
1.14,2.5,2.5,-2.53,2.16
1.15,2.5,2.5,-2.29,2.15
1.16,2.5,2.5,-2.04,2.16
1.17,2.5,2.5,-1.8,2.15
1.18,2.5,2.5,-1.54,2.16
1.19,2.5,2.5,-1.29,2.16
1.2,2.5,2.5,-1.03,2.16
1.21,2.5,2.5,-0.78,2.15
1.22,2.5,2.5,-0.52,2.15
1.23,2.5,2.5,-0.28,2.16
1.24,2.5,2.5,-0.02,2.15
1.25,2.5,2.5,0.24,2.16
1.26,2.5,2.5,0.5,2.16
1.27,2.5,2.5,0.76,2.15
1.28,2.5,2.5,1.01,2.17
1.29,2.5,2.5,1.26,2.14
1.3,2.5,2.5,1.52,2.18
1.31,2.5,2.5,1.77,2.18
1.32,2.5,2.5,2.02,2.18
1.33,2.5,2.5,2.26,2.18
1.34,2.5,2.5,2.52,2.18
1.35,2.5,2.5,2.77,2.18
1.36,2.5,2.5,3.02,2.19
1.37,2.5,2.5,3.27,2.18
1.38,2.5,2.5,3.52,2.19
1.39,2.5,2.5,3.78,2.19
1.4,2.5,2.5,4.05,2.19
1.41,2.5,2.5,4.31,2.18
1.42,2.5,2.5,4.6,2.19
1.43,2.5,2.5,4.86,2.19
1.44,2.5,2.5,5.13,2.18
1.45,2.5,2.5,5.43,2.18
1.46,2.5,2.5,5.45,2.19
1.47,2.5,2.5,-5.25,2.18
1.48,2.5,2.5,-5.17,2.19
1.49,2.5,2.5,-4.87,2.18
1.5,2.5,2.5,-4.58,2.19
1.51,2.5,2.5,-4.31,2.17
1.52,2.5,2.5,-4.03,2.18
1.53,2.5,2.5,-3.76,2.19
1.54,2.5,2.5,-3.49,2.19
1.55,2.5,2.5,-3.24,2.19
1.56,2.5,2.5,-2.99,2.19
1.57,2.5,2.5,-2.73,2.19
1.58,2.5,2.5,-2.49,2.19
1.59,2.5,2.5,-2.24,2.19
1.6,2.5,2.5,-1.99,2.2
1.61,2.5,2.5,-1.74,2.19
1.62,2.5,2.5,-1.48,2.19
1.63,2.5,2.5,-1.22,2.19
1.64,2.5,2.5,-0.96,2.19
1.65,2.5,2.5,-0.7,2.19
1.66,2.5,2.5,-0.45,2.18
1.67,2.5,2.5,-0.22,2.18
1.68,2.5,2.5,0.07,2.19
1.69,2.5,2.5,0.34,2.19
1.7,2.5,2.5,0.6,2.18
1.71,2.5,2.5,0.86,2.18
1.72,2.5,2.5,1.1,2.19
1.73,2.5,2.5,1.37,2.19
1.74,2.5,2.5,1.64,2.19
1.75,2.5,2.5,1.88,2.19
1.76,2.5,2.5,2.13,2.19
1.77,2.5,2.5,2.39,2.19
1.78,2.5,2.5,2.64,2.18
1.79,2.5,2.5,2.88,2.19
1.8,2.5,2.5,3.14,2.19
1.81,2.5,2.5,3.4,2.19
1.82,2.5,2.5,3.65,2.19
1.83,2.5,2.5,3.92,2.2
1.84,2.5,2.5,4.19,2.2
1.85,2.5,2.5,4.47,2.19
1.86,2.5,2.5,4.74,2.2
1.87,2.5,2.5,5.02,2.21
1.88,2.5,2.5,5.31,2.2
1.89,2.5,2.5,5.46,2.21
1.9,2.5,2.5,5.42,2.2
1.91,2.5,2.5,-5.25,2.21
1.92,2.5,2.5,-4.98,2.2
