Time,R,VM,VP,VT
0,0,0,-0.07,0.23
0.01,0,0,-0.07,0.22
0.02,0,-0.34,0.2,0.23
0.03,0,-0.34,-0.05,0.23
0.04,0,-0.37,-0.04,0.24
0.05,0,-0.37,-0.03,0.23
0.06,0,-0.4,-0.05,0.24
0.07,0,-0.41,-0.03,0.24
0.08,0,-0.43,-0.03,0.24
0.09,0,-0.44,0.21,-0.03
0.1,0,-0.45,-0.03,0.23
0.11,0,-0.06,-0.04,0.23
0.12,0,-0.46,-0.04,0.24
0.13,0,-0.47,0.23,-0.04
0.14,0,-0.49,-0.03,0.23
0.15,0,-0.09,-0.05,0.23
0.16,0,-0.49,-0.04,0.23
0.17,0,-0.49,0.23,-0.04
0.18,0,-0.51,-0.04,0.22
0.19,0,-0.11,-0.06,0.23
0.2,0,-0.51,-0.06,0.23
0.21,0,-0.53,0.23,-0.06
0.22,0,-0.55,-0.06,0.21
0.23,0,-0.12,-0.07,0.22
0.24,0,-0.53,-0.06,0.23
0.25,0,-0.55,-0.06,0.21
0.26,0,-0.57,-0.08,0.21
0.27,0,-0.55,-0.09,0.21
0.28,0,-0.57,-0.07,0.21
0.29,0,-0.59,-0.08,0.19
0.3,0,-0.59,-0.08,0.19
0.31,0,-0.57,-0.1,0.17
0.32,0,-0.58,-0.11,0.19
0.33,0,-0.56,-0.11,0.18
0.34,0,-0.6,-0.16,0.19
0.35,0,-0.59,0.18,-0.13
0.36,0,-0.62,-0.14,0.17
0.37,0,-0.14,-0.15,0.18
0.38,0,-0.59,-0.15,0.19
0.39,0,-0.61,-0.15,0.19
0.4,0,-0.64,-0.16,0.18
0.41,0,-0.65,-0.16,0.18
0.42,0,-0.65,-0.16,0.18
0.43,0,-0.66,-0.18,0.17
0.44,0,-0.66,-0.18,0.18
0.45,0,-0.66,-0.19,0.17
0.46,0,-0.68,-0.21,0.16
0.47,0,-0.68,-0.22,0.16
0.48,0,-0.67,-0.24,0.16
0.49,0,-0.68,-0.22,0.17
0.5,0,-0.69,-0.23,0.17
0.51,0,-0.71,-0.24,0.15
0.52,0,-0.71,-0.27,0.17
0.53,0,-0.7,-0.25,0.15
0.54,0,-0.73,-0.26,0.16
0.55,0,-0.72,-0.27,0.15
0.56,0,-0.74,-0.3,0.12
0.57,0,-0.73,-0.3,0.15
0.58,0,-0.7,0.15,-0.32
0.59,0,-0.74,-0.34,0.14
0.6,0,-0.05,-0.36,0.14
0.61,0,-0.73,-0.35,0.17
0.62,0,-0.73,-0.35,-0.36
0.63,0,-0.78,-0.36,0.15
0.64,0,0,-0.39,0.16
0.65,0,-0.75,-0.38,0.18
0.66,0,-0.77,0.17,-0.39
0.67,0,-0.8,-0.4,0.16
0.68,0,0.05,-0.43,0.16
0.69,0,-0.76,-0.41,0.18
0.7,0,-0.77,0.18,0.18
0.71,0,-0.81,-0.42,0.18
0.72,0,-0.82,-0.43,0.16
0.73,0,-0.82,-0.43,-0.44
0.74,0,-0.81,-0.45,0.15
0.75,0,0.08,-0.48,0.15
0.76,0,-0.77,-0.48,-0.48
0.77,0,-0.78,-0.51,0.16
0.78,0,0.15,0.16,-0.52
0.79,0,-0.78,-0.49,0.18
0.8,0,0.23,0.17,0.17
0.81,0,-0.8,-0.52,0.18
0.82,0,-0.79,0.19,-0.52
0.83,0,-0.81,-0.52,0.18
0.84,0,0.22,-0.57,0.18
0.85,0,-0.8,-0.54,0.19
0.86,0,-0.81,-0.54,0.19
