Time,R,VM,VP,VT
0,0,0,0,0
0.01,3,-0.02,-0.01,0
0.02,3,5,-0.1,0.04
0.03,3,5,-0.04,0.17
0.04,3,4.81,-0.03,0.33
0.05,3,4.09,0,0.46
0.06,3,3.62,0.11,0.59
0.07,3,3.08,0.19,0.67
0.08,3,2.55,0.28,0.73
0.09,3,2.18,0.38,0.77
0.1,3,1.86,0.47,0.8
0.11,3,1.56,0.57,0.83
0.12,3,1.27,0.68,0.84
0.13,3,1.06,0.78,0.83
0.14,3,0.93,0.9,0.78
0.15,3,0.97,0.94,0.83
0.16,3,0.47,1.1,0.83
0.17,3,0.42,1.19,0.81
0.18,3,0.13,1.31,0.79
0.19,3,0.04,1.4,0.77
0.2,3,-0.11,1.49,0.74
0.21,3,-0.17,1.56,0.7
0.22,3,-0.2,1.65,0.66
0.23,3,-0.2,1.73,0.63
0.24,3,-0.22,1.8,0.6
0.25,3,-0.26,1.86,0.54
0.26,3,-0.16,1.91,0.54
0.27,3,-0.27,1.98,0.51
0.28,3,-0.23,2.04,0.48
0.29,3,-0.27,2.09,0.45
0.3,3,-0.28,2.14,0.42
0.31,3,-0.22,2.18,0.39
0.32,3,-0.22,2.22,0.38
0.33,3,-0.22,2.27,0.28
0.34,3,0.15,2.3,0.26
0.35,3,0.15,2.32,0.26
0.36,3,0.09,2.37,0.31
0.37,3,-0.19,2.4,0.3
0.38,3,-0.24,2.44,0.24
0.39,3,-0.06,2.47,0.26
0.4,3,-0.23,2.51,0.24
0.41,3,-0.21,2.52,0.23
0.42,3,-0.21,2.55,0.21
0.43,3,-0.19,2.55,0.19
0.44,3,-0.13,2.6,0.18
0.45,3,-0.06,2.6,0.16
0.46,3,-0.08,2.6,0.12
0.47,3,0.09,2.64,0.14
0.48,3,0.04,2.66,0.13
0.49,3,-0.01,2.67,0.12
0.5,3,-0.01,2.68,0.1
0.51,3,0.08,2.69,0.11
0.52,3,0.03,2.7,0.09
0.53,3,0.07,2.72,0.02
0.54,3,0.41,2.67,0.03
0.55,3,0.34,2.72,0.09
0.56,3,0.19,2.74,0.09
0.57,3,0.06,2.75,0.09
0.58,3,0.05,2.76,0.05
0.59,3,0.21,2.73,0.03
0.6,3,0.31,2.79,0.06
0.61,3,0.22,2.78,0.07
0.62,3,0.07,2.79,0.07
0.63,3,0.09,2.8,0.06
0.64,3,0.12,2.81,0.06
0.65,3,0.11,2.79,0.05
0.66,3,0.17,2.82,0.05
0.67,3,0.22,2.81,0.04
0.68,3,0.18,2.82,0.04
0.69,3,0.21,2.83,0.03
0.7,3,0.24,2.84,0.04
0.71,3,0.18,2.84,0.03
0.72,3,0.2,2.84,0.03
0.73,3,0.24,2.84,-0.04
0.74,3,0.57,2.79,0.02
0.75,3,0.31,2.85,0.04
0.76,3,0.33,2.85,0.03
0.77,3,0.26,2.86,0.05
0.78,3,0.18,2.87,0
0.79,3,0.39,2.87,0.04
0.8,3,0.18,2.88,0.04
0.81,3,0.18,2.88,0.04
0.82,3,0.16,2.88,0.04
0.83,3,0.16,2.88,0.03
0.84,3,0.18,2.89,0.03
0.85,3,0.18,2.87,0.03
0.86,3,0.2,2.9,0.03
0.87,3,0.25,2.87,0.03
0.88,3,0.2,2.9,0.02
0.89,3,0.29,2.88,0
0.9,3,0.36,2.9,0.02
0.91,3,0.29,2.9,0.03
0.92,3,0.21,2.91,0.03
0.93,3,0.21,2.91,-0.04
0.94,3,0.56,2.87,-0.01
0.95,3,0.39,2.91,0.03
0.96,3,0.33,2.91,0.03
0.97,3,0.2,2.93,0.03
0.98,3,0.22,2.93,0
0.99,3,0.34,2.93,0.02
1,3,0.23,2.93,0.03
1.01,3,0.18,2.93,0.03
1.02,3,0.18,2.93,0.03
1.03,3,0.19,2.94,0.02
1.04,3,0.22,2.94,0.02
1.05,3,0.2,2.93,0.02
1.06,3,0.2,2.94,0.02
1.07,3,0.24,2.94,0.02
1.08,3,0.24,2.94,0.02
1.09,3,0.23,2.94,0.01
1.1,3,0.26,2.94,0.02
1.11,3,0.23,2.94,0.02
1.12,3,0.23,2.95,0.02
1.13,3,0.23,2.95,-0.01
1.14,3,0.34,2.9,0
1.15,3,0.29,2.91,-0.03
1.16,3,0.6,2.94,0.02
1.17,3,0.33,2.96,0.02
1.18,3,0.23,2.96,0.02
1.19,3,0.2,2.96,0.03
1.2,3,0.17,2.96,0.02
1.21,3,0.19,2.96,0.02
1.22,3,0.19,2.97,0.02
1.23,3,0.22,2.97,0.01
1.24,3,0.23,2.96,0.01
1.25,3,0.23,2.97,0.01
1.26,3,0.25,2.94,0.02
1.27,3,0.21,2.97,0.01
1.28,3,0.29,2.97,0.01
1.29,3,0.24,2.97,0.02
1.3,3,0.21,2.97,0.02
1.31,3,0.21,2.97,0.01
1.32,3,0.23,2.98,0.02
1.33,3,0.2,2.98,0
1.34,3,0.27,2.99,-0.06
1.35,3,0.57,2.97,0.01
1.36,3,0.21,2.99,0.02
1.37,3,0.18,2.98,0.01
1.38,3,0.21,2.99,0.02
1.39,3,0.16,3,0.02
1.4,3,0.15,2.99,0.01
1.41,3,0.17,2.99,0.02
1.42,3,0.16,2.99,0.01
1.43,3,0.18,2.98,-0.01
1.44,3,0.3,2.99,0.01
1.45,3,0.22,2.98,-0.01
1.46,3,0.31,3,0.01
1.47,3,0.22,3,0.02
1.48,3,0.15,3,0.01
1.49,3,0.17,3,0
1.5,3,0.2,2.99,0.01
1.51,3,0.17,3,0
1.52,3,0.23,3,0
1.53,3,0.2,3,-0.07
1.54,3,0.55,2.93,0.01
1.55,3,0.18,3,0.01
1.56,3,0.34,2.95,-0.01
1.57,3,0.29,3,0.02
1.58,3,0.27,3,-0.02
1.59,3,0.32,3,0.02
1.6,3,0.11,3.01,0.02
1.61,3,0.14,3.01,0.02
1.62,3,0.12,3.01,0.02
1.63,3,0.12,3.02,0.01
1.64,3,0.15,3.01,0
1.65,3,0.16,3.02,0
1.66,3,0.2,3.02,0
1.67,3,0.16,3.02,0.01
1.68,3,0.12,3.01,0
1.69,3,0.15,3,-0.01
1.7,3,0.25,3.01,0
1.71,3,0.19,3.02,0
1.72,3,0.17,3.02,0
1.73,3,0.15,3.02,-0.06
1.74,3,0.47,3.01,0
1.75,3,0.19,3.02,0.01
1.76,3,0.14,3.02,0.01
1.77,3,0.12,3.02,-0.04
1.78,3,0.39,3.01,0
1.79,3,0.19,3,0.02
1.8,3,0.11,3.02,-0.01
1.81,3,0.25,3.02,0
1.82,3,0.14,3.02,0
1.83,3,0.15,3.02,0
1.84,3,0.13,3.02,0
1.85,3,0.13,3.02,0
1.86,3,0.13,3.02,0
1.87,3,0.13,3.02,0
1.88,3,0.12,3.02,-0.01
1.89,3,0.18,3.02,-0.01
1.9,3,0.18,3.02,0
1.91,3,0.14,3.02,0
1.92,3,0.12,3.02,0
1.93,3,0.12,3.02,-0.08
1.94,3,0.54,3,-0.04
1.95,3,0.36,3.02,0.01
1.96,3,0.15,3.03,0.02
1.97,3,0.07,3.03,0.01
1.98,3,0.08,3.03,0
1.99,3,0.14,2.98,-0.04
2,-3,0.34,3.02,0
2.01,-3,-5,3.18,-0.03
2.02,-3,-5,3.18,-0.17
2.03,-3,-5,3.14,-0.34
2.04,-3,-4.63,3.07,-0.48
2.05,-3,-4.26,3.01,-0.6
2.06,-3,-3.91,2.88,-0.72
2.07,-3,-3.59,2.82,-0.8
2.08,-3,-3.23,2.71,-0.87
2.09,-3,-3.07,2.6,-0.94
2.1,-3,-2.79,2.48,-0.97
2.11,-3,-2.65,2.37,-1.02
2.12,-3,-2.4,2.25,-1.06
2.13,-3,-2.24,2.12,-1.11
2.14,-3,-1.93,1.92,-1.09
2.15,-3,-1.93,1.86,-1.11
2.16,-3,-1.62,1.73,-1.11
2.17,-3,-1.67,1.6,-1.12
2.18,-3,-1.53,1.47,-1.12
2.19,-3,-1.41,1.29,-1.17
2.2,-3,-1,1.19,-1.09
2.21,-3,-1.12,1.07,-1.08
2.22,-3,-1.14,0.94,-1.06
2.23,-3,-1.05,0.81,-1.05
2.24,-3,-0.98,0.69,-1.03
2.25,-3,-0.91,0.57,-1
2.26,-3,-0.88,0.45,-0.99
2.27,-3,-0.76,0.33,-0.98
2.28,-3,-0.65,0.21,-0.96
2.29,-3,-0.59,0.09,-0.93
2.3,-3,-0.53,-0.04,-0.9
2.31,-3,-0.49,-0.13,-0.88
2.32,-3,-0.36,-0.22,-0.85
2.33,-3,-0.43,-0.33,-0.86
2.34,-3,-0.24,-0.43,-0.8
2.35,-3,-0.36,-0.5,-0.75
2.36,-3,-0.43,-0.59,-0.72
2.37,-3,-0.49,-0.67,-0.7
2.38,-3,-0.47,-0.75,-0.66
2.39,-3,-0.52,-0.82,-0.64
2.4,-3,-0.51,-0.9,-0.63
2.41,-3,-0.46,-0.98,-0.61
2.42,-3,-0.43,-1.05,-0.59
2.43,-3,-0.43,-1.12,-0.57
2.44,-3,-0.4,-1.18,-0.55
2.45,-3,-0.4,-1.27,-0.54
2.46,-3,-0.35,-1.31,-0.52
2.47,-3,-0.33,-1.38,-0.49
2.48,-3,-0.4,-1.43,-0.48
2.49,-3,-0.35,-1.48,-0.46
2.5,-3,-0.39,-1.55,-0.45
2.51,-3,-0.34,-1.59,-0.41
2.52,-3,-0.43,-1.64,-0.39
2.53,-3,-0.48,-1.7,-0.42
2.54,-3,-0.28,-1.74,-0.36
2.55,-3,-0.44,-1.77,-0.33
2.56,-3,-0.54,-1.8,-0.31
2.57,-3,-0.63,-1.83,-0.31
2.58,-3,-0.6,-1.9,-0.33
2.59,-3,-0.49,-1.95,-0.28
2.6,-3,-0.56,-1.94,-0.27
2.61,-3,-0.59,-1.96,-0.26
2.62,-3,-0.67,-1.99,-0.25
2.63,-3,-0.72,-2.02,-0.24
2.64,-3,-0.73,-2.05,-0.24
2.65,-3,-0.73,-2.07,-0.24
2.66,-3,-0.7,-2.1,-0.23
2.67,-3,-0.7,-2.13,-0.24
2.68,-3,-0.64,-2.16,-0.22
2.69,-3,-0.67,-2.21,-0.22
2.7,-3,-0.65,-2.21,-0.22
2.71,-3,-0.56,-2.23,-0.25
2.72,-3,-0.44,-2.26,-0.2
2.73,-3,-0.64,-2.29,-0.28
2.74,-3,-0.21,-2.32,-0.19
2.75,-3,-0.61,-2.32,-0.18
2.76,-3,-0.63,-2.34,-0.17
2.77,-3,-0.68,-2.36,-0.17
2.78,-3,-0.65,-2.38,-0.16
2.79,-3,-0.66,-2.43,-0.16
2.8,-3,-0.64,-2.42,-0.16
2.81,-3,-0.53,-2.44,-0.17
2.82,-3,-0.55,-2.46,-0.16
2.83,-3,-0.54,-2.48,-0.16
2.84,-3,-0.55,-2.5,-0.16
2.85,-3,-0.52,-2.52,-0.15
2.86,-3,-0.51,-2.53,-0.15
2.87,-3,-0.52,-2.55,-0.15
2.88,-3,-0.46,-2.58,-0.14
2.89,-3,-0.49,-2.58,-0.13
2.9,-3,-0.46,-2.59,-0.13
2.91,-3,-0.5,-2.61,-0.13
2.92,-3,-0.49,-2.62,-0.12
2.93,-3,-0.48,-2.65,-0.21
2.94,-3,-0.05,-2.71,-0.16
2.95,-3,-0.21,-2.68,-0.09
2.96,-3,-0.39,-2.68,-0.08
2.97,-3,-0.53,-2.68,-0.08
2.98,-3,-0.55,-2.69,-0.07
2.99,-3,-0.6,-2.67,-0.08
3,-3,-0.56,-2.73,-0.1
3.01,-3,-0.52,-2.71,-0.08
3.02,-3,-0.49,-2.76,-0.07
3.03,-3,-0.56,-2.73,-0.07
3.04,-3,-0.45,-2.74,-0.07
3.05,-3,-0.55,-2.75,-0.08
3.06,-3,-0.48,-2.76,-0.07
3.07,-3,-0.51,-2.82,-0.07
3.08,-3,-0.52,-2.77,-0.07
3.09,-3,-0.38,-2.79,-0.07
3.1,-3,-0.5,-2.79,-0.06
3.11,-3,-0.5,-2.8,-0.07
3.12,-3,-0.47,-2.81,-0.06
3.13,-3,-0.49,-2.83,-0.1
3.14,-3,-0.26,-2.89,-0.05
3.15,-3,-0.48,-2.84,-0.1
3.16,-3,-0.09,-2.89,-0.03
3.17,-3,-0.54,-2.88,-0.09
3.18,-3,-0.16,-2.84,-0.03
3.19,-3,-0.47,-2.84,-0.03
3.2,-3,-0.57,-2.83,-0.02
3.21,-3,-0.61,-2.83,-0.03
3.22,-3,-0.61,-2.84,-0.03
3.23,-3,-0.62,-2.85,-0.03
3.24,-3,-0.61,-2.85,-0.04
3.25,-3,-0.54,-2.86,-0.04
3.26,-3,-0.54,-2.86,-0.04
3.27,-3,-0.53,-2.86,-0.05
3.28,-3,-0.46,-2.88,-0.04
3.29,-3,-0.52,-2.88,-0.04
3.3,-3,-0.48,-2.89,-0.04
3.31,-3,-0.47,-2.89,-0.04
3.32,-3,-0.47,-2.9,-0.04
3.33,-3,-0.48,-2.91,-0.08
3.34,-3,-0.24,-2.97,-0.05
3.35,-3,-0.37,-2.91,-0.04
3.36,-3,-0.27,-2.91,-0.02
3.37,-3,-0.51,-2.91,-0.01
3.38,-3,-0.53,-2.91,-0.01
3.39,-3,-0.55,-2.97,0
3.4,-3,-0.6,-2.92,-0.02
3.41,-3,-0.39,-2.91,-0.03
3.42,-3,-0.48,-2.92,-0.02
3.43,-3,-0.52,-2.91,-0.02
3.44,-3,-0.51,-2.95,-0.03
3.45,-3,-0.5,-2.92,-0.02
3.46,-3,-0.44,-2.92,-0.02
3.47,-3,-0.52,-2.92,-0.02
3.48,-3,-0.51,-2.94,-0.02
3.49,-3,-0.51,-2.92,-0.02
3.5,-3,-0.48,-2.94,-0.06
3.51,-3,-0.34,-2.94,-0.02
3.52,-3,-0.48,-2.94,-0.01
3.53,-3,-0.5,-2.95,-0.07
3.54,-3,-0.25,-2.97,-0.03
3.55,-3,-0.39,-3,-0.06
3.56,-3,-0.2,-2.96,-0.01
3.57,-3,-0.37,-2.95,0
3.58,-3,-0.5,-2.95,0
3.59,-3,-0.56,-2.94,0
3.6,-3,-0.52,-2.94,0
3.61,-3,-0.57,-2.94,-0.06
3.62,-3,-0.29,-2.95,-0.01
3.63,-3,-0.5,-2.95,-0.01
3.64,-3,-0.49,-2.95,-0.01
3.65,-3,-0.52,-2.95,-0.01
3.66,-3,-0.51,-2.95,-0.01
3.67,-3,-0.49,-2.95,-0.01
3.68,-3,-0.49,-2.95,-0.01
3.69,-3,-0.48,-2.95,-0.01
3.7,-3,-0.48,-2.96,-0.01
3.71,-3,-0.48,-2.96,-0.01
3.72,-3,-0.47,-2.97,-0.01
3.73,-3,-0.47,-2.98,-0.07
3.74,-3,-0.19,-2.98,-0.06
3.75,-3,-0.18,-2.98,-0.01
3.76,-3,-0.44,-2.97,0
3.77,-3,-0.46,-2.97,0
3.78,-3,-0.49,-2.98,0
3.79,-3,-0.52,-2.97,0
3.8,-3,-0.46,-2.97,-0.04
3.81,-3,-0.33,-2.98,0
3.82,-3,-0.49,-2.98,0
3.83,-3,-0.48,-2.97,0
3.84,-3,-0.48,-2.98,0
3.85,-3,-0.5,-2.98,-0.01
3.86,-3,-0.45,-2.98,-0.01
3.87,-3,-0.45,-2.98,-0.01
3.88,-3,-0.45,-2.98,-0.01
3.89,-3,-0.42,-2.98,-0.01
3.9,-3,-0.44,-2.99,-0.01
3.91,-3,-0.44,-2.98,-0.01
3.92,-3,-0.39,-2.99,-0.01
3.93,-3,-0.44,-3,-0.01
3.94,-3,-0.39,-3.04,-0.02
3.95,-3,-0.33,-3,0
3.96,-3,-0.32,-3,0
3.97,-3,-0.46,-2.98,0
3.98,-3,-0.46,-3.01,0
3.99,-3,-0.46,-2.98,0
4,3,-0.39,-3,-0.01
4.01,3,5,-3.13,0.03
4.02,3,5,-3.06,0.18
4.03,3,5,-3.01,0.36
4.04,3,4.44,-2.97,0.51
4.05,3,4,-2.88,0.63
4.06,3,3.69,-2.82,0.74
4.07,3,3.33,-2.72,0.82
4.08,3,3.12,-2.62,0.9
4.09,3,2.78,-2.52,0.96
4.1,3,2.55,-2.42,1.01
4.11,3,2.35,-2.27,1.07
4.12,3,2.13,-2.16,1.1
4.13,3,1.88,-2.03,1.04
4.14,3,2.14,-1.89,1.08
4.15,3,1.87,-1.77,1.16
4.16,3,1.34,-1.62,1.19
4.17,3,1.12,-1.48,1.18
4.18,3,0.99,-1.36,1.16
4.19,3,0.9,-1.2,1.15
4.2,3,0.85,-1.06,1.13
4.21,3,0.7,-0.92,1.1
4.22,3,0.67,-0.79,1.08
4.23,3,0.59,-0.67,1.05
4.24,3,0.54,-0.55,1.04
4.25,3,0.45,-0.43,0.99
4.26,3,0.52,-0.31,0.98
4.27,3,0.43,-0.19,0.95
4.28,3,0.37,-0.1,0.93
4.29,3,0.31,0.01,0.9
4.3,3,0.3,0.11,0.87
4.31,3,0.28,0.22,0.85
4.32,3,0.25,0.32,0.81
4.33,3,0.26,0.4,0.77
4.34,3,0.31,0.45,0.72
4.35,3,0.44,0.59,0.74
4.36,3,0.36,0.69,0.72
4.37,3,0.18,0.77,0.71
4.38,3,0.08,0.83,0.66
4.39,3,0.15,0.94,0.65
4.4,3,0.15,1.01,0.63
4.41,3,0.03,1.08,0.61
4.42,3,0.05,1.15,0.59
4.43,3,0.05,1.22,0.56
4.44,3,0.06,1.28,0.54
4.45,3,0.03,1.34,0.53
4.46,3,0.02,1.41,0.5
4.47,3,0.05,1.46,0.48
4.48,3,0.03,1.52,0.46
4.49,3,0.06,1.56,0.44
4.5,3,0.08,1.62,0.42
4.51,3,0.09,1.67,0.41
4.52,3,0.09,1.71,0.39
4.53,3,0.09,1.74,0.33
4.54,3,0.35,1.76,0.32
4.55,3,0.38,1.83,0.35
4.56,3,0.21,1.86,0.35
4.57,3,0.08,1.92,0.34
4.58,3,0.08,1.95,0.29
4.59,3,0.26,2,0.32
4.6,3,0.03,2.03,0.3
4.61,3,0.05,2.07,0.3
4.62,3,0.02,2.1,0.29
4.63,3,0.02,2.13,0.27
4.64,3,0.04,2.16,0.26
4.65,3,0.05,2.18,0.24
4.66,3,0.11,2.19,0.24
4.67,3,0.06,2.24,0.23
4.68,3,0.15,2.24,0.22
4.69,3,0.1,2.28,0.21
4.7,3,0.14,2.31,0.21
4.71,3,0.07,2.33,0.2
4.72,3,0.09,2.35,0.2
4.73,3,0.08,2.36,0.18
4.74,3,0.12,2.37,0.17
4.75,3,0.17,2.36,0.12
4.76,3,0.4,2.37,0.12
4.77,3,0.48,2.45,0.18
4.78,3,0.2,2.48,0.18
4.79,3,0.04,2.49,0.13
4.8,3,0.21,2.49,0.17
4.81,3,-0.01,2.53,0.17
4.82,3,0.04,2.54,0.15
4.83,3,0.02,2.56,0.14
4.84,3,0.06,2.57,0.14
4.85,3,0.06,2.59,0.13
4.86,3,0.08,2.59,0.12
4.87,3,0.08,2.61,0.11
4.88,3,0.15,2.63,0.11
4.89,3,0.1,2.64,0.11
4.9,3,0.12,2.64,0.1
4.91,3,0.13,2.66,0.09
4.92,3,0.16,2.67,0.09
4.93,3,0.17,2.66,0.08
4.94,3,0.18,2.67,0.04
4.95,3,0.43,2.68,0.07
4.96,3,0.26,2.7,0.09
4.97,3,0.17,2.71,0.09
4.98,3,0.13,2.72,0.07
4.99,3,0.21,2.72,0.08
5,3,0.13,2.73,0.08
5.01,3,0.14,2.76,0.08
5.02,3,0.15,2.75,0.07
5.03,3,0.13,2.76,0.07
5.04,3,0.16,2.76,0.06
5.05,3,0.18,2.76,0.06
5.06,3,0.2,2.76,0.05
5.07,3,0.27,2.78,0.06
5.08,3,0.22,2.78,0.05
5.09,3,0.22,2.79,0.05
5.1,3,0.23,2.79,0.05
5.11,3,0.22,2.79,0.05
5.12,3,0.26,2.79,0.05
