Time,R,VM,VP,VT
0,0,0,0,0
0.01,3,4.38,-0.11,0.03
0.02,3,2.39,-0.03,0.15
0.03,3,1.7,0,0.24
0.04,3,1.6,0.02,0.29
0.05,3,1.58,0.05,0.32
0.06,3,1.54,0.09,0.36
0.07,3,1.51,0.15,0.4
0.08,3,1.46,0.19,0.42
0.09,3,1.45,0.24,0.45
0.1,3,1.41,0.29,0.48
0.11,3,1.39,0.36,0.5
0.12,3,1.34,0.4,0.51
0.13,3,1.33,0.48,0.53
0.14,3,1.26,0.54,0.54
0.15,3,1.23,0.61,0.56
0.16,3,1.2,0.66,0.57
0.17,3,1.18,0.75,0.57
0.18,3,1.11,0.81,0.59
0.19,3,1.09,0.88,0.59
0.2,3,1.05,0.95,0.6
0.21,3,1.02,1.02,0.6
0.22,3,0.97,1.09,0.62
0.23,3,0.93,1.16,0.62
0.24,3,0.9,1.23,0.62
0.25,3,0.87,1.31,0.63
0.26,3,0.81,1.38,0.63
0.27,3,0.78,1.46,0.63
0.28,3,0.74,1.53,0.62
0.29,3,0.7,1.61,0.62
0.3,3,0.65,1.67,0.62
0.31,3,0.64,1.74,0.61
0.32,3,0.58,1.82,0.61
0.33,3,0.54,1.89,0.6
0.34,3,0.51,1.95,0.59
0.35,3,0.48,2.02,0.59
0.36,3,0.44,2.08,0.57
0.37,3,0.42,2.15,0.56
0.38,3,0.37,2.21,0.56
0.39,3,0.35,2.27,0.54
0.4,3,0.32,2.33,0.53
0.41,3,0.29,2.39,0.52
0.42,3,0.25,2.45,0.51
0.43,3,0.22,2.51,0.5
0.44,3,0.2,2.56,0.49
0.45,3,0.17,2.63,0.48
0.46,3,0.12,2.67,0.47
0.47,3,0.11,2.73,0.45
0.48,3,0.08,2.78,0.44
0.49,3,0.05,2.82,0.43
0.5,3,0.04,2.87,0.39
0.51,3,0.01,2.9,0.39
0.52,3,0.02,2.97,0.38
0.53,3,-0.06,3.02,0.36
0.54,3,-0.07,3.05,0.33
0.55,3,-0.07,3.09,0.32
0.56,3,-0.09,3.12,0.29
